time_window,n_posts,n_public,X_H,X_M,X_L,a,Q,n_mainstream,p_risk_mainstream,n_wemedia,p_risk_wemedia,n_government,r_proxy,dQ_dt,abs_dQ_dt,Q_volatility,Q_rolling_ac1,Q_rolling_mean,Q_rolling_var,Q_rolling_std
2022-03-16 20:00:00,1,0,,,,,,0,,0,,0,,,,,,,,
2022-03-17 11:00:00,1,0,,,,,,0,,1,0.0,0,1.0,,,,,,,
2022-03-17 20:00:00,1,0,,,,,,0,,0,,0,,,,,,,,
2022-03-18 10:00:00,2,0,,,,,,0,,2,0.0,0,1.0,,,,,,,
2022-03-18 11:00:00,2,0,,,,,,0,,2,0.5,0,1.0,,,,,,,
2022-03-18 14:00:00,2,1,,,,,,0,,1,0.0,0,1.0,,,,,,,
2022-03-20 09:00:00,1,1,,,,,,0,,0,,0,,,,,,,,
2022-03-20 21:00:00,1,1,,,,,,0,,0,,0,,,,,,,,
2022-03-21 13:00:00,1,1,,,,,,0,,0,,0,,,,,,,,
2022-03-23 08:00:00,1,1,,,,,,0,,0,,0,,,,,,,,
2022-03-23 10:00:00,1,1,,,,,,0,,0,,0,,,,,,,,
2022-03-23 11:00:00,1,0,,,,,,0,,0,,0,,,,,,,,
2022-03-23 17:00:00,1,1,,,,,,0,,0,,0,,,,,,,,
2022-03-24 13:00:00,1,1,,,,,,0,,0,,0,,,,,,,,
2022-03-24 19:00:00,1,0,,,,,,0,,0,,0,,,,,,,,
2022-03-25 13:00:00,1,1,,,,,,0,,0,,0,,,,,,,,
2022-03-25 15:00:00,1,0,,,,,,0,,1,1.0,0,1.0,,,,,,,
2022-03-26 22:00:00,1,1,,,,,,0,,0,,0,,,,,,,,
2022-03-27 08:00:00,1,1,,,,,,0,,0,,0,,,,,,,,
2022-03-28 10:00:00,1,0,,,,,,0,,0,,0,,,,,,,,
2022-03-28 17:00:00,1,1,,,,,,0,,0,,0,,,,,,,,
2022-03-30 14:00:00,1,0,,,,,,0,,0,,0,,,,,,,,
2022-03-31 22:00:00,1,0,,,,,,0,,1,0.0,0,1.0,,,,,,,
