time_window,n_posts,n_public,X_H,X_M,X_L,a,Q,n_mainstream,p_risk_mainstream,n_wemedia,p_risk_wemedia,n_government,r_proxy,dQ_dt,abs_dQ_dt,Q_volatility,Q_rolling_ac1,Q_rolling_mean,Q_rolling_var,Q_rolling_std
2022-12-01 08:00:00,3,2,,,,,,0,,0,,0,,,,,,,,
2022-12-01 12:00:00,3,2,,,,,,0,,0,,0,,,,,,,,
2022-12-01 16:00:00,4,2,,,,,,0,,2,1.0,0,1.0,,,,,,,
2022-12-01 20:00:00,2,2,,,,,,0,,0,,0,,,,,,,,
2022-12-02 00:00:00,1,1,,,,,,0,,0,,0,,,,,,,,
2022-12-02 08:00:00,3,3,,,,,,0,,0,,0,,,,,,,,
2022-12-02 12:00:00,2,2,,,,,,0,,0,,0,,,,,,,,
2022-12-02 16:00:00,1,1,,,,,,0,,0,,0,,,,,,,,
2022-12-02 20:00:00,4,3,,,,,,1,0.0,0,,0,0.0,,,,,,,
2022-12-03 00:00:00,1,1,,,,,,0,,0,,0,,,,,,,,
2022-12-03 08:00:00,1,1,,,,,,0,,0,,0,,,,,,,,
2022-12-03 12:00:00,6,6,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0,,0,,0,,,,,,0.3333333333333333,,
2022-12-03 20:00:00,7,5,0.0,0.6,0.4,0.4,-0.4,0,,2,0.5,0,1.0,-0.7333333333333334,0.7333333333333334,,,-0.033333333333333354,0.2688888888888889,0.5185449728701349
2022-12-04 08:00:00,1,1,,,,,,0,,0,,0,,,,,,-0.033333333333333354,0.2688888888888889,0.5185449728701349
2022-12-04 12:00:00,2,1,,,,,,0,,1,0.0,0,1.0,,,,,-0.033333333333333354,0.2688888888888889,0.5185449728701349
2022-12-04 16:00:00,4,2,,,,,,0,,2,0.0,0,1.0,,,,,-0.033333333333333354,0.2688888888888889,0.5185449728701349
2022-12-04 20:00:00,2,2,,,,,,0,,0,,0,,,,,,-0.033333333333333354,0.2688888888888889,0.5185449728701349
2022-12-05 00:00:00,1,1,,,,,,0,,0,,0,,,,,,-0.033333333333333354,0.2688888888888889,0.5185449728701349
2022-12-05 04:00:00,1,1,,,,,,0,,0,,0,,,,,,-0.033333333333333354,0.2688888888888889,0.5185449728701349
2022-12-05 08:00:00,2,2,,,,,,0,,0,,0,,,,,,-0.033333333333333354,0.2688888888888889,0.5185449728701349
2022-12-05 12:00:00,6,6,0.0,0.8333333333333334,0.16666666666666666,0.16666666666666666,-0.16666666666666666,0,,0,,0,,,,,-0.5946693696572237,-0.07777777777777779,0.14037037037037037,0.3746603400019414
2022-12-05 16:00:00,1,1,,,,,,0,,0,,0,,,,,-0.5946693696572237,-0.07777777777777779,0.14037037037037037,0.3746603400019414
2022-12-05 20:00:00,3,2,,,,,,0,,0,,0,,,,,-0.5946693696572237,-0.07777777777777779,0.14037037037037037,0.3746603400019414
2022-12-06 12:00:00,4,4,,,,,,0,,0,,0,,,,,,-0.2833333333333333,0.027222222222222203,0.16499158227686103
2022-12-06 20:00:00,2,2,,,,,,0,,0,,0,,,,,,-0.16666666666666666,,
2022-12-07 08:00:00,3,3,,,,,,0,,0,,0,,,,,,-0.16666666666666666,,
2022-12-07 20:00:00,1,1,,,,,,0,,0,,0,,,,,,-0.16666666666666666,,
2022-12-08 04:00:00,2,2,,,,,,0,,0,,0,,,,,,-0.16666666666666666,,
2022-12-08 08:00:00,2,2,,,,,,0,,0,,0,,,,,,-0.16666666666666666,,
2022-12-08 12:00:00,4,3,,,,,,0,,1,1.0,0,1.0,,,,,-0.16666666666666666,,
2022-12-08 16:00:00,6,4,,,,,,1,0.0,0,,0,0.0,,,,,-0.16666666666666666,,
2022-12-08 20:00:00,8,7,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.42857142857142855,-0.14285714285714285,0,,0,,0,,,,,,-0.15476190476190477,0.00028344671201810867,0.016835875742535897
2022-12-09 00:00:00,1,1,,,,,,0,,0,,0,,,,,,-0.14285714285714285,,
2022-12-09 08:00:00,1,1,,,,,,0,,0,,0,,,,,,-0.14285714285714285,,
2022-12-09 12:00:00,4,4,,,,,,0,,0,,0,,,,,,-0.14285714285714285,,
2022-12-09 16:00:00,7,3,,,,,,0,,0,,1,,,,,,-0.14285714285714285,,
2022-12-09 20:00:00,1,1,,,,,,0,,0,,0,,,,,,-0.14285714285714285,,
2022-12-10 00:00:00,2,2,,,,,,0,,0,,0,,,,,,-0.14285714285714285,,
2022-12-10 04:00:00,2,1,,,,,,0,,0,,0,,,,,,-0.14285714285714285,,
2022-12-10 08:00:00,4,2,,,,,,0,,1,1.0,0,1.0,,,,,-0.14285714285714285,,
2022-12-10 12:00:00,3,2,,,,,,0,,1,0.0,0,1.0,,,,,-0.14285714285714285,,
2022-12-10 16:00:00,3,2,,,,,,0,,1,1.0,0,1.0,,,,,-0.14285714285714285,,
2022-12-10 20:00:00,3,2,,,,,,0,,1,1.0,0,1.0,,,,,-0.14285714285714285,,
2022-12-11 00:00:00,1,1,,,,,,0,,0,,0,,,,,,,,
2022-12-11 04:00:00,1,1,,,,,,0,,0,,0,,,,,,,,
2022-12-11 08:00:00,3,3,,,,,,0,,0,,0,,,,,,,,
2022-12-11 12:00:00,2,2,,,,,,0,,0,,0,,,,,,,,
2022-12-11 16:00:00,2,2,,,,,,0,,0,,0,,,,,,,,
2022-12-11 20:00:00,1,0,,,,,,0,,1,1.0,0,1.0,,,,,,,
2022-12-12 00:00:00,1,1,,,,,,0,,0,,0,,,,,,,,
2022-12-12 12:00:00,1,1,,,,,,0,,0,,0,,,,,,,,
2022-12-12 20:00:00,4,2,,,,,,0,,2,0.5,0,1.0,,,,,,,
2022-12-13 00:00:00,1,1,,,,,,0,,0,,0,,,,,,,,
2022-12-13 08:00:00,5,4,,,,,,0,,0,,0,,,,,,,,
2022-12-13 12:00:00,2,1,,,,,,0,,0,,0,,,,,,,,
2022-12-13 16:00:00,2,1,,,,,,0,,1,0.0,0,1.0,,,,,,,
2022-12-13 20:00:00,3,3,,,,,,0,,0,,0,,,,,,,,
2022-12-14 00:00:00,1,1,,,,,,0,,0,,0,,,,,,,,
2022-12-14 12:00:00,3,3,,,,,,0,,0,,0,,,,,,,,
2022-12-14 16:00:00,3,3,,,,,,0,,0,,0,,,,,,,,
