window_start,window_end,n_days,lag,direction,F,p_value,segment_id
2020-04-01,2020-09-27,180,1,mainstream_to_wemedia,0.028406862617023517,0.8663493734662551,1
2020-04-01,2020-09-27,180,2,mainstream_to_wemedia,3.453374487919291,0.0338363108218005,1
2020-04-01,2020-09-27,180,3,mainstream_to_wemedia,2.2962938465047955,0.07950616111208464,1
2020-04-01,2020-09-27,180,1,wemedia_to_mainstream,0.10788754181614232,0.7429525426528866,1
2020-04-01,2020-09-27,180,2,wemedia_to_mainstream,1.6309029643635358,0.19874777834266855,1
2020-04-01,2020-09-27,180,3,wemedia_to_mainstream,1.1133206485352483,0.34524700480731585,1
2020-05-01,2020-10-27,180,1,mainstream_to_wemedia,2.3779654241587096,0.12485379286776299,1
2020-05-01,2020-10-27,180,2,mainstream_to_wemedia,1.150009050770733,0.3190423234312516,1
2020-05-01,2020-10-27,180,3,mainstream_to_wemedia,0.7547516745418084,0.5210217484604377,1
2020-05-01,2020-10-27,180,1,wemedia_to_mainstream,0.28692922914850055,0.5928713555275746,1
2020-05-01,2020-10-27,180,2,wemedia_to_mainstream,0.1578938047907644,0.8540633793537272,1
2020-05-01,2020-10-27,180,3,wemedia_to_mainstream,0.1041084581846465,0.9575740158398626,1
2021-05-01,2021-10-27,180,1,mainstream_to_wemedia,0.34908687857099724,0.5553884517211709,3
2021-05-01,2021-10-27,180,2,mainstream_to_wemedia,0.18574763287865037,0.8306485619864247,3
2021-05-01,2021-10-27,180,3,mainstream_to_wemedia,0.20191419229632115,0.8949566273329757,3
2021-05-01,2021-10-27,180,1,wemedia_to_mainstream,0.1530715783158258,0.6960903998326393,3
2021-05-01,2021-10-27,180,2,wemedia_to_mainstream,0.32899510456666536,0.7200957897065599,3
2021-05-01,2021-10-27,180,3,wemedia_to_mainstream,0.23351276069780327,0.8729335923643288,3
2022-04-01,2022-09-27,180,1,mainstream_to_wemedia,16.545669961247075,7.156685019649167e-05,5
2022-04-01,2022-09-27,180,2,mainstream_to_wemedia,7.267754905193037,0.0009316740724707451,5
2022-04-01,2022-09-27,180,3,mainstream_to_wemedia,4.679866267719972,0.003621280119736059,5
2022-04-01,2022-09-27,180,1,wemedia_to_mainstream,1.5383453064395993,0.21651522508443177,5
2022-04-01,2022-09-27,180,2,wemedia_to_mainstream,0.9407916960239252,0.39230629851246035,5
2022-04-01,2022-09-27,180,3,wemedia_to_mainstream,0.9458073712424794,0.4198506041294189,5
