segment_id,start_date,end_date,n_days
1,2020-04-01,2020-10-31,214
2,2020-12-01,2021-01-31,62
3,2021-05-01,2021-10-31,184
4,2021-12-01,2022-02-28,90
5,2022-04-01,2022-09-30,183
6,2022-11-01,2022-11-30,30
7,2023-04-01,2023-04-30,30
8,2023-07-01,2023-07-31,31
9,2023-09-01,2023-09-30,30
10,2023-12-01,2024-01-31,62
11,2024-04-01,2024-04-30,30
12,2024-06-01,2024-07-31,61
13,2024-09-01,2025-01-31,153
14,2025-03-01,2025-04-30,61
15,2025-06-01,2025-07-11,41
