lag,ccf,ci_lower,ci_upper,significant
-14,0.07120619712128604,-0.034656995443115214,0.05111505273387996,True
-13,0.06242878527863664,-0.03593690541639758,0.04651555195741462,True
-12,0.07805670283432731,-0.03788524924567533,0.049982541997252196,True
-11,0.07125134993659073,-0.036962208903591226,0.04970101385295407,True
-10,0.08166872656530168,-0.03575320107367897,0.053498683138367815,True
-9,0.10254467909267968,-0.035059368478314,0.061698344400902064,True
-8,0.10095851841445874,-0.03398435783971281,0.06611665325250714,True
-7,0.10795378387147841,-0.035204318382900286,0.051167647483920824,True
-6,0.12338177942723316,-0.03587227609874004,0.05255670163994364,True
-5,0.12182031816778607,-0.035770962759703706,0.053892378941457535,True
-4,0.11124244569999273,-0.03560639383808821,0.0460029878357611,True
-3,0.11972584436201296,-0.035295098369112196,0.05325212482053712,True
-2,0.14505357565718036,-0.03483337630199553,0.053917406772391485,True
-1,0.16014845961571547,-0.03394454825820814,0.050256911437309086,True
0,0.7187485249943782,-0.033998040613764303,0.0499647527447579,True
1,0.17795680076443857,-0.03471894091197514,0.05039473229171945,True
2,0.13612439798628714,-0.0338770566867826,0.05854967165797689,True
3,0.12266198402396934,-0.03408005044652603,0.05071050651657012,True
4,0.11915223990372785,-0.0349541037446454,0.058873272316943656,True
5,0.12894344253101545,-0.03446802817051381,0.05640839498744398,True
6,0.11998777770942516,-0.033458749087169344,0.06032766994992745,True
7,0.1201872223450287,-0.03408976486071678,0.05490249082402712,True
8,0.10393938923747516,-0.03534820220020226,0.05405267413838619,True
9,0.10133944561364518,-0.035645338608049054,0.05628012228093848,True
10,0.09236748246299932,-0.036783895301394004,0.05112479109631246,True
11,0.10248551887912821,-0.03554142439510705,0.06228870946092718,True
12,0.10483285945238165,-0.036150647248465284,0.06236434598195679,True
13,0.10781770729174842,-0.03546347910556746,0.06532200004502298,True
14,0.08634734527444919,-0.03667796519398034,0.051460130369399254,True
