direction,window,n_trigger,n_hits,p_observed,p_baseline,fisher_p,odds_ratio,n_response_burst_days,n_days,burst_multiplier,mainstream_threshold,wemedia_threshold,mainstream_rule,wemedia_rule,mainstream_n_burst_days,wemedia_n_burst_days
mainstream_to_wemedia,0,166,105,0.6325301204819277,0.16436957631444615,9.008221079908308e-19,8.861566484517304,322,1959,1.0,4.0878612716763,4.928571428571429,>1*mean_nonzero,>1*mean_nonzero,166,322
mainstream_to_wemedia,1,166,119,0.7168674698795181,0.49310872894333846,4.880235692669061e-05,2.5936689154125583,322,1959,1.0,4.0878612716763,4.928571428571429,>1*mean_nonzero,>1*mean_nonzero,166,322
mainstream_to_wemedia,2,166,123,0.7409638554216867,0.8218478815722308,0.1114144596622557,0.6309849521203831,322,1959,1.0,4.0878612716763,4.928571428571429,>1*mean_nonzero,>1*mean_nonzero,166,322
mainstream_to_wemedia,3,166,127,0.7650602409638554,1.0,2.8922347118522764e-13,0.0,322,1959,1.0,4.0878612716763,4.928571428571429,>1*mean_nonzero,>1*mean_nonzero,166,322
wemedia_to_mainstream,0,322,105,0.32608695652173914,0.08473711077080143,1.24648586326737e-14,5.28673835125448,166,1959,1.0,4.0878612716763,4.928571428571429,>1*mean_nonzero,>1*mean_nonzero,166,322
wemedia_to_mainstream,1,322,145,0.4503105590062112,0.2542113323124043,2.7843036039509986e-07,2.3976849937990905,166,1959,1.0,4.0878612716763,4.928571428571429,>1*mean_nonzero,>1*mean_nonzero,166,322
wemedia_to_mainstream,2,322,163,0.5062111801242236,0.42368555385400714,0.03985899170064994,1.4020532741398446,166,1959,1.0,4.0878612716763,4.928571428571429,>1*mean_nonzero,>1*mean_nonzero,166,322
wemedia_to_mainstream,3,322,176,0.546583850931677,0.59315977539561,0.2651396040020743,0.8267948074302517,166,1959,1.0,4.0878612716763,4.928571428571429,>1*mean_nonzero,>1*mean_nonzero,166,322
mainstream_to_wemedia,0,118,70,0.5932203389830508,0.08218478815722308,2.782352836426953e-17,15.75,161,1959,1.5,6.131791907514451,7.392857142857143,>1.5*mean_nonzero,>1.5*mean_nonzero,118,161
mainstream_to_wemedia,1,118,80,0.6779661016949152,0.24655436447166923,3.266055106470506e-11,6.460980036297641,161,1959,1.5,6.131791907514451,7.392857142857143,>1.5*mean_nonzero,>1.5*mean_nonzero,118,161
mainstream_to_wemedia,2,118,83,0.7033898305084746,0.4109239407861154,7.269087971135801e-06,3.4583333333333335,161,1959,1.5,6.131791907514451,7.392857142857143,>1.5*mean_nonzero,>1.5*mean_nonzero,118,161
mainstream_to_wemedia,3,118,83,0.7033898305084746,0.5752935171005615,0.0573380908814695,1.7436974789915967,161,1959,1.5,6.131791907514451,7.392857142857143,>1.5*mean_nonzero,>1.5*mean_nonzero,118,161
wemedia_to_mainstream,0,161,70,0.43478260869565216,0.06023481368044921,1.9249044937329527e-15,11.615384615384615,118,1959,1.5,6.131791907514451,7.392857142857143,>1.5*mean_nonzero,>1.5*mean_nonzero,118,161
wemedia_to_mainstream,1,161,97,0.6024844720496895,0.1807044410413476,6.123885898930615e-15,6.898706896551724,118,1959,1.5,6.131791907514451,7.392857142857143,>1.5*mean_nonzero,>1.5*mean_nonzero,118,161
wemedia_to_mainstream,2,161,103,0.639751552795031,0.30117406840224603,1.1378022038731825e-09,4.180675287356322,118,1959,1.5,6.131791907514451,7.392857142857143,>1.5*mean_nonzero,>1.5*mean_nonzero,118,161
wemedia_to_mainstream,3,161,106,0.6583850931677019,0.4216436957631445,3.2468031642762976e-05,2.6358288770053475,118,1959,1.5,6.131791907514451,7.392857142857143,>1.5*mean_nonzero,>1.5*mean_nonzero,118,161
mainstream_to_wemedia,0,86,41,0.47674418604651164,0.058703420112302195,2.75581543848406e-10,14.76,115,1959,2.0,8.1757225433526,9.857142857142858,>2*mean_nonzero,>2*mean_nonzero,86,115
mainstream_to_wemedia,1,86,52,0.6046511627906976,0.17611026033690658,9.427233573563083e-09,7.23921568627451,115,1959,2.0,8.1757225433526,9.857142857142858,>2*mean_nonzero,>2*mean_nonzero,86,115
mainstream_to_wemedia,2,86,56,0.6511627906976745,0.293517100561511,3.6598823245272197e-06,4.554666666666667,115,1959,2.0,8.1757225433526,9.857142857142858,>2*mean_nonzero,>2*mean_nonzero,86,115
mainstream_to_wemedia,3,86,58,0.6744186046511628,0.4109239407861154,0.0007148462482138802,3.0183673469387755,115,1959,2.0,8.1757225433526,9.857142857142858,>2*mean_nonzero,>2*mean_nonzero,86,115
wemedia_to_mainstream,0,115,41,0.3565217391304348,0.04389994895354773,1.390576630281292e-09,12.18918918918919,86,1959,2.0,8.1757225433526,9.857142857142858,>2*mean_nonzero,>2*mean_nonzero,86,115
wemedia_to_mainstream,1,115,60,0.5217391304347826,0.13169984686064318,2.341046729943794e-10,7.2727272727272725,86,1959,2.0,8.1757225433526,9.857142857142858,>2*mean_nonzero,>2*mean_nonzero,86,115
wemedia_to_mainstream,2,115,69,0.6,0.21949974476773865,4.915914239596317e-09,5.4,86,1959,2.0,8.1757225433526,9.857142857142858,>2*mean_nonzero,>2*mean_nonzero,86,115
wemedia_to_mainstream,3,115,76,0.6608695652173913,0.3072996426748341,9.701225191967507e-08,4.454212454212454,86,1959,2.0,8.1757225433526,9.857142857142858,>2*mean_nonzero,>2*mean_nonzero,86,115
