date,mainstream_risk_count,public,wemedia_risk_count,mainstream_risk_count_ma7,wemedia_risk_count_ma7
2020-03-01,9.0,0.0,2.0,9.0,2.0
2020-03-02,0.0,0.0,0.0,4.5,1.0
2020-03-03,0.0,0.0,0.0,3.0,0.6666666666666666
2020-03-04,0.0,0.0,0.0,2.25,0.5
2020-03-05,8.0,1.0,1.0,3.4,0.6
2020-03-06,1.0,0.0,0.0,3.0,0.5
2020-03-07,0.0,0.0,0.0,2.5714285714285716,0.42857142857142855
2020-03-08,1.0,0.0,0.0,1.4285714285714286,0.14285714285714285
2020-03-09,0.0,0.0,0.0,1.4285714285714286,0.14285714285714285
2020-03-10,0.0,0.0,0.0,1.4285714285714286,0.14285714285714285
2020-03-11,1.0,1.0,0.0,1.5714285714285714,0.14285714285714285
2020-03-12,0.0,0.0,0.0,0.42857142857142855,0.0
2020-03-13,0.0,0.0,0.0,0.2857142857142857,0.0
2020-03-14,0.0,0.0,0.0,0.2857142857142857,0.0
2020-03-15,0.0,0.0,0.0,0.14285714285714285,0.0
2020-03-16,0.0,0.0,0.0,0.14285714285714285,0.0
2020-03-17,0.0,0.0,0.0,0.14285714285714285,0.0
2020-03-18,0.0,43.0,79.0,0.0,11.285714285714286
2020-03-19,0.0,10.0,6.0,0.0,12.142857142857142
2020-03-20,0.0,2.0,1.0,0.0,12.285714285714286
2020-03-21,0.0,0.0,0.0,0.0,12.285714285714286
2020-03-22,0.0,1.0,1.0,0.0,12.428571428571429
2020-03-23,0.0,0.0,0.0,0.0,12.428571428571429
2020-03-24,4.0,0.0,0.0,0.5714285714285714,12.428571428571429
2020-03-25,0.0,1.0,0.0,0.5714285714285714,1.1428571428571428
2020-03-26,1.0,1.0,0.0,0.7142857142857143,0.2857142857142857
2020-03-27,0.0,0.0,0.0,0.7142857142857143,0.14285714285714285
2020-03-28,0.0,1.0,0.0,0.7142857142857143,0.14285714285714285
2020-03-29,0.0,0.0,0.0,0.7142857142857143,0.0
2020-03-30,1.0,0.0,0.0,0.8571428571428571,0.0
2020-03-31,0.0,0.0,0.0,0.2857142857142857,0.0
2020-04-01,1.0,0.0,0.0,0.42857142857142855,0.0
2020-04-02,0.0,1.0,0.0,0.2857142857142857,0.0
2020-04-03,0.0,0.0,0.0,0.2857142857142857,0.0
