segment,lag,ccf,ci_lower,ci_upper,significant,n_days,segment_start,segment_end
pre_spike,-14,0.009839060890040021,-0.017898889293525205,0.12542451776271785,False,730,2020-03-01,2022-02-28
pre_spike,-13,-0.013829255825777022,-0.017371951841335477,0.1295197534338047,False,730,2020-03-01,2022-02-28
pre_spike,-12,-0.009462690315375449,-0.017684976949065276,0.07428622866755889,False,730,2020-03-01,2022-02-28
pre_spike,-11,-0.006765077175583469,-0.017754785622506975,0.06253346809685434,False,730,2020-03-01,2022-02-28
pre_spike,-10,-0.01376027888849328,-0.01815833589449308,0.09237702308187723,False,730,2020-03-01,2022-02-28
pre_spike,-9,-0.013899190038305635,-0.01822456450063711,0.06651306244684006,False,730,2020-03-01,2022-02-28
pre_spike,-8,0.004398612831586862,-0.01776900018651295,0.05115865278076446,False,730,2020-03-01,2022-02-28
pre_spike,-7,-0.016110684952547197,-0.017612565027745768,0.08756961398328335,False,730,2020-03-01,2022-02-28
pre_spike,-6,0.048651582013859246,-0.01716991913003634,0.055099058593894995,False,730,2020-03-01,2022-02-28
pre_spike,-5,0.01093440080486882,-0.017345414098761346,0.09868554046287245,False,730,2020-03-01,2022-02-28
pre_spike,-4,-0.013173989797407007,-0.017793156698056707,0.059170201246148996,False,730,2020-03-01,2022-02-28
pre_spike,-3,-0.011314736394527096,-0.017905972869943013,0.0617779248485555,False,730,2020-03-01,2022-02-28
pre_spike,-2,-0.008040671022974726,-0.018112147135248936,0.05148867174039554,False,730,2020-03-01,2022-02-28
pre_spike,-1,0.02577957505566047,-0.01816944717090113,0.05383320498125638,False,730,2020-03-01,2022-02-28
pre_spike,0,0.47751499991100826,-0.01818174018122205,0.11209013543101179,True,730,2020-03-01,2022-02-28
pre_spike,1,0.03171832295865009,-0.017795052914651874,0.12434028066039815,False,730,2020-03-01,2022-02-28
pre_spike,2,-0.013967379819220737,-0.017823462581337046,0.06377346452888866,False,730,2020-03-01,2022-02-28
pre_spike,3,-0.01665218745215518,-0.017934963244768887,0.06970814793298566,False,730,2020-03-01,2022-02-28
pre_spike,4,-0.01568429618038672,-0.018295590197574308,0.0972677068793637,False,730,2020-03-01,2022-02-28
pre_spike,5,-0.01424009200845796,-0.018656318229855456,0.06829278228475948,False,730,2020-03-01,2022-02-28
pre_spike,6,0.023757825021190237,-0.018589372499910974,0.044663763827402655,False,730,2020-03-01,2022-02-28
pre_spike,7,-0.008197701834615923,-0.018013229485925215,0.10812823735981654,False,730,2020-03-01,2022-02-28
pre_spike,8,-0.01329083569625011,-0.018207162513505522,0.2256030569354274,False,730,2020-03-01,2022-02-28
pre_spike,9,-0.016482320481705785,-0.017909949477630097,0.1145817071889065,False,730,2020-03-01,2022-02-28
pre_spike,10,-0.010366029548332446,-0.018211206064600895,0.062281529631663585,False,730,2020-03-01,2022-02-28
pre_spike,11,-0.012802716569160766,-0.018473150483481728,0.05793262183278371,False,730,2020-03-01,2022-02-28
pre_spike,12,-0.010256987954303859,-0.018578497354974726,0.08071447481075535,False,730,2020-03-01,2022-02-28
pre_spike,13,0.044897208096557485,-0.01835069155289186,0.04870343529110717,False,730,2020-03-01,2022-02-28
pre_spike,14,-0.002144130365387965,-0.018319945268878913,0.09174969862083934,False,730,2020-03-01,2022-02-28
post_spike,-14,0.08672216216877843,-0.06660563869762108,0.08273284566723159,True,1198,2022-04-01,2025-07-11
post_spike,-13,0.09102716679304626,-0.06615310203333802,0.08781763124201077,True,1198,2022-04-01,2025-07-11
post_spike,-12,0.13010603609008756,-0.0633774940912635,0.0851011818594604,True,1198,2022-04-01,2025-07-11
post_spike,-11,0.11425212533555902,-0.06803192735070368,0.07854518850544631,True,1198,2022-04-01,2025-07-11
post_spike,-10,0.1341312235551343,-0.06398090278290504,0.07732364730377488,True,1198,2022-04-01,2025-07-11
post_spike,-9,0.16411700734774443,-0.06741642722648235,0.08184683058929473,True,1198,2022-04-01,2025-07-11
post_spike,-8,0.15935849340329503,-0.06536502399569902,0.08960711810340051,True,1198,2022-04-01,2025-07-11
post_spike,-7,0.18143809267496971,-0.06537736995100835,0.08692189449387323,True,1198,2022-04-01,2025-07-11
post_spike,-6,0.20675067459421148,-0.06742564281574576,0.08437388570275164,True,1198,2022-04-01,2025-07-11
post_spike,-5,0.21091263899955903,-0.06769380179451147,0.09618717464977179,True,1198,2022-04-01,2025-07-11
post_spike,-4,0.20517285744060518,-0.06662328310674806,0.08747055403486985,True,1198,2022-04-01,2025-07-11
post_spike,-3,0.21215774564263956,-0.06435179265302418,0.08856625886237446,True,1198,2022-04-01,2025-07-11
post_spike,-2,0.22895450763409542,-0.06641595362318058,0.09172138012288333,True,1198,2022-04-01,2025-07-11
post_spike,-1,0.24621247561264856,-0.06566147510731214,0.09453816951530458,True,1198,2022-04-01,2025-07-11
post_spike,0,0.6003592972076383,-0.06514354341070097,0.101753666418142,True,1198,2022-04-01,2025-07-11
post_spike,1,0.30858033149259606,-0.06865172308088908,0.09666153025074174,True,1198,2022-04-01,2025-07-11
post_spike,2,0.252448405906014,-0.06731470850876684,0.09438919583489812,True,1198,2022-04-01,2025-07-11
post_spike,3,0.23165189547260484,-0.0678410331423085,0.08559414233333147,True,1198,2022-04-01,2025-07-11
post_spike,4,0.21975638574527753,-0.06656279257611214,0.08121032808925638,True,1198,2022-04-01,2025-07-11
post_spike,5,0.22312301692781372,-0.0675256606603805,0.08178120988507362,True,1198,2022-04-01,2025-07-11
post_spike,6,0.20612438157879268,-0.07068849077819289,0.08594930022778238,True,1198,2022-04-01,2025-07-11
post_spike,7,0.2079371140492036,-0.06667723466077727,0.09267433827237288,True,1198,2022-04-01,2025-07-11
post_spike,8,0.18830220416011617,-0.0667391150833639,0.09360266354164455,True,1198,2022-04-01,2025-07-11
post_spike,9,0.17955629633037162,-0.06639847307961412,0.10155934440215283,True,1198,2022-04-01,2025-07-11
post_spike,10,0.15773382440510217,-0.06886568669817812,0.08432593251737701,True,1198,2022-04-01,2025-07-11
post_spike,11,0.17177725923574655,-0.06853517200183948,0.08202215237027688,True,1198,2022-04-01,2025-07-11
post_spike,12,0.1690819119180704,-0.07300624863335058,0.08360301901162757,True,1198,2022-04-01,2025-07-11
post_spike,13,0.17745983338643476,-0.07084722845338837,0.08836823253046615,True,1198,2022-04-01,2025-07-11
post_spike,14,0.14559259465877622,-0.07110385402956737,0.09534561475889636,True,1198,2022-04-01,2025-07-11
