lag,ccf,ci_lower,ci_upper,significant
-14,0.016905892611481906,-0.040284676225271106,0.0992601296821357,False
-13,0.03385712146693045,-0.04267684879153828,0.06425870420114334,False
-12,0.03186332095668405,-0.041174809998085024,0.058887338006276324,False
-11,0.026842611543203245,-0.040950759458785825,0.07042064903150702,False
-10,0.03299344627548917,-0.04220549921359622,0.05823479039602762,False
-9,0.05541826653980756,-0.042466567583719264,0.06489316440098043,False
-8,0.0682383797208918,-0.04081117956149634,0.061531803426364974,True
-7,0.06416390543024562,-0.0399700373618062,0.07889428340319359,False
-6,0.07299000444948667,-0.043455630030334445,0.06623480617588677,True
-5,0.06850471911360875,-0.04144689197478229,0.05696799636088594,True
-4,0.0758554621737393,-0.0407988209381588,0.07510203367185013,True
-3,0.07646168335526503,-0.04320874846983182,0.06839669002152264,True
-2,0.1013981766600351,-0.043866592562135646,0.05500030755460967,True
-1,0.11141047935510195,-0.04105739397085016,0.058762276333159204,True
0,0.7027986334396067,-0.04221160413047335,0.06558192848584368,True
1,0.13360675411280779,-0.04444306820235679,0.05684378581969084,True
2,0.09896572964434346,-0.04100793026813781,0.05498257716182276,True
3,0.07833258853597247,-0.04169295160481201,0.07048854890900529,True
4,0.08994383511050437,-0.04107287692711751,0.0705989760185631,True
5,0.08545304141250208,-0.043103523583494015,0.07084681376284359,True
6,0.08311688557868309,-0.040227010180810784,0.05822864095419756,True
7,0.0774142765001959,-0.04242957256661423,0.07877756028974105,False
8,0.07050096281736626,-0.04253891053414807,0.05939942574975967,True
9,0.08919109315801196,-0.04018157648068546,0.05704209371286784,True
10,0.06467793753270344,-0.04248223170177087,0.0835600409659575,False
11,0.0631479774741943,-0.04264813388651378,0.07908228185054941,False
12,0.06147492188911895,-0.04143034965065553,0.07163187835772936,False
13,0.06672133399832739,-0.04163987185492729,0.06023402160941495,True
14,0.055719576867537264,-0.04164851083806242,0.0851665624299824,False
