group,risk_class,H,M,L
mainstream,norisk,0.001358695652173913,0.9974184782608696,0.0012228260869565218
mainstream,risk,0.040837696335078534,0.9481675392670157,0.01099476439790576
public,norisk,0.05779334500875657,0.8660245183887916,0.07618213660245184
public,risk,0.23090496596924628,0.27577514494580285,0.49331988908495084
wemedia,norisk,0.005726872246696035,0.9850220264317181,0.009251101321585903
wemedia,risk,0.1319371727748691,0.6575916230366492,0.21047120418848167
