exposure_group,n_users,upgrade_rate_mean,cooling_rate_mean,stable_rate_mean,p_H->H_mean,p_H->M_mean,p_H->L_mean,p_M->H_mean,p_M->M_mean,p_M->L_mean,p_L->H_mean,p_L->M_mean,p_L->L_mean
no_media,998,0.03728132982103645,0.05564669633297909,0.7921706379149843,0.021078775371895748,0.031126603515765714,0.024520092817213374,0.02442712333308949,0.7921706379149843,0.020195398901910626,0.012854206487946957,0.023057874701455254,0.050569286955738375
wemedia_only,62,0.09602241940119888,0.06416758069152147,0.6261058549975344,0.022971652003910065,0.04763532262700534,0.016532258064516126,0.049219006591474705,0.6261058549975344,0.04970881307283343,0.046803412809724165,0.0655398088652598,0.07548387096774194
mainstream_only,35,0.000510204081632653,0.004591836734693877,0.9948979591836734,0.0,0.004591836734693877,0.0,0.000510204081632653,0.9948979591836734,0.0,0.0,0.0,0.0
dual,9,0.10341880341880343,0.04786324786324787,0.6589281589281589,0.022222222222222223,0.04786324786324787,0.0,0.10341880341880343,0.6589281589281589,0.08378378378378377,0.0,0.08378378378378377,0.0
