user_name,n_targets_total,n_m,n_w,B_i,node_type_3class,user_type_raw,verify_typ,verify_typ_known
飞天神猪的欢乐窝,5,1,1,1.0,ordinary,public,没有认证,True
无坑不人生,3,1,1,1.0,ordinary,public,无认证,True
专业拉车工卡拉,3,1,1,1.0,wemedia,wemedia,黄V认证,True
凝聚神与心建此不夜城,3,1,1,1.0,ordinary,public,无认证,True
大漠潇骢,3,1,1,1.0,ordinary,public,无认证,True
逆风飞翔024,3,1,1,1.0,ordinary,public,无认证,True
林烂柴,3,1,1,1.0,ordinary,public,无认证,True
凹凸柚子酱,2,1,1,1.0,ordinary,public,无认证,True
raruku2010或者叫口袋,3,1,1,1.0,ordinary,public,没有认证,True
男儿当如萨内蒂的围脖,2,1,1,1.0,ordinary,public,无认证,True
而立之人81,5,1,1,1.0,ordinary,public,没有认证,True
风湿科聂医生,2,1,1,1.0,ordinary,public,橙V认证,True
逃避可耻无用,3,1,1,1.0,ordinary,public,无认证,True
用户5824349231,2,1,1,1.0,wemedia,wemedia,黄V认证,True
聽小啾喵喵喵,4,1,1,1.0,ordinary,public,没有认证,True
若安小小,2,1,1,1.0,ordinary,public,无认证,True
XConstructor,6,1,1,1.0,ordinary,public,无认证,True
hedyhyx,3,1,1,1.0,ordinary,public,无认证,True
命里带财王富贵,3,1,1,1.0,ordinary,public,无认证,True
Jinyan止语,2,1,1,1.0,ordinary,public,无认证,True
要改正要学好,8,1,1,1.0,ordinary,public,没有认证,True
懒小拉,2,1,1,1.0,ordinary,public,无认证,True
波乐厚片Z,2,1,1,1.0,ordinary,public,无认证,True
天地一羽喵,5,1,1,1.0,ordinary,public,无认证,True
花落无声_后简,2,1,1,1.0,ordinary,public,无认证,True
张国庆看天下,10,2,2,1.0,wemedia,wemedia,黄V认证,True
大健康公社,3,1,1,1.0,ordinary,public,没有认证,True
阿正时光,2,1,1,1.0,ordinary,public,没有认证,True
旅者云舒,3,1,1,1.0,ordinary,public,没有认证,True
俺就是俺lei,2,1,1,1.0,ordinary,public,无认证,True
来碗饸络面,7,1,1,1.0,ordinary,public,没有认证,True
凌水听涛,3,1,1,1.0,ordinary,public,没有认证,True
花间一颗瓜,4,1,1,1.0,ordinary,public,无认证,True
honey天涯人,3,1,1,1.0,ordinary,public,无认证,True
平淡幸福_happy,2,1,1,1.0,ordinary,public,无认证,True
zxzxzx0528_0t5,2,1,1,1.0,ordinary,public,无认证,True
又简单又趣闻的昵称,7,1,1,1.0,ordinary,public,没有认证,True
何豆豆想吃糖,2,1,1,1.0,ordinary,public,无认证,True
香草拉面,3,1,1,1.0,ordinary,public,没有认证,True
小狮子喵喵喵919,2,1,1,1.0,ordinary,public,无认证,True
我是爱喝酒的庆小令,3,1,1,1.0,ordinary,public,无认证,True
杨柳齐齐,3,1,1,1.0,ordinary,public,没有认证,True
一寸光阴621,4,1,1,1.0,ordinary,public,没有认证,True
渺渺世界锚锚事,2,1,1,1.0,ordinary,public,没有认证,True
开心加油正能量,2,1,1,1.0,ordinary,public,无认证,True
我係盲俠,4,1,1,1.0,ordinary,public,红V认证,True
中西医结合医学微博,17,2,2,1.0,ordinary,public,没有认证,True
默存涵德,6,1,1,1.0,ordinary,public,没有认证,True
怡味薯蓣锦,14,1,1,1.0,ordinary,public,没有认证,True
好像笑,3,1,1,1.0,ordinary,public,没有认证,True
-影子猫--,4,1,1,1.0,ordinary,public,没有认证,True
人籍spirit,2,1,1,1.0,ordinary,public,没有认证,True
匡宦龙缆,11,1,1,1.0,ordinary,public,没有认证,True
Liliineae,2,1,1,1.0,ordinary,public,无认证,True
本半仙想要发大财搂大风,3,1,1,1.0,wemedia,wemedia,黄V认证,True
tongqumeihao1,2,1,1,1.0,ordinary,public,无认证,True
寂寞死球可,2,1,1,1.0,ordinary,public,没有认证,True
素履之往sulv,3,1,1,1.0,ordinary,public,无认证,True
bolocc,2,1,1,1.0,ordinary,public,无认证,True
超超子梦然,2,1,1,1.0,ordinary,public,无认证,True
爱儿窝窝,2,1,1,1.0,ordinary,public,无认证,True
浅颜77,2,1,1,1.0,ordinary,public,无认证,True
落花开满地4,2,1,1,1.0,ordinary,public,没有认证,True
用户6898706337,2,1,1,1.0,ordinary,public,无认证,True
炸面包猫,4,1,1,1.0,ordinary,public,无认证,True
-非魔神-,4,1,1,1.0,ordinary,public,无认证,True
超复杂属性,2,1,1,1.0,ordinary,public,无认证,True
维维滴豆奶么么哒,10,1,1,1.0,ordinary,public,没有认证,True
三无_六不,7,2,2,1.0,ordinary,public,没有认证,True
向往发展,3,1,1,1.0,ordinary,public,没有认证,True
clawandpaw,2,1,1,1.0,ordinary,public,无认证,True
快乐klzx,3,1,1,1.0,ordinary,public,没有认证,True
小CQ,3,1,1,1.0,ordinary,public,无认证,True
海丫啦啦,2,1,1,1.0,ordinary,public,无认证,True
龙年Rich素人,2,1,1,1.0,ordinary,public,无认证,True
自由嘻哈,2,1,1,1.0,ordinary,public,无认证,True
StandByU-II,5,1,1,1.0,ordinary,public,没有认证,True
路过1314,2,1,1,1.0,ordinary,public,没有认证,True
veryday,2,1,1,1.0,ordinary,public,无认证,True
-夜鸮-,5,1,1,1.0,ordinary,public,没有认证,True
知行合一_2023-3,7,1,1,1.0,ordinary,public,没有认证,True
cdxj519,5,1,1,1.0,ordinary,public,没有认证,True
星弧权益,4,1,1,1.0,ordinary,other,蓝V认证,True
半山一片林木也,4,1,1,1.0,ordinary,public,没有认证,True
蓝冰块blueice,2,1,1,1.0,ordinary,public,没有认证,True
地狱圣少女,2,1,1,1.0,ordinary,public,无认证,True
未央小情歌,2,1,1,1.0,ordinary,public,无认证,True
紫鸢玲珑,2,1,1,1.0,ordinary,public,无认证,True
瓜田里的小猫咪,2,1,1,1.0,ordinary,public,无认证,True
心清如水也,2,1,1,1.0,ordinary,public,无认证,True
青梅糖呀,7,1,1,1.0,ordinary,public,没有认证,True
浮生-幻若梦,2,1,1,1.0,ordinary,public,无认证,True
baby-unicorn,14,1,1,1.0,ordinary,public,没有认证,True
艺菡lucky888,2,1,1,1.0,ordinary,public,无认证,True
辣香蕉将军,2,1,1,1.0,ordinary,public,无认证,True
