user_name,n_targets_total,n_m,n_w,B_i,node_type_3class,user_type_raw,verify_typ,verify_typ_known
热心市民郑大姐,1,0,1,0.0,ordinary,public,无认证,True
热情的Elsa,1,0,1,0.0,ordinary,public,无认证,True
热热闹闹DE微博,1,1,0,0.0,ordinary,public,无认证,True
热爱一克,1,0,1,0.0,ordinary,public,无认证,True
热爱大自然-1234,1,0,1,0.0,ordinary,public,无认证,True
热爱生活的郑菇凉,1,1,0,0.0,ordinary,public,无认证,True
热脸或冷屁股总该有一个,1,0,1,0.0,ordinary,public,无认证,True
热血御宅族,2,0,1,0.0,ordinary,public,无认证,True
烯_燃,1,0,1,0.0,ordinary,public,无认证,True
無名無相02,2,1,0,0.0,ordinary,public,没有认证,True
無月雨痕-烤虾小厨神,1,0,1,0.0,ordinary,public,无认证,True
炸不停的茈花,1,0,1,0.0,ordinary,public,无认证,True
無溏袪冰,1,1,0,0.0,ordinary,public,无认证,True
無無無無無無_名氏,1,1,0,0.0,ordinary,public,无认证,True
