user_name,n_targets_total,n_m,n_w,B_i,user_type_raw,node_type_3class
秦都检察,2,1,1,1.0,mainstream,mainstream
huabiwei,13,1,1,1.0,public,ordinary
飞天神猪的欢乐窝,3,1,1,1.0,public,ordinary
流了个年呀呀呀呀,3,1,1,1.0,public,ordinary
风湿科聂医生,2,1,1,1.0,public,ordinary
好像笑,3,1,1,1.0,public,ordinary
北京房山韩村河健康教育,2,1,1,1.0,public,ordinary
芊霖Joyce,2,1,1,1.0,public,ordinary
方脑壳邓铂鋆,10,1,1,1.0,public,ordinary
寂寞死球可,2,1,1,1.0,public,ordinary
人籍spirit,2,1,1,1.0,public,ordinary
无敌幸运小番茄,4,1,1,1.0,public,ordinary
张国庆看天下,9,2,2,1.0,wemedia,wemedia
中西医结合医学微博,17,2,2,1.0,public,ordinary
核聚变ju,14,2,2,1.0,public,ordinary
剑客2046,2,1,1,1.0,public,ordinary
辽阔湛蓝1,2,1,1,1.0,public,ordinary
哥小拉不喜欢说话,2,1,1,1.0,public,ordinary
乾坤赢得一闲人,10,1,1,1.0,public,ordinary
希然宁泊ling,2,1,1,1.0,other,ordinary
维维滴豆奶么么哒,10,1,1,1.0,public,ordinary
陕西汉书下酒,7,1,1,1.0,mainstream,mainstream
又简单又趣闻的昵称,6,1,1,1.0,public,ordinary
阿正时光,2,1,1,1.0,public,ordinary
baby-unicorn,15,1,1,1.0,public,ordinary
_苏沐瑶_,3,1,1,1.0,public,ordinary
嘉善老顾,2,1,1,1.0,wemedia,wemedia
雨城A,5,1,1,1.0,public,ordinary
星弧权益,4,1,1,1.0,other,ordinary
路过1314,2,1,1,1.0,public,ordinary
半山一片林木也,3,1,1,1.0,public,ordinary
三无_六不,7,2,2,1.0,public,ordinary
梦醉春风,2,1,1,1.0,public,ordinary
慌则乱急则疲三代目,2,1,1,1.0,public,ordinary
醇咖Kkk,2,1,1,1.0,public,ordinary
百战刀,2,1,1,1.0,wemedia,wemedia
朱理明-中医肿瘤君,2,1,1,1.0,wemedia,wemedia
-夜鸮-,4,1,1,1.0,public,ordinary
知行合一_2023-3,7,1,1,1.0,public,ordinary
高龄少女心,2,1,1,1.0,public,ordinary
香草拉面,3,1,1,1.0,public,ordinary
郭晓东_,5,1,1,1.0,public,ordinary
全民wisdom,5,1,1,1.0,wemedia,wemedia
向往发展,3,1,1,1.0,public,ordinary
123和雅音,3,1,1,1.0,public,ordinary
恶魔灯笼,5,1,1,1.0,public,ordinary
凌水听涛,3,1,1,1.0,public,ordinary
金池荷涟涟,13,1,1,1.0,public,ordinary
怡味薯蓣锦,12,1,1,1.0,public,ordinary
谢耘,2,1,1,1.0,wemedia,wemedia
raruku2010或者叫口袋,3,1,1,1.0,public,ordinary
来碗饸络面,7,1,1,1.0,public,ordinary
夏青青的猫,6,1,1,1.0,public,ordinary
用户7612030497,9,1,1,1.0,public,ordinary
呵呵上海2012,39,3,4,0.8571428571428572,public,ordinary
琥珀柏林,23,2,3,0.8,public,ordinary
