interaction_group,no_media,mainstream_only,wemedia_only,dual
no_media,1211.0,0.0,0.0,0.0
mainstream_only,46.0,0.0,0.0,0.0
wemedia_only,252.0,0.0,0.0,0.0
dual,12.0,0.0,0.0,0.0
