feature,mainstream_mean,wemedia_mean,mainstream_median,wemedia_median,mainstream_nonzero_share,wemedia_nonzero_share,mainstream_n,wemedia_n,mannwhitney_u,mannwhitney_p,cliffs_delta_mainstream_vs_wemedia,cliffs_delta_magnitude
punct_density,0.004822173266130365,0.007222150807534163,0.0,0.0,0.293717277486911,0.3581151832460733,1910,955,846993.5,0.0001558080641076298,-0.07130451467887389,negligible
first_person_ratio,0.002720025319239926,0.007360776000245398,0.0,0.0,0.19109947643979058,0.36544502617801045,1910,955,738777.5,8.353714893577852e-28,-0.1899591568213591,small
data_token_ratio,0.03580197809982844,0.01602541095775607,0.017391304347826087,0.0058997050147492625,0.7319371727748691,0.5214659685863874,1910,955,1190761.5,3.0078945177779275e-42,0.3056237493489762,small
avg_sentence_len,81.23172408238818,64.48364719379757,73.5,52.0,1.0,1.0,1910,955,1160532.0,1.086161926561686e-32,0.27247827636303823,small
