time_window,n_posts,n_public,X_H,X_M,X_L,a,Q,n_mainstream,p_risk_mainstream,n_wemedia,p_risk_wemedia,n_government
2020-03-25 12:50:00,1,1,,,,,,0,,0,,0
2020-05-05 11:30:00,1,1,,,,,,0,,0,,0
2020-05-14 19:20:00,1,0,,,,,,0,,1,1.0,0
2020-05-15 11:10:00,1,0,,,,,,0,,1,1.0,0
2020-07-13 15:50:00,2,2,,,,,,0,,0,,0
2020-07-13 16:00:00,1,1,,,,,,0,,0,,0
2020-07-24 21:00:00,1,1,,,,,,0,,0,,0
2020-08-20 10:00:00,1,0,,,,,,1,1.0,0,,0
2020-10-16 20:50:00,1,0,,,,,,0,,1,1.0,0
2020-11-13 14:00:00,1,1,,,,,,0,,0,,0
2020-12-11 17:50:00,1,0,,,,,,1,1.0,0,,0
2020-12-11 18:50:00,1,0,,,,,,1,1.0,0,,0
2020-12-24 22:40:00,1,1,,,,,,0,,0,,0
2020-12-31 11:00:00,1,0,,,,,,0,,0,,0
2021-01-09 17:10:00,1,0,,,,,,0,,1,1.0,0
2021-01-15 13:00:00,1,0,,,,,,1,1.0,0,,0
2021-01-21 21:20:00,1,1,,,,,,0,,0,,0
2021-01-24 09:40:00,1,0,,,,,,0,,1,1.0,0
2021-01-27 16:00:00,1,0,,,,,,1,1.0,0,,0
2021-01-29 02:40:00,1,0,,,,,,0,,0,,0
2021-02-08 23:50:00,1,1,,,,,,0,,0,,0
2021-02-18 13:20:00,1,1,,,,,,0,,0,,0
2021-03-04 09:00:00,1,0,,,,,,0,,0,,0
2021-03-07 20:00:00,1,0,,,,,,0,,1,0.0,0
2021-03-23 01:10:00,1,0,,,,,,1,1.0,0,,0
2021-04-13 18:00:00,1,0,,,,,,0,,1,1.0,0
2021-05-30 22:10:00,1,0,,,,,,0,,1,1.0,0
2021-06-08 11:00:00,1,1,,,,,,0,,0,,0
2021-06-18 16:00:00,1,1,,,,,,0,,0,,0
2021-07-15 19:00:00,1,0,,,,,,0,,0,,0
2021-08-01 04:20:00,1,1,,,,,,0,,0,,0
2021-08-01 05:10:00,1,1,,,,,,0,,0,,0
2021-08-03 09:20:00,1,1,,,,,,0,,0,,0
2021-08-03 11:10:00,1,1,,,,,,0,,0,,0
2021-08-05 12:50:00,1,1,,,,,,0,,0,,0
2021-08-07 16:10:00,1,1,,,,,,0,,0,,0
2021-08-09 11:20:00,2,2,,,,,,0,,0,,0
2021-09-09 20:20:00,1,0,,,,,,0,,1,1.0,0
2021-09-15 23:20:00,1,1,,,,,,0,,0,,0
2021-09-25 20:40:00,1,0,,,,,,0,,0,,0
2021-10-19 14:50:00,1,0,,,,,,0,,0,,0
2021-11-05 01:50:00,1,1,,,,,,0,,0,,0
2021-11-06 14:50:00,1,1,,,,,,0,,0,,0
2021-11-19 10:10:00,1,1,,,,,,0,,0,,0
2021-11-24 20:00:00,1,1,,,,,,0,,0,,0
2021-11-24 21:30:00,1,1,,,,,,0,,0,,0
2021-11-24 21:50:00,1,1,,,,,,0,,0,,0
2021-11-24 22:40:00,1,1,,,,,,0,,0,,0
2021-11-24 23:00:00,2,2,,,,,,0,,0,,0
2021-11-25 00:00:00,1,1,,,,,,0,,0,,0
2021-11-25 00:10:00,2,2,,,,,,0,,0,,0
2021-11-25 00:20:00,1,0,,,,,,0,,1,1.0,0
2021-11-25 00:40:00,2,1,,,,,,0,,1,1.0,0
2021-11-25 01:10:00,1,0,,,,,,0,,1,0.0,0
2021-11-25 03:00:00,1,1,,,,,,0,,0,,0
2021-11-25 03:10:00,1,0,,,,,,0,,1,1.0,0
2021-11-25 04:30:00,1,1,,,,,,0,,0,,0
2021-11-25 07:20:00,1,1,,,,,,0,,0,,0
2021-11-25 08:50:00,3,2,,,,,,0,,1,1.0,0
2021-11-25 09:30:00,1,0,,,,,,0,,1,1.0,0
2021-11-25 09:40:00,1,1,,,,,,0,,0,,0
2021-11-25 10:20:00,1,1,,,,,,0,,0,,0
2021-11-30 15:10:00,1,0,,,,,,0,,0,,0
2021-12-17 08:20:00,1,0,,,,,,0,,1,1.0,0
2021-12-29 04:30:00,2,2,,,,,,0,,0,,0
2022-01-03 12:20:00,1,0,,,,,,0,,1,0.0,0
2022-01-05 23:40:00,1,1,,,,,,0,,0,,0
2022-01-07 01:20:00,1,1,,,,,,0,,0,,0
2022-01-08 16:50:00,1,1,,,,,,0,,0,,0
2022-01-11 09:30:00,1,1,,,,,,0,,0,,0
2022-01-11 11:20:00,1,1,,,,,,0,,0,,0
2022-01-12 06:20:00,1,1,,,,,,0,,0,,0
2022-01-12 12:10:00,1,1,,,,,,0,,0,,0
