state,side_col,term,term_type,coef,std_err,z_value,p_value,odds_ratio
H,mainstream_risk_ratio,Intercept,intercept,-2.132105469227598,0.31830752784148464,-6.698256505857362,2.1092017021828724e-11,0.11858734880524896
H,mainstream_risk_ratio,C(time_fe)[T.2023Q1],time_fe,-0.30682673510865266,0.47812646729789277,-0.6417271498117815,0.5210503578509968,0.7357780743717082
H,mainstream_risk_ratio,mainstream_risk_ratio,side_risk_ratio,0.5294823188210585,0.7243230849498941,0.7310029596222051,0.4647773451769539,1.6980530309504698
H,mainstream_risk_ratio,z_n_total_interactions,control,0.9017631807198981,0.39093948052578775,2.3066567221788046,0.021073964698794967,2.4639436614039036
H,mainstream_risk_ratio,z_active_days,control,0.4062903656615118,0.2979224702576729,1.3637452902096026,0.17264774447223452,1.5012383972580825
H,mainstream_risk_ratio,z_n_posts,control,-0.425762914244862,0.32361629028967914,-1.3156411683223617,0.18829450898301614,0.6532712050590131
M,mainstream_risk_ratio,Intercept,intercept,1.7897762773371524,0.2875092494767671,6.22510851596717,4.812228393547002e-10,5.988112640008685
M,mainstream_risk_ratio,C(time_fe)[T.2023Q1],time_fe,0.32319084295775535,0.39164656197491554,0.8252104686634663,0.40925211104046433,1.3815289808257984
M,mainstream_risk_ratio,mainstream_risk_ratio,side_risk_ratio,-1.2238776476124964,0.5224825671016473,-2.342427718501075,0.01915874463437306,0.2940875850686752
M,mainstream_risk_ratio,z_n_total_interactions,control,-0.7710207109399271,0.37142112306284575,-2.0758666189522765,0.03790628881143632,0.4625407069203041
M,mainstream_risk_ratio,z_active_days,control,-0.1803957692965272,0.28663939124434473,-0.6293474477230852,0.5291216147108586,0.8349397025142425
M,mainstream_risk_ratio,z_n_posts,control,0.4417796115993875,0.30423067341687277,1.4521205460240953,0.14646808998415217,1.5554728944724499
L,mainstream_risk_ratio,Intercept,intercept,-4.014955466122613,0.5361060827453903,-7.489106345449567,6.927791673660977e-14,0.018043758091368132
L,mainstream_risk_ratio,C(time_fe)[T.2023Q1],time_fe,-0.6714592771623744,0.6007868496661282,-1.1176331132006645,0.2637237203091525,0.5109623977193682
L,mainstream_risk_ratio,mainstream_risk_ratio,side_risk_ratio,1.1954182030819147,0.6670435299149567,1.7921142316369096,0.07311466964213587,3.304939617468769
L,mainstream_risk_ratio,z_n_total_interactions,control,0.032203489863822994,0.7269531315223453,0.04429926561618108,0.964665857054928,1.0327276335304247
L,mainstream_risk_ratio,z_active_days,control,-0.8340119346694947,0.6330155336313734,-1.317522067562987,0.18766368906016528,0.43430338962564907
L,mainstream_risk_ratio,z_n_posts,control,0.20570131374527648,0.5977732366085833,0.344112618544627,0.7307615935390797,1.2283862471080484
H,wemedia_risk_ratio,Intercept,intercept,-1.1895733703977849,1.1828605348008676,-1.0056750862839865,0.31457189139682473,0.3043510815536006
H,wemedia_risk_ratio,C(time_fe)[T.2023Q1],time_fe,-1.954096978584939,1.4382927056372634,-1.3586226022881334,0.17426620919522717,0.14169237018479033
H,wemedia_risk_ratio,wemedia_risk_ratio,side_risk_ratio,-1.1793920018757935,1.6000086147273824,-0.7371160323888283,0.46105179025889864,0.3074656203039147
H,wemedia_risk_ratio,z_n_total_interactions,control,0.22074030293584596,1.1219734466594975,0.1967428940435855,0.8440287414652992,1.246999546388802
H,wemedia_risk_ratio,z_active_days,control,-0.07059593270898586,1.0801710745867716,-0.06535625177335258,0.9478903555962901,0.9318383414613364
H,wemedia_risk_ratio,z_n_posts,control,-0.21404515292750573,1.0418746080078571,-0.20544233565378486,0.8372265465448288,0.807311931702574
M,wemedia_risk_ratio,Intercept,intercept,1.1954850425203456,1.1842932712739143,1.009450168735986,0.3127587885524403,3.3051605251594394
M,wemedia_risk_ratio,C(time_fe)[T.2023Q1],time_fe,1.95834098776853,1.4401704207302322,1.3597980902673739,0.173893826917368,7.087558959135381
M,wemedia_risk_ratio,wemedia_risk_ratio,side_risk_ratio,1.1836223553365617,1.6015526721617765,0.7390467862283341,0.4598785879685581,3.2661840795219343
M,wemedia_risk_ratio,z_n_total_interactions,control,-0.22136328148299594,1.1231257353225326,-0.19709572536811842,0.84375262848147,0.8014254843618838
M,wemedia_risk_ratio,z_active_days,control,0.06960687509994476,1.0812718035052862,0.0643750025426465,0.9486716338129433,1.0720866344483546
M,wemedia_risk_ratio,z_n_posts,control,0.21409741533884222,1.043011617728248,0.20526848570024686,0.8373623645530861,1.2387433215163661
