exposure_group,env_type,n_transitions,p_H,p_M,p_L
dual,norisk,63,0.23809523809523808,0.7619047619047619,0.0
dual,risk,38,0.07894736842105263,0.8421052631578947,0.07894736842105263
mainstream_only,norisk,88,0.045454545454545456,0.9545454545454546,0.0
mainstream_only,risk,38,0.0,1.0,0.0
wemedia_only,norisk,78,0.02564102564102564,0.9358974358974359,0.038461538461538464
wemedia_only,risk,97,0.12371134020618557,0.6701030927835051,0.20618556701030927
