user_name,exposure_group,prev_time,curr_time,transition,env_type,env_risk_ratio,next_state,time_fe,n_posts,n_total_interactions,active_days,z_n_total_interactions,z_active_days,z_n_posts
-食品与养生-,mainstream_only,2023-02-02 22:03:00,2023-02-07 12:51:00,M->M,risk,1.0,M,2023Q1,3,8,3,-0.4875782311331054,-1.066919649856615,-1.0260120687393575
-食品与养生-,mainstream_only,2023-02-07 12:51:00,2023-02-08 22:28:00,M->M,risk,1.0,M,2023Q1,3,8,3,-0.4875782311331054,-1.066919649856615,-1.0260120687393575
911苏州新闻广播,mainstream_only,2022-10-14 10:21:00,2023-02-09 15:24:00,M->M,risk,1.0,M,2023Q1,2,1,2,-0.7476815756655335,-1.1645304143632966,-1.0836258208881524
Dr嘚嘚,wemedia_only,2022-10-14 11:11:00,2023-02-07 16:20:00,L->M,risk,1.0,M,2023Q1,4,2,4,-0.7105239550180438,-0.9693088853499333,-0.9683983165905627
Dr嘚嘚,wemedia_only,2023-02-07 16:20:00,2023-02-12 16:55:00,M->M,norisk,0.0,M,2023Q1,4,2,4,-0.7105239550180438,-0.9693088853499333,-0.9683983165905627
Dr嘚嘚,wemedia_only,2023-02-12 16:55:00,2023-02-20 12:00:00,M->M,risk,1.0,M,2023Q1,4,2,4,-0.7105239550180438,-0.9693088853499333,-0.9683983165905627
FrancesCJ,mainstream_only,2022-12-01 17:15:00,2022-12-01 18:00:00,M->M,norisk,0.0,M,2022Q4,2,1,1,-0.7476815756655335,-1.2621411788699781,-1.0836258208881524
IssacOnly,wemedia_only,2023-02-08 02:02:00,2023-02-11 00:02:00,L->M,risk,1.0,M,2023Q1,4,10,3,-0.4132629898381259,-1.066919649856615,-0.9683983165905627
IssacOnly,wemedia_only,2023-02-11 00:02:00,2023-02-11 20:03:00,M->M,norisk,0.0,M,2023Q1,4,10,3,-0.4132629898381259,-1.066919649856615,-0.9683983165905627
IssacOnly,wemedia_only,2023-02-11 20:03:00,2023-02-18 15:59:00,M->M,norisk,0.0,M,2023Q1,4,10,3,-0.4132629898381259,-1.066919649856615,-0.9683983165905627
