user_name,prev_time,curr_time,transition,next_state,mainstream_risk_ratio,wemedia_risk_ratio,n_mainstream_targets_observed,n_wemedia_targets_observed,time_fe,n_posts,n_total_interactions,active_days,z_n_total_interactions,z_active_days,z_n_posts
呵呵上海2012,2023-02-03 00:42:00,2023-02-28 13:31:00,M->M,M,,,0,0,2023Q1,3,196,2,4.706873699963862,-1.4110995023533248,-1.3960581170320403
大健康公社,2023-01-06 19:42:00,2023-02-05 21:18:00,M->H,H,,,0,0,2023Q1,3,3,3,-1.5176396907187937,-1.339025997414623,-1.3960581170320403
大健康公社,2023-02-05 21:18:00,2023-02-16 15:18:00,H->L,L,,,0,0,2023Q1,3,3,3,-1.5176396907187937,-1.339025997414623,-1.3960581170320403
张国庆看天下,2023-01-07 19:08:00,2023-01-08 10:35:00,M->M,M,,,0,0,2023Q1,5,10,5,-1.291880137688853,-1.1948789875372194,-1.3063900739667629
张国庆看天下,2023-01-08 10:35:00,2023-01-09 18:51:00,M->L,L,,,0,0,2023Q1,5,10,5,-1.291880137688853,-1.1948789875372194,-1.3063900739667629
张国庆看天下,2023-01-09 18:51:00,2023-01-18 21:13:00,L->M,M,,,0,0,2023Q1,5,10,5,-1.291880137688853,-1.1948789875372194,-1.3063900739667629
张国庆看天下,2023-01-18 21:13:00,2023-02-03 16:31:00,M->M,M,0.0,,1,0,2023Q1,5,10,5,-1.291880137688853,-1.1948789875372194,-1.3063900739667629
彭国珩,2023-02-01 19:43:00,2023-02-02 21:35:00,M->M,M,,,0,0,2023Q1,7,4,7,-1.4853883260002307,-1.0507319776598159,-1.2167220309014852
彭国珩,2023-02-02 21:35:00,2023-02-03 18:25:00,M->M,M,,,0,0,2023Q1,7,4,7,-1.4853883260002307,-1.0507319776598159,-1.2167220309014852
彭国珩,2023-02-03 18:25:00,2023-02-04 20:13:00,M->M,M,,,0,0,2023Q1,7,4,7,-1.4853883260002307,-1.0507319776598159,-1.2167220309014852
彭国珩,2023-02-04 20:13:00,2023-02-05 15:40:00,M->M,M,,,0,0,2023Q1,7,4,7,-1.4853883260002307,-1.0507319776598159,-1.2167220309014852
彭国珩,2023-02-05 15:40:00,2023-02-06 19:46:00,M->M,M,,,0,0,2023Q1,7,4,7,-1.4853883260002307,-1.0507319776598159,-1.2167220309014852
彭国珩,2023-02-06 19:46:00,2023-02-07 15:37:00,M->M,M,,,0,0,2023Q1,7,4,7,-1.4853883260002307,-1.0507319776598159,-1.2167220309014852
我是希尔瑞思,2022-10-02 14:11:00,2022-10-02 14:12:00,M->H,H,,,0,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
我是希尔瑞思,2022-10-02 14:12:00,2022-10-09 19:44:00,H->M,M,,,0,0,2022Q4,56,75,37,0.8044585690177408,1.1114731705012375,0.9801450241978128
