user_id,n_follow_total,n_follow_mainstream,n_follow_wemedia,follow_group,user_name
1006174944,194,10,125,dual,陈瑞瑞陈
1010567100,0,0,0,no_media,财经洞察2025
1011202981,182,3,120,dual,深藏的温柔溪宝
1012327845,0,0,0,no_media,老北鼻的屋屋酱
1013372924,189,11,94,dual,曾迎-规划未来
1017529404,184,31,28,dual,文尔Neco
1020045915,189,1,129,dual,干烧黄花鱼
1024620554,0,0,0,no_media,不想被找到的奇怪人类
1029914170,142,0,50,wemedia_only,老莊孫子吴氏唠
1034464302,200,3,130,dual,发条橙子苏熙在路上
1039871270,0,0,0,no_media,薄世宁
1043916654,7,0,5,wemedia_only,Bailcast
1044561883,166,8,96,dual,leechedan
1046912720,188,4,84,dual,阿寻寻瞎逛中
1050380897,27,1,11,dual,很多年后再回来
1051557603,188,15,108,dual,一想起一
1053159872,182,19,33,dual,吃货的小表情
1056929433,200,0,44,wemedia_only,风雨如斯sanzyh
1056962940,167,2,39,dual,纯白de星海Lilith
1065190973,195,57,58,dual,济宁生态环境
1069265977,198,3,156,dual,AK47建安
1074183625,181,2,113,dual,半糖可可可
1075661461,33,4,20,dual,lw橙子
1081317394,0,0,0,no_media,唤我真名-筱
1082179325,130,0,73,wemedia_only,turbo_dai
1083533587,0,0,0,no_media,嗯_美式
1084246660,193,6,98,dual,张立夏
1084411633,192,3,131,dual,龚朝辉Alvin-英语写作
1085690240,95,0,66,wemedia_only,MozeJi
1098139832,186,9,87,dual,两只Rui淘的律师老爹
1101076812,197,11,133,dual,用户6gfn9enmi1
1105841384,192,1,57,dual,大鸣二鸣
1108811104,193,18,112,dual,路锦萍
1109845441,193,8,78,dual,A哥_AVR
1110840514,182,5,33,dual,倔犟的秦人
1132428807,179,60,6,dual,四川工人日报
1134392517,181,3,128,dual,妮酱阿
1135161813,152,6,92,dual,坤小赵
1135939212,193,19,97,dual,依梵儿
1138841635,189,10,125,dual,王家三千斤
1142398695,73,1,38,dual,sky132009
1152128731,0,0,0,no_media,北京牙医钟
1156927893,0,0,0,no_media,难般聊聊
1169939362,193,1,109,dual,mao源
1175214510,163,3,116,dual,蒙味始觉
1178474867,151,9,40,dual,油锅游民油世界
1178957587,162,5,50,dual,今日珀斯君
1180319325,130,0,114,wemedia_only,恬而不腻
1180557177,172,4,79,dual,polyhedron
1193958860,29,3,21,dual,路过人间28
1194851590,78,7,9,dual,是丶周同学
1195487630,126,0,62,wemedia_only,十一发点小财
1197734753,197,13,162,dual,Jackeewu
1198384497,173,24,68,dual,秦时明月Fay
1198791220,192,3,112,dual,取个没被抢占的昵称真的好难
1199619961,0,0,0,no_media,克里斯托的秘密花园
1200933465,0,0,0,no_media,江氏小盗龙
1201245982,80,0,68,wemedia_only,等等和淇淇
1201446657,190,9,128,dual,凤梨酥里没菠萝
1202197767,183,0,17,wemedia_only,郑海容1971
1203091483,0,0,0,no_media,金刀王
1205554964,179,17,64,dual,乌鸦像写字台nj
1208361213,180,16,115,dual,支持爱国爱港的普通人
1212169731,175,11,80,dual,kathery
1214455430,188,4,78,dual,正要说啥
1216388575,193,26,93,dual,婚姻与家庭杂志
1216550400,200,8,124,dual,大米小海
1216863843,185,1,96,dual,初冬暖阳的旅行
1219027675,182,0,102,wemedia_only,麦芽么么
1219520971,187,7,38,dual,云南速报
1219830114,0,0,0,no_media,陆江Maxime
1220233782,196,29,102,dual,Ziktj1114
1222382122,40,4,17,dual,相三三三
1222382944,0,0,0,no_media,吉传铁的微博
1223117947,183,21,19,dual,湖南新闻网
1223696621,193,9,118,dual,大饼脸Sophie
1225833283,0,0,0,no_media,爱国华侨亿男
1226194587,169,12,92,dual,叶枝莎纱
1227053660,192,9,110,dual,老虎仔Tonyconnie
1227947801,190,17,117,dual,博秀
1231959367,191,7,65,dual,诸葛子虚
1232675724,0,0,0,no_media,中医侯洪远
1233099717,126,2,42,dual,yy的碎石子
1234761873,192,7,113,dual,LY_1201
1237005495,198,7,115,dual,Eva·Art
1237475483,187,4,108,dual,回水星了勿念
1237885932,193,8,103,dual,蒜头他叔
1237975080,0,0,0,no_media,angelsuer
1239361920,194,2,110,dual,暴躁的猫猫兔
1240294647,194,2,58,dual,大獅子de離心定律
1241018212,190,3,109,dual,郭筱璐
1241206783,138,1,41,dual,1咪cptbtptp
1245780372,114,7,51,dual,全民wisdom
1245797004,182,12,55,dual,乡村咖啡t
1247020595,146,3,57,dual,平平无奇的码字小笨手
1247633954,0,0,0,no_media,女车神冬冬
1247847641,68,7,30,dual,多啦变维尼
1250432490,0,0,0,no_media,我是一颗小瓜子儿
1251255694,0,0,0,no_media,整形医生刘安堂
1254131397,167,12,55,dual,令狐同学呀
1256883933,196,8,136,dual,不会唱高音的律己村民
1256971601,116,1,48,dual,中医肖阁敏
1257627414,171,0,69,wemedia_only,怪刕少女
1259668954,192,4,74,dual,June小杉酱
1260141647,8,0,2,wemedia_only,信不信我一个大嘴巴子踢死你
1260922661,0,0,0,no_media,烛光水晶
1261184617,34,0,28,wemedia_only,庐州雄鹰
1261395001,0,0,0,no_media,慕容小青
1264366955,188,1,123,dual,查词典学英语
1264738721,17,4,4,dual,King_CAPDI
1266592412,188,2,127,dual,营养师叶婷婷
1267227024,149,2,59,dual,毛发移植谢祥医生
1268230472,190,10,103,dual,Reborn的Harvey弘
1269589463,0,0,0,no_media,深圳人说深圳事
1269995552,181,20,71,dual,旷野-Trien
1270645080,146,9,113,dual,蜗小牛_卷卷
1274443080,0,0,0,no_media,木白弓虽
1274494974,0,0,0,no_media,魔都文科生
1275808495,186,29,76,dual,MNT筋膜空间平衡
1280933657,195,4,121,dual,笑的像个狐狸
1283853975,39,6,22,dual,天医hy
1285771912,180,3,59,dual,大连汉唐中医张斌字彧彰
1286220872,185,10,93,dual,一直也没瘦下去的fxk
1286723462,7,1,1,dual,sunny叙
1289127121,194,2,25,dual,李同学不化妆
1294978200,195,5,143,dual,努力修炼的Lily
1296148457,192,14,97,dual,张奚敖
1298928792,136,0,57,wemedia_only,Marina
1303740651,198,0,146,wemedia_only,冰熊由希
1303995195,192,2,116,dual,莲塘少女
1306151395,129,1,34,dual,靳wolf东
1306568335,103,5,71,dual,来如13
1306641637,129,0,30,wemedia_only,温三岁的小兔叽
1307237851,199,8,115,dual,猫猫猫Morning
1309125414,192,6,104,dual,阿薰要努力啊
1310428642,194,1,77,dual,一钱六文
1313308097,193,3,120,dual,大敏郡主
1318267361,194,4,81,dual,W_LIANGLIANG
1319840907,178,17,75,dual,小城搬砖人
1322599892,191,3,110,dual,-wang-cc
1325315321,176,9,37,dual,可以用的名字好难啊
1327291942,42,0,20,wemedia_only,我叫胡一楠_小名燕子
1330425445,0,0,0,no_media,费城的猫0
1335908793,199,0,71,wemedia_only,敬一山
1338407494,0,0,0,no_media,英仙座上有只小瓜
1339315771,189,6,90,dual,小羊羊姑姑晨阳
1343794370,194,3,153,dual,杨青峰168
1347131962,102,0,71,wemedia_only,乖宝宝舒香
1347992865,0,0,0,no_media,呜大熊
1348562270,0,0,0,no_media,幸福能量疗愈体系创始人_赵馨
1351208337,194,8,100,dual,雾屿丨
1353768824,196,32,98,dual,梧桐续雨
1356065407,189,10,99,dual,萧瑟玲珑心
1356658417,0,0,0,no_media,烟雨楼百年孤独
1360742367,194,12,128,dual,爱吃糊糊小馄饨的途途
1361015141,197,7,135,dual,七_今晚不吃饭
1361188363,196,15,122,dual,好朋友手牵手
1365323735,0,0,0,no_media,时空点播
1367679907,0,0,0,no_media,话说三秦
1370649431,194,9,130,dual,全国吃货大联盟
1371125037,195,15,99,dual,sky-style2010
1372632133,123,0,16,wemedia_only,杨成瑞
1376468550,185,4,34,dual,linger是学渣
1390157045,182,4,83,dual,老凯叔
1392961200,179,4,59,dual,马宝琳谈房颤
1397993982,189,8,126,dual,小啊小溪流永远不停留
1400190101,0,0,0,no_media,程国强观察
1401007151,197,5,114,dual,燕北翔
1401342901,166,4,80,dual,向日葵全盛的夏天2011
1402038067,0,0,0,no_media,钱辉_医学美容
1402901591,0,0,0,no_media,财经早餐
1403612292,171,3,76,dual,梦境飞行模式开启
1404400605,131,0,30,wemedia_only,熊猫和朋友们
1405497122,178,3,92,dual,心仁易老
1405518933,0,0,0,no_media,蘅娘
1406105212,148,33,21,dual,精彩东方
1407318522,0,0,0,no_media,水至尊
1408018902,72,6,33,dual,May艺馨
1408429377,182,41,66,dual,童姐营养师和小炟同学
1410598242,0,0,0,no_media,Anise_Han
1411441551,192,1,112,dual,先聚焦后改变
1412499464,186,0,141,wemedia_only,墨羽烟
1412824393,195,17,97,dual,kwmm
1413481042,178,6,144,dual,雁过薅毛
1414705722,173,31,60,dual,舒中胜
1414866832,53,1,10,dual,动物眼科医生-李铭
1414886724,198,2,167,dual,水针摄影
1415883795,185,10,90,dual,流浪的猫猫9
1416565162,195,7,104,dual,湿人默客
1417589750,177,8,101,dual,一亩荼蘼
1417628835,193,4,91,dual,亦为往圣继绝学
1418058457,191,33,87,dual,沙雕语录
1418482142,198,10,101,dual,真心真奕
1424800331,0,0,0,no_media,影视三把刷
1424938311,176,4,38,dual,Xcheese
1425109103,123,16,73,dual,恩子gzpoon
1426958282,0,0,0,no_media,resign-CHH
1427013294,175,5,117,dual,sugar唐果05
1431104003,187,21,56,dual,开心每一天gina
1431190487,113,10,34,dual,大唐文枫
1432670812,187,4,49,dual,龙儿jn
1435324995,164,4,111,dual,飞天306
1437674823,199,0,102,wemedia_only,青春犹如方糖
1438481585,198,15,131,dual,肌肉先森
1439388993,188,6,46,dual,艾森克思
1442225373,191,13,109,dual,生如夏之莲
1443422847,140,9,71,dual,长弓白石文王
1444313404,0,0,0,no_media,领事闲谈
1444777537,188,18,66,dual,Gorgeous_Hope
1447207745,38,0,22,wemedia_only,一罐甜Jo
1447712623,49,14,2,dual,超级点子王
1448448401,174,8,79,dual,北京众成医疗律师团队
1454830485,145,5,40,dual,锋声LF
1455232643,182,15,35,dual,西安网络广播电视台
1459272740,0,0,0,no_media,嘉善老顾
1460212570,140,6,8,dual,双脆
1465030073,187,1,87,dual,Chenhaowei要胜
1470407485,0,0,0,no_media,男科医生王古道
1474751224,192,10,95,dual,巽元堂承庚
1481324167,0,0,0,no_media,半杯馊茶
1495309554,0,0,0,no_media,仙人掌-75581
1495398920,169,1,99,dual,Banyan_Republic
1495815674,0,0,0,no_media,迷失的飛星小星星
1496771584,65,2,32,dual,甜猪10
1497007084,188,5,74,dual,正心明事
1497305883,0,0,0,no_media,旗帜飞扬爱生活
1504420065,191,20,78,dual,深南路
1508661252,186,5,101,dual,上饶信使
1513547042,186,3,113,dual,耿向南_
1515937837,114,3,80,dual,野孩子_bu_溫柔
1536462930,132,1,74,dual,淤泥生莲无住生心
1538083941,0,0,0,no_media,笑看白云
1540848463,185,26,55,dual,杨乾武律师
1544256452,189,11,104,dual,拥抱大同世界的潇雨老师
1549268635,192,9,99,dual,张梓龙-Rix
1551524601,196,17,103,dual,X_Mer123
1552711251,191,0,122,wemedia_only,糯米你不要再吃了
1553124002,75,0,25,wemedia_only,不想上进不想努力
1561329480,186,6,119,dual,单向街Iirs
1562273464,0,0,0,no_media,365-厦门大雨
1563083644,37,0,28,wemedia_only,我是连云港小布
1563541822,100,1,42,dual,Lindainsz
1573677497,186,3,69,dual,董江波
1574229685,185,15,115,dual,四喜小丸子_23
1574459550,193,7,124,dual,吴Yoyo啊
1574895913,0,0,0,no_media,美索不达米亚大神仙
1577004425,190,0,120,wemedia_only,_大力泡泡糖_
1577364791,122,0,38,wemedia_only,七月Ban夏
1577465050,192,4,108,dual,手感造物
1579158177,189,16,80,dual,藍小喵_Jade
1580466847,0,0,0,no_media,得意学堂岱珈
1580995124,194,8,122,dual,微笑女王Memory
1582428755,186,1,31,dual,popular论
1582574571,153,0,45,wemedia_only,小伍的移动面包
1582921410,184,3,89,dual,LaLaLa123Go
1587824164,146,2,62,dual,尚-娃佳
1587920677,187,6,139,dual,蓝天_无垠
1588042844,196,10,109,dual,甜草莓泡芙球
1591398443,181,1,83,dual,百津禾
1592229153,193,8,122,dual,情感文艺君
1592636894,0,0,0,no_media,夏鱼鱼鱼鱼
1593163950,181,35,50,dual,周思CIO
1593256474,199,18,115,dual,动之斯和
1595552893,197,8,155,dual,Sakurol
1596269392,131,4,75,dual,zhenyuncai
1597100352,197,1,178,dual,单瓣白栀子
1597441111,80,2,18,dual,evanfink西瓜
1599871571,189,7,45,dual,VINEHOO葡萄酒
1600215101,176,0,111,wemedia_only,怀柔chill
1600323734,0,0,0,no_media,俗家方丈
1600810524,153,1,64,dual,PoodleBB
1602065434,66,4,26,dual,沿时光消失的印记
1603285831,194,18,119,dual,Whiskey宝贝儿
1604526887,0,0,0,no_media,中医蔡良俊
1608266567,191,21,102,dual,大佬甜成草莓蛋糕
1609067412,181,2,115,dual,此时此刻的Susan
1612245823,0,0,0,no_media,李夏夏Cynthia
1612613623,191,4,118,dual,嚴y温柔
1615159225,0,0,0,no_media,FinalColor工作室
1616498671,129,10,56,dual,吃饭就吃一两饭
1617416704,189,51,21,dual,湖北经典音乐广播
1619978574,192,10,43,dual,骨哥林
1621326227,177,3,90,dual,咖啡加芋圆
1622093743,0,0,0,no_media,IssacOnly
1622289995,193,2,137,dual,中医徐伊森
1622643882,186,3,108,dual,碧根果很好吃
1623806611,189,19,99,dual,极客红石
1624485893,189,0,126,wemedia_only,安东尼是一只鸟
1624787217,191,1,91,dual,米小贝壳
1625226555,153,0,78,wemedia_only,空想流
1628505107,194,1,127,dual,Busan的夏天
1629700301,115,15,63,dual,土豆zs
1630423295,199,65,37,dual,都市频道
1631522324,200,9,109,dual,星斗大森林在逃大兔紫
1632763847,188,4,43,dual,反水立警王岛茫
1634797517,191,4,135,dual,Mis-Ocean
1634880667,185,3,29,dual,小梨丶花
1638620471,186,19,119,dual,T堕落诗人T
1639816213,193,49,92,dual,CC赖米米
1640489733,0,0,0,no_media,桂哥猎手VIP777
1641063832,105,2,61,dual,是Vivi喔_
1641516883,61,10,21,dual,倔强的木木洛洛
1642399723,149,4,56,dual,猫小咪的猫小茜
1642581090,116,1,77,dual,鹿夏生
1644979461,191,7,103,dual,冰糖福芦_ooo
1646119294,173,0,43,wemedia_only,甚么都没有的熊
1646378857,145,4,87,dual,变不成箩筐的废稻草
1647933751,200,1,78,dual,宝瓶座jay
1648070445,189,4,121,dual,yueyuemomo2020
1648953020,0,0,0,no_media,39健康网
1649504423,0,0,0,no_media,兕鼍吼
1649959671,134,6,56,dual,日语老师宗远
1650111241,194,33,31,dual,中国经营报
1650656350,138,1,24,dual,公子云啊
1650926392,0,0,0,no_media,恭喜你又发财了
1651250935,188,0,81,wemedia_only,黏黏看
1652303170,186,7,89,dual,glance
1654077857,177,2,115,dual,DQ视角
1655414704,163,28,28,dual,喝咖啡的熊猫不胖
1655747731,193,3,99,dual,有个梨GPT
1657323061,189,1,143,dual,天漏微光
1658856190,168,2,57,dual,凤梨休假只想吃睡睡吃
1660231537,175,3,116,dual,Super顺灰常顺
1660540343,197,10,144,dual,精彩好精彩
1660745412,28,4,12,dual,justice1250
1660763043,199,1,123,dual,我偏爱的那抹蓝
1661253030,0,0,0,no_media,无痕阅盘
1661759940,0,0,0,no_media,菲菲姐的小花园
1663072851,0,0,0,no_media,中国日报
1663298811,193,7,107,dual,他从精神病院逃跑了
1663933725,0,0,0,no_media,平安温州
1664418483,184,13,95,dual,甜点中毒的女纸
1665134494,194,6,123,dual,蛐蛐儿here
1665315744,174,5,64,dual,孟静舍
1666834853,193,5,131,dual,糖和小蜜蜂
1667633684,28,6,11,dual,吃好是大事
1667693294,183,5,86,dual,闲-小柒
1668042617,196,4,64,dual,急诊科-魏兵
1670105744,0,0,0,no_media,冷巷公子
1670665867,30,6,6,dual,瀚宏光电
1671703270,194,22,94,dual,雨朦公子
1672053025,196,7,126,dual,蕊子
1673193460,176,32,80,dual,李药师谈健康
1673489060,190,3,155,dual,头被门夹着
1673681280,195,10,137,dual,日本就职服务出国
1673981433,157,7,45,dual,长不大的同学
1676648490,83,0,54,wemedia_only,D_de日记本
1676994515,195,16,111,dual,属于hll
1677163683,192,9,163,dual,何新海_882
1677363772,194,3,129,dual,书不言
1679363747,188,0,126,wemedia_only,Miss___陈
1682880423,195,7,100,dual,Danny赖
1684561574,190,2,117,dual,康大夫-悟道中医
1685820641,115,4,67,dual,oO0泡泡泡沫
1685908582,37,0,17,wemedia_only,网名太麻烦了呀
1686165387,192,4,139,dual,糖糖1112
1686650211,84,41,9,dual,庆城融媒
1686992573,151,1,84,dual,冯冯的妈妈_疯疯
1688107983,193,3,98,dual,孙桃子Viky
1688160240,123,1,59,dual,薄荷叶叶绿生生
1688598784,66,5,8,dual,路口有只大喵咪
1688614393,186,0,46,wemedia_only,彼时有蝶
1688950025,188,2,32,dual,饭师傅不姓范
1690404251,182,12,96,dual,曹赢超caoyingchao
1691181587,187,6,104,dual,可爱的1932
1691571732,93,0,44,wemedia_only,完美计划______
1691638902,162,2,108,dual,Nikokiller
1692434231,0,0,0,no_media,o不服莫辩o
1693178227,168,1,99,dual,苗苗和壮壮的粑粑
1693774272,112,0,15,wemedia_only,山西弍大爷
1694175424,197,10,137,dual,麦莉酥酥
1695011210,185,5,66,dual,Zita本人
1695874693,197,11,100,dual,Adrian琥珀
1695941793,97,1,18,dual,彦汝谈舌相
1695957122,45,3,10,dual,空陵吸管
1696848604,195,7,139,dual,Wscorner
1697012600,195,6,98,dual,是海里呀
1697226881,196,3,99,dual,yayahuhu
1697253851,82,6,30,dual,晴彤宝
1698094077,67,4,10,dual,爱上洋甘菊
1698784044,191,71,4,dual,三秦都市报
1698825292,186,4,41,dual,顏佑亮-到台灣治病
1699245365,186,9,113,dual,踏浪天下
1699316434,178,10,94,dual,冬瓜大叔--目标塞班岛
1699964060,196,0,171,wemedia_only,眼科王江桥教授
1700093250,196,10,141,dual,晚上十一点就睡
1702868100,179,14,34,dual,马惠冬
1705210191,189,8,102,dual,金陵小厨神是我呀
1705906797,196,1,158,dual,Dudukiri
1706892861,192,6,108,dual,猫性-L
1707450894,179,20,22,dual,中国贸易报
1707490512,0,0,0,no_media,一枚安静的铝纸super3
1707513570,197,9,157,dual,拉梅尔
1708159150,0,0,0,no_media,中国大学生在线
