interaction_group,no_media,mainstream_only,wemedia_only,dual
no_media,125.0,0.0,199.0,887.0
mainstream_only,14.0,2.0,2.0,28.0
wemedia_only,63.0,0.0,48.0,141.0
dual,2.0,0.0,0.0,10.0
