state,side_col,term,term_type,coef,std_err,z_value,p_value,odds_ratio
H,mainstream_risk_ratio,Intercept,intercept,-0.9232828041535027,0.17896497374979353,-5.159013994796107,2.4825375621873036e-07,0.39721292615392995
H,mainstream_risk_ratio,C(time_fe)[T.2022Q1],time_fe,1.6426361867345394,1.3763298195145077,1.193490225557977,0.23267743794615559,5.1687774303430745
H,mainstream_risk_ratio,C(time_fe)[T.2022Q2],time_fe,-0.3259932198303733,0.586734698963232,-0.5556058307211209,0.5784803446046558,0.721810081409915
H,mainstream_risk_ratio,C(time_fe)[T.2022Q3],time_fe,2.167693002611969,1.2230038941239887,1.7724334427934434,0.07632263448742793,8.738101991254075
H,mainstream_risk_ratio,C(time_fe)[T.2022Q4],time_fe,-1.0716627424212073,0.4036075167420881,-2.6552100691078495,0.007925903379039978,0.34243865650321015
H,mainstream_risk_ratio,C(time_fe)[T.2023Q1],time_fe,-1.218566677630638,0.48437700309559245,-2.5157401566195996,0.011878272070311224,0.2956536303336683
H,mainstream_risk_ratio,C(time_fe)[T.2023Q2],time_fe,-1.1677924985350123,0.9578095950962997,-1.2192324074782324,0.22275599497879495,0.31105283351855606
H,mainstream_risk_ratio,C(time_fe)[T.2023Q3],time_fe,-1.971800209560674,0.28300642446539426,-6.967333739103099,3.2300828678444304e-12,0.1392060304863672
H,mainstream_risk_ratio,C(time_fe)[T.2023Q4],time_fe,-0.3761290356972639,0.6029049716401049,-0.6238612275398328,0.5327187253208845,0.686513742547305
H,mainstream_risk_ratio,C(time_fe)[T.2024Q2],time_fe,-1.7811919315267855,1.3849384222857084,-1.2861163376398341,0.19840246312339027,0.16843726188883926
H,mainstream_risk_ratio,C(time_fe)[T.2024Q3],time_fe,-1.1940176797714286,1.5234817501614641,-0.7837426865434274,0.43319110980634257,0.3030014524949872
H,mainstream_risk_ratio,C(time_fe)[T.2024Q4],time_fe,0.6622346684044557,0.8711258539639631,0.760205503476942,0.44713175583109743,1.9391207882291412
H,mainstream_risk_ratio,mainstream_risk_ratio,side_risk_ratio,0.17771121310459642,0.2513946416699161,0.7069013560676173,0.47962778121327965,1.19448032115788
H,mainstream_risk_ratio,z_n_total_interactions,control,2.6824327473733094,0.36461014505629913,7.356988783071621,1.8807178037150152e-13,14.620618337491115
H,mainstream_risk_ratio,z_active_days,control,-1.840582550018343,0.2334774682527745,-7.883341222569861,3.1086244689504383e-15,0.1587249339556968
H,mainstream_risk_ratio,z_n_posts,control,-0.6421054697895376,0.25716483651999195,-2.4968634066719324,0.012529721018122553,0.5261833936986113
M,mainstream_risk_ratio,Intercept,intercept,0.19236497308725792,0.15786790112350238,1.218518595092792,0.22302696280088896,1.2121128248045356
M,mainstream_risk_ratio,C(time_fe)[T.2022Q1],time_fe,-1.6212916659228465,1.377320678971528,-1.1771344834040365,0.23914183348244866,0.197643245093956
M,mainstream_risk_ratio,C(time_fe)[T.2022Q2],time_fe,0.2155017904714568,0.5858954812991759,0.3678160992018559,0.7130103638566496,1.240484203972687
M,mainstream_risk_ratio,C(time_fe)[T.2022Q3],time_fe,-2.2181009033230725,1.2118455685561123,-1.830349477587224,0.06719769728151048,0.10881556399973014
M,mainstream_risk_ratio,C(time_fe)[T.2022Q4],time_fe,0.964554785876546,0.398186585384368,2.422368862440368,0.015419690010078035,2.6236193240371946
M,mainstream_risk_ratio,C(time_fe)[T.2023Q1],time_fe,1.0621481934276196,0.3871800075011978,2.743292971872608,0.006082638983909927,2.892578137146886
M,mainstream_risk_ratio,C(time_fe)[T.2023Q2],time_fe,1.835962948744754,0.8587578415104921,2.137928598725142,0.032522538716878824,6.271170054165735
M,mainstream_risk_ratio,C(time_fe)[T.2023Q3],time_fe,1.98158589436505,0.2498394176011911,7.93143817493274,2.220446049250313e-15,7.254238323235333
M,mainstream_risk_ratio,C(time_fe)[T.2023Q4],time_fe,0.7549885366433646,0.5409820150107186,1.3955889765178346,0.16283830387957177,2.127587133925417
M,mainstream_risk_ratio,C(time_fe)[T.2024Q2],time_fe,2.499658936279577,1.2724580298778596,1.9644333074934612,0.04947986340076804,12.178339662469684
M,mainstream_risk_ratio,C(time_fe)[T.2024Q3],time_fe,-1.1024668938031936,1.051225959991663,-1.0487439768058402,0.294295968162289,0.33205093810640207
M,mainstream_risk_ratio,C(time_fe)[T.2024Q4],time_fe,-0.5963945029192296,0.6209001856394527,-0.9605320093518973,0.33678752902396636,0.5507939463052585
M,mainstream_risk_ratio,mainstream_risk_ratio,side_risk_ratio,-0.4585751654685968,0.21177595621180623,-2.1653787978176147,0.030358688378562038,0.6321837613499409
M,mainstream_risk_ratio,z_n_total_interactions,control,-2.7471926613442794,0.30421930385680873,-9.030303555744576,0.0,0.064107580511093
