exposure_group,env_type,n_transitions,p_H,p_M,p_L
dual,norisk,164,0.2073170731707317,0.774390243902439,0.018292682926829267
dual,risk,199,0.18592964824120603,0.7386934673366834,0.07537688442211055
mainstream_only,norisk,126,0.03968253968253968,0.9444444444444444,0.015873015873015872
mainstream_only,risk,63,0.06349206349206349,0.9206349206349206,0.015873015873015872
wemedia_only,norisk,250,0.044,0.908,0.048
wemedia_only,risk,304,0.1611842105263158,0.7302631578947368,0.10855263157894737
