mid,user_name,user_link,verify_typ,weibo_link,publish_time,content,image_urls,video_preview_url,video_download_url,forward_num,comment_num,like_num,source,location_url,location_name,publish_location,origin_weibo_user_name,origin_weibo_content,origin_weibo_info
4617649625501309,2763253523_399,https://weibo.com/2763253523,没有认证,https://weibo.com/2763253523/K7p98n58N,2021-03-22 20:42,#华星卫视新闻##华星卫视微两会##O网页链接##全球疫情# 【#难忍新冠后遗症美国一CEO自杀#】3月18日，美国知名连锁餐厅“得克萨斯客栈”创始人和CEO因难忍新冠肺炎后遗症自杀身亡，享年65岁。他的遗体在其位于肯塔基州的住宅附近被发现。其家人称他生前遭遇了包括严重耳鸣在内的新冠后遗症，由于病情愈发严重最终走上绝路。 @世面 L世面的微博视频,,https://video.weibo.com/show?fid=1034:4617583140470844,"https://f.video.weibocdn.com/wlmAuOnVlx07Li0qDD4k01041200mLDx0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1708160215&ssig=3O3RNwgiob&KID=unistore,video",0,0,0,微博视频号,,,,,,{}
4617657498732720,HERMES的小窝,https://weibo.com/1415676655,黄V认证,https://weibo.com/1415676655/K7plPADMk,2021-03-22 21:13,#难忍新冠后遗症美国一CEO自杀#【#难忍新冠后遗症美国一CEO自杀#】3月18日，美国知名连锁餐厅“得克萨斯客栈”创始人和CEO因难忍新冠肺炎后遗症自杀身亡，享年65岁。他的遗体在其位于肯塔基州的住宅附近被发现。其家人称他生前遭遇了包括严重耳鸣在内的新冠后遗症，由于病情愈发严重最终走上绝路。 L世面的微博视频,,https://video.weibo.com/show?fid=1034:4617583140470844,"https://f.video.weibocdn.com/wlmAuOnVlx07Li0qDD4k01041200mLDx0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1708160215&ssig=3O3RNwgiob&KID=unistore,video",0,0,0,微博视频号,,,,,,{}
4617660207994589,四川魏静,https://weibo.com/2248834985,橙V认证,https://weibo.com/2248834985/K7pqcxxKZ,2021-03-22 21:24,【#难忍新冠后遗症美国一CEO自杀#】3月18日，美国知名连锁餐厅“得克萨斯客栈”创始人和CEO因难忍新冠肺炎后遗症自杀身亡，享年65岁。他的遗体在其位于肯塔基州的住宅附近被发现。其家人称他生前遭遇了包括严重耳鸣在内的新冠后遗症，由于病情愈发严重最终走上绝路。 （世面）L世面的微博视频 #新冠疫苗接种不良反应有哪些##大眼看美国#,,https://video.weibo.com/show?fid=1034:4617583140470844,"https://f.video.weibocdn.com/wlmAuOnVlx07Li0qDD4k01041200mLDx0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1708160215&ssig=3O3RNwgiob&KID=unistore,video",1,2,4,iPad Pro,,,,,,{}
4617661558555305,疯狂大象,https://weibo.com/1762152361,橙V认证,https://weibo.com/1762152361/K7psnzTCN,2021-03-22 21:29,【美国首位因新冠后遗症自杀富人#难忍新冠后遗症美国一CEO自杀#】3月18日，美国知名连锁餐厅“得克萨斯客栈”创始人和CEO因难忍新冠肺炎后遗症自杀身亡，享年65岁。他的遗体在其位于肯塔基州的住宅附近被发现。其家人称他生前遭遇了包括严重耳鸣在内的新冠后遗症，由于病情愈发严重最终走上绝路。 L世面的微博视频,,https://video.weibo.com/show?fid=1034:4617583140470844,"https://f.video.weibocdn.com/wlmAuOnVlx07Li0qDD4k01041200mLDx0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1708160215&ssig=3O3RNwgiob&KID=unistore,video",1,3,1,微博视频号,,,,,,{}
4617661697231964,36氪,https://weibo.com/1750070171,蓝V认证,https://weibo.com/1750070171/K7psBulmA,2021-03-22 21:30,【#难忍新冠后遗症美国一CEO自杀#，享年65岁】3月18日，美国知名连锁餐厅“得克萨斯客栈”创始人和CEO因难忍新冠肺炎后遗症自杀身亡，享年65岁。他的遗体在其位于肯塔基州的住宅附近被发现。泰勒的家人和公司21日发布声明证实了他的死讯。声明中提到，“在与包括严重耳鸣在内的新冠后遗症进行斗争后，肯特·泰勒结束了自己的生命”，并补充称“最近数日大大加剧的痛苦令泰勒难以忍受”。对此，有专家表示，新冠病毒会加剧耳鸣问题。泰勒在1993年开设第一家餐厅，其公司目前在美国49个州和另外的10个国家和地区经营着超过600家餐厅。,https://wx3.sinaimg.cn/large/001Ur7cfly1goszup59vnj60e408cmxp02.jpg https://wx2.sinaimg.cn/large/001Ur7cfly1goszzzf0n2j60d90790tn02.jpg,,,20,11,36,微博 weibo.com,,,,,,{}
4617665014661698,齐鲁晚报,https://weibo.com/2011075080,蓝V认证,https://weibo.com/2011075080/K7pxXjyIG,2021-03-22 21:43,【#难忍新冠后遗症美国一CEO自杀#】3月18日，美国知名连锁餐厅“得克萨斯客栈”创始人和CEO，因难忍新冠肺炎后遗症自杀身亡，享年65岁。他的遗体，在其位于肯塔基州的住宅附近被发现。其家人称，他生前遭遇了包括严重耳鸣在内的新冠后遗症，由于病情愈发严重，最终走上绝路...L世面的微博视频 via.@世面,,https://video.weibo.com/show?fid=1034:4617583140470844,"https://f.video.weibocdn.com/wlmAuOnVlx07Li0qDD4k01041200mLDx0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1708160214&ssig=zUeKnaikQD&KID=unistore,video",0,1,7,微博视频号,,,,,,{}
4617665417320004,先锋新闻,https://weibo.com/1931238691,蓝V认证,https://weibo.com/1931238691/K7pyBuIgA,2021-03-22 21:44,【#难忍新冠后遗症美国一CEO自杀#】3月18日，美国知名连锁餐厅“得克萨斯客栈”创始人和CEO因难忍新冠肺炎后遗症自杀身亡，享年65岁。他的遗体在其位于肯塔基州的住宅附近被发现。其家人称他生前遭遇了包括严重耳鸣在内的新冠后遗症，由于病情愈发严重最终走上绝路。 L世面的微博视频  @世面  #897微新闻#,,https://video.weibo.com/show?fid=1034:4617583140470844,"https://f.video.weibocdn.com/wlmAuOnVlx07Li0qDD4k01041200mLDx0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1708160214&ssig=zUeKnaikQD&KID=unistore,video",0,0,1,微博视频号,,,,,,{}
4617669402431723,鹰潭发布,https://weibo.com/3811261522,蓝V认证,https://weibo.com/3811261522/K7pF2acBl,2021-03-22 22:00,【#难忍新冠后遗症美国一CEO自杀#】3月18日，美国知名连锁餐厅“得克萨斯客栈”创始人和CEO因难忍新冠肺炎后遗症自杀身亡，享年65岁。他的遗体在其位于肯塔基州的住宅附近被发现。其家人称他生前遭遇了包括严重耳鸣在内的新冠后遗症，由于病情愈发严重最终走上绝路。 @世面 L世面的微博视频,,https://video.weibo.com/show?fid=1034:4617583140470844,"https://f.video.weibocdn.com/wlmAuOnVlx07Li0qDD4k01041200mLDx0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1708160214&ssig=zUeKnaikQD&KID=unistore,video",0,0,0,iPhone客户端,,,,,,{}
4617669250648267,香港中通社,https://weibo.com/5999251130,蓝V认证,https://weibo.com/5999251130/K7pEN2IDV,2021-03-22 22:00,【#难忍新冠后遗症美国一CEO自杀#】3月18日，美國知名連鎖餐廳“得克薩斯客棧”創始人和CEO因難忍新冠肺炎後遺癥自殺身亡，享年65歲。他的遺體在其位於肯塔基州的住宅附近被發現。其家人稱他生前遭遇了包括嚴重耳鳴在內的新冠後遺癥，由於病情愈發嚴重最終走上絕路。 （視頻來源：新京報我們）#美国疫情# #张京16年前用英文说梦想是当外交官# #外交部希望美方展现自信和风度# L香港中通社的微博视频,,https://video.weibo.com/show?fid=1034:4617662127603820,"https://f.video.weibocdn.com/2hTcGyULlx07LilZaewM01041200aTvI0E010.mp4?label=mp4_hd&template=854x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1708160214&ssig=MtTQB0j%2B0v&KID=unistore,video",1,4,38,微博视频号,,,,,,{}
4617669904435729,楚萍微客,https://weibo.com/1486489760,橙V认证,https://weibo.com/1486489760/K7pFQiBW1,2021-03-22 22:02,#难忍新冠后遗症美国一CEO自杀# 3月18日，美国知名连锁餐厅“得克萨斯客栈”创始人和CEO因难忍新冠肺炎后遗症自杀身亡，享年65岁。他的遗体在其位于肯塔基州的住宅附近被发现。其家人称他生前遭遇了包括严重耳鸣在内的新冠后遗症，由于病情愈发严重最终走上绝路。#大眼看美国#  L世面的微博视频,,https://video.weibo.com/show?fid=1034:4617583140470844,"https://f.video.weibocdn.com/wlmAuOnVlx07Li0qDD4k01041200mLDx0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1708160214&ssig=zUeKnaikQD&KID=unistore,video",0,1,2,微博视频号,,,,,,{}
