date,n_mainstream_posts,n_wemedia_posts,n_public_posts,mainstream_risk,wemedia_risk,public_H
2023-01-03,72,15,97,0.4166666666666667,0.7333333333333333,0.18556701030927836
2023-01-04,43,16,92,0.6046511627906976,0.75,0.16304347826086957
2023-01-05,33,11,87,0.3939393939393939,0.6363636363636364,0.1839080459770115
2023-01-06,17,13,92,0.23529411764705882,0.7692307692307693,0.14130434782608695
2023-01-07,21,11,83,0.09523809523809523,0.9090909090909091,0.0963855421686747
2023-01-08,10,4,58,0.2,0.75,0.27586206896551724
2023-01-09,39,9,91,0.358974358974359,0.6666666666666666,0.1978021978021978
2023-01-10,11,13,80,0.36363636363636365,0.6153846153846154,0.1875
2023-01-11,19,15,78,0.15789473684210525,0.4666666666666667,0.15384615384615385
2023-01-12,22,12,59,0.5909090909090909,0.75,0.288135593220339
2023-01-13,41,10,47,0.04878048780487805,0.6,0.0851063829787234
2023-01-14,10,4,47,0.1,0.75,0.1276595744680851
2023-01-15,22,6,32,0.45454545454545453,0.3333333333333333,0.03125
2023-01-16,26,12,43,0.11538461538461539,0.5833333333333334,0.27906976744186046
2023-01-17,13,6,41,0.07692307692307693,0.5,0.0975609756097561
2023-01-18,78,13,48,0.02564102564102564,0.15384615384615385,0.08333333333333333
2023-01-19,12,8,32,0.0,0.375,0.15625
2023-01-20,2,7,24,0.0,0.7142857142857143,0.20833333333333334
2023-01-21,33,2,20,0.7575757575757576,0.0,0.05
2023-01-22,0,1,11,,1.0,0.18181818181818182
2023-01-23,2,2,14,0.5,1.0,0.07142857142857142
2023-01-24,5,3,8,0.2,1.0,0.0
2023-01-25,18,6,16,0.16666666666666666,0.3333333333333333,0.1875
2023-01-26,4,0,15,0.75,,0.13333333333333333
2023-01-27,3,3,12,0.0,0.6666666666666666,0.16666666666666666
2023-01-28,5,7,15,0.6,0.5714285714285714,0.06666666666666667
2023-01-29,6,4,16,0.16666666666666666,0.75,0.125
2023-01-30,8,2,18,0.5,0.5,0.16666666666666666
2023-01-31,5,2,11,0.0,0.0,0.2727272727272727
2023-02-01,2,3,28,0.0,1.0,0.17857142857142858
