exposure_group,n_users,upgrade_rate_mean,cooling_rate_mean,stable_rate_mean,p_H->H_mean,p_H->M_mean,p_H->L_mean,p_M->H_mean,p_M->M_mean,p_M->L_mean,p_L->H_mean,p_L->M_mean,p_L->L_mean
no_media,608,0.026698407544932426,0.041804599749581985,0.8137890184671598,0.017397146734804345,0.016914248872389005,0.02489035087719298,0.013755688906230412,0.8137890184671598,0.019393716471278796,0.012942718638702017,0.015576676612860826,0.0653404344193818
wemedia_only,27,0.10126396237507349,0.027189888300999415,0.6317131790988,0.0,0.02616108171663727,0.0010288065843621398,0.02616108171663727,0.6317131790988,0.06596465746792544,0.0751028806584362,0.09567901234567901,0.07818930041152264
mainstream_only,23,0.003344481605351171,0.003344481605351171,0.9933110367892977,0.0,0.003344481605351171,0.0,0.003344481605351171,0.9933110367892977,0.0,0.0,0.0,0.0
dual,3,0.125,0.125,0.713963963963964,0.0,0.125,0.0,0.125,0.713963963963964,0.018018018018018018,0.0,0.018018018018018018,0.0
