uid,user_name,verified_type,verified_reason,verify_typ,user_type,source,error
1001218734,,,,,,m.weibo.cn,api_not_ok: ok=0 msg=这里还没有内容
1001914255,VERITYISVERITY,-1,,无认证,public,m.weibo.cn,
1002627744,紫气东来-陈,-1,,无认证,public,m.weibo.cn,
1003297331,乙卯天蝎,-1,,无认证,public,m.weibo.cn,
1003331403,沈明达cs,-1,,无认证,public,m.weibo.cn,
1003433145,注定的情,-1,,无认证,public,m.weibo.cn,
1003682025,陌雪的沙律,-1,,无认证,public,m.weibo.cn,
1003695771,个圆粒,-1,,无认证,public,m.weibo.cn,
1003871854,AL_Lyu,-1,,无认证,public,m.weibo.cn,
1003898664,Ochiller,-1,,无认证,public,m.weibo.cn,
1004545672,刘亮刘亮,0,良嘉体育科技（上海）有限责任公司总经理,无认证,public,m.weibo.cn,
1005088354,柒个夏夏,-1,,无认证,public,m.weibo.cn,
1005115157,非典型巨蟹女,220,,无认证,public,m.weibo.cn,
1005348702,第一次换名字1640,-1,,无认证,public,m.weibo.cn,
1005534265,,,,,,m.weibo.cn,api_not_ok: ok=0 msg=这里还没有内容
1005664187,renjianqinxin,-1,,无认证,public,m.weibo.cn,
1005758657,如鱼Karen,-1,,无认证,public,m.weibo.cn,
1006170387,温钧凯,-1,,无认证,public,m.weibo.cn,
1006279282,你的宝贝是我哈哈哈,-1,,无认证,public,m.weibo.cn,
1006563230,自由自在DREAM,-1,,无认证,public,m.weibo.cn,
1007094213,请为黛西小姐开车,-1,,无认证,public,m.weibo.cn,
1007714597,_晚饭吃什么w,-1,,无认证,public,m.weibo.cn,
1008097595,烟花最美的时候遇到了谁,-1,,无认证,public,m.weibo.cn,
1008200352,远行归去,-1,,无认证,public,m.weibo.cn,
10082733,知行忘我,-1,,无认证,public,m.weibo.cn,
1008357287,翠翠Tiffany的梦想,220,,无认证,public,m.weibo.cn,
1008719252,美丽人生zzy,-1,,无认证,public,m.weibo.cn,
1008746521,京城张宝,0,北京市顺义区体育局副局长,无认证,public,m.weibo.cn,
1009111533,彭咩咩AnN,-1,,无认证,public,m.weibo.cn,
1009275662,迷途的天秤,-1,,无认证,public,m.weibo.cn,
1009913780,itsvictorialee,-1,,无认证,public,m.weibo.cn,
1010436865,知名爱狗人士小苏,-1,,无认证,public,m.weibo.cn,
1010754402,梁蔓如,-1,,无认证,public,m.weibo.cn,
1010771507,柳柳安若,-1,,无认证,public,m.weibo.cn,
