exposure_group,env_type,n_transitions,p_H,p_M,p_L
dual,norisk,228,0.18421052631578946,0.7894736842105263,0.02631578947368421
dual,risk,254,0.19291338582677164,0.7362204724409449,0.07086614173228346
mainstream_only,norisk,247,0.05263157894736842,0.9392712550607287,0.008097165991902834
mainstream_only,risk,135,0.08888888888888889,0.8962962962962963,0.014814814814814815
wemedia_only,norisk,453,0.0684326710816777,0.8874172185430463,0.04415011037527594
wemedia_only,risk,551,0.16696914700544466,0.7241379310344828,0.1088929219600726
