user_name,prev_time,curr_time,transition,next_state,mainstream_risk_ratio,wemedia_risk_ratio,n_mainstream_targets_observed,n_wemedia_targets_observed,time_fe,n_posts,n_total_interactions,active_days,z_n_total_interactions,z_active_days,z_n_posts
-夜鸮-,2023-07-20 18:19:00,2024-08-07 22:01:00,H->M,M,,,0,0,2024Q3,2,6,2,-0.9590183081022269,-1.0926620372845126,-1.0523727759784012
123和雅音,2023-02-20 07:05:00,2023-02-20 07:25:00,M->H,H,,,0,0,2023Q1,2,3,1,-1.0017985768650919,-1.1038680211191536,-1.0523727759784012
MaoTaiPianzhi茅台片仔癀,2023-01-05 12:13:00,2023-04-10 11:27:00,M->M,M,,,0,0,2023Q2,60,80,39,0.09622832138177591,-0.6780406354027911,-0.6004429369113782
MaoTaiPianzhi茅台片仔癀,2023-04-10 11:27:00,2023-04-17 06:44:00,M->L,L,,,0,0,2023Q2,60,80,39,0.09622832138177591,-0.6780406354027911,-0.6004429369113782
MaoTaiPianzhi茅台片仔癀,2023-04-17 06:44:00,2023-06-18 09:49:00,L->H,H,0.5,,1,0,2023Q2,60,80,39,0.09622832138177591,-0.6780406354027911,-0.6004429369113782
MaoTaiPianzhi茅台片仔癀,2023-06-18 09:49:00,2023-06-26 23:28:00,H->L,L,1.0,,1,0,2023Q2,60,80,39,0.09622832138177591,-0.6780406354027911,-0.6004429369113782
MaoTaiPianzhi茅台片仔癀,2023-06-26 23:28:00,2023-07-18 07:16:00,L->H,H,,,0,0,2023Q3,60,80,39,0.09622832138177591,-0.6780406354027911,-0.6004429369113782
MaoTaiPianzhi茅台片仔癀,2023-07-18 07:16:00,2023-07-18 07:17:00,H->H,H,,,0,0,2023Q3,60,80,39,0.09622832138177591,-0.6780406354027911,-0.6004429369113782
MaoTaiPianzhi茅台片仔癀,2023-07-18 07:17:00,2023-07-18 10:54:00,H->L,L,,,0,0,2023Q3,60,80,39,0.09622832138177591,-0.6780406354027911,-0.6004429369113782
MaoTaiPianzhi茅台片仔癀,2023-07-18 10:54:00,2023-07-19 09:40:00,L->M,M,,,0,0,2023Q3,60,80,39,0.09622832138177591,-0.6780406354027911,-0.6004429369113782
MaoTaiPianzhi茅台片仔癀,2023-07-19 09:40:00,2023-07-21 08:13:00,M->M,M,,,0,0,2023Q3,60,80,39,0.09622832138177591,-0.6780406354027911,-0.6004429369113782
MaoTaiPianzhi茅台片仔癀,2023-07-21 08:13:00,2023-07-21 08:13:00,M->M,M,,,0,0,2023Q3,60,80,39,0.09622832138177591,-0.6780406354027911,-0.6004429369113782
MaoTaiPianzhi茅台片仔癀,2023-07-21 08:13:00,2023-07-22 17:17:00,M->M,M,,,0,0,2023Q3,60,80,39,0.09622832138177591,-0.6780406354027911,-0.6004429369113782
MaoTaiPianzhi茅台片仔癀,2023-07-22 17:17:00,2023-07-23 10:45:00,M->M,M,1.0,,1,0,2023Q3,60,80,39,0.09622832138177591,-0.6780406354027911,-0.6004429369113782
MaoTaiPianzhi茅台片仔癀,2023-07-23 10:45:00,2023-07-23 10:48:00,M->L,L,0.6666666666666666,,1,0,2023Q3,60,80,39,0.09622832138177591,-0.6780406354027911,-0.6004429369113782
MaoTaiPianzhi茅台片仔癀,2023-07-23 10:48:00,2023-07-23 21:08:00,L->M,M,0.6666666666666666,,1,0,2023Q3,60,80,39,0.09622832138177591,-0.6780406354027911,-0.6004429369113782
MaoTaiPianzhi茅台片仔癀,2023-07-23 21:08:00,2023-07-24 09:37:00,M->M,M,0.6666666666666666,,1,0,2023Q3,60,80,39,0.09622832138177591,-0.6780406354027911,-0.6004429369113782
