state,term,term_type,coef,std_err,z_value,p_value,odds_ratio,interaction_group,interaction_env
H,"C(exposure_group, Treatment(reference='dual'))[T.mainstream_only]:C(env_type, Treatment(reference='norisk'))[T.risk]",interaction,-0.4356398416001276,0.3367688763876897,-1.2935870032675383,0.19580811410062982,0.6468506526836864,mainstream_only,risk
H,"C(exposure_group, Treatment(reference='dual'))[T.wemedia_only]:C(env_type, Treatment(reference='norisk'))[T.risk]",interaction,0.39569426462837926,0.129953681558251,3.044886915735524,0.002327678127986621,1.4854151041814931,wemedia_only,risk
M,"C(exposure_group, Treatment(reference='dual'))[T.mainstream_only]:C(env_type, Treatment(reference='norisk'))[T.risk]",interaction,0.6189062293552291,0.31966305679299456,1.9361206001230746,0.052852932059068713,1.8568959124677515,mainstream_only,risk
M,"C(exposure_group, Treatment(reference='dual'))[T.wemedia_only]:C(env_type, Treatment(reference='norisk'))[T.risk]",interaction,-0.18882539811758983,0.10940255858220815,-1.7259687576292022,0.08435303353343215,0.8279310523956448,wemedia_only,risk
L,"C(exposure_group, Treatment(reference='dual'))[T.mainstream_only]:C(env_type, Treatment(reference='norisk'))[T.risk]",interaction,-0.46031628525664325,0.6757114172912574,-0.681232066644553,0.49572466068748344,0.6310840113694236,mainstream_only,risk
L,"C(exposure_group, Treatment(reference='dual'))[T.wemedia_only]:C(env_type, Treatment(reference='norisk'))[T.risk]",interaction,0.15127888546515503,0.1478880660296396,1.0229282830356023,0.30634175575407774,1.163321046177243,wemedia_only,risk
