user_name,exposure_group,prev_time,curr_time,transition,env_type,env_risk_ratio,next_state,time_fe,n_posts,n_total_interactions,active_days,z_n_total_interactions,z_active_days,z_n_posts
-食品与养生-,mainstream_only,2023-02-02 22:03:00,2023-02-07 12:51:00,M->M,risk,1.0,M,2023Q1,7,8,7,-0.4473012109794248,-0.8321625075751323,-0.8419673052822391
-食品与养生-,mainstream_only,2023-02-07 12:51:00,2023-02-08 22:28:00,M->M,risk,1.0,M,2023Q1,7,8,7,-0.4473012109794248,-0.8321625075751323,-0.8419673052822391
-食品与养生-,mainstream_only,2023-02-08 22:28:00,2023-07-21 22:00:00,M->M,risk,1.0,M,2023Q3,7,8,7,-0.4473012109794248,-0.8321625075751323,-0.8419673052822391
-食品与养生-,mainstream_only,2024-01-31 21:52:00,2024-05-07 22:03:00,M->M,norisk,0.0,M,2024Q2,7,8,7,-0.4473012109794248,-0.8321625075751323,-0.8419673052822391
17度生活,mainstream_only,2023-02-20 06:33:00,2024-12-01 03:42:00,H->M,norisk,0.0,M,2024Q4,2,1,2,-0.6994420324118066,-0.9339460886855241,-0.9224575216703631
2019novelCOronaVirus,mainstream_only,2023-06-14 00:33:00,2023-09-25 00:56:00,M->M,risk,1.0,M,2023Q3,3,8,3,-0.4473012109794248,-0.9135893724634457,-0.9063594783927383
2024来了,wemedia_only,2022-03-14 14:35:00,2022-03-14 14:38:00,M->M,risk,1.0,M,2022Q1,2,2,1,-0.6634219150643235,-0.9543028049076024,-0.9224575216703631
21世纪经济报道,mainstream_only,2022-12-16 09:50:00,2023-03-06 16:57:00,M->M,norisk,0.0,M,2023Q1,11,1,11,-0.6994420324118066,-0.7507356426868189,-0.7775751321717398
21世纪经济报道,mainstream_only,2023-03-06 16:57:00,2023-03-14 10:51:00,M->M,norisk,0.0,M,2023Q1,11,1,11,-0.6994420324118066,-0.7507356426868189,-0.7775751321717398
21世纪经济报道,mainstream_only,2023-03-14 10:51:00,2023-03-23 14:23:00,M->M,norisk,0.0,M,2023Q1,11,1,11,-0.6994420324118066,-0.7507356426868189,-0.7775751321717398
21世纪经济报道,mainstream_only,2023-03-23 14:23:00,2023-04-08 16:30:00,M->M,norisk,0.0,M,2023Q2,11,1,11,-0.6994420324118066,-0.7507356426868189,-0.7775751321717398
21世纪经济报道,mainstream_only,2023-04-08 16:30:00,2023-08-01 20:48:00,M->M,risk,1.0,M,2023Q3,11,1,11,-0.6994420324118066,-0.7507356426868189,-0.7775751321717398
21世纪经济报道,mainstream_only,2023-08-01 20:48:00,2024-01-14 20:58:00,M->M,norisk,0.0,M,2024Q1,11,1,11,-0.6994420324118066,-0.7507356426868189,-0.7775751321717398
21世纪经济报道,mainstream_only,2024-01-14 20:58:00,2024-08-14 18:13:00,M->M,norisk,0.0,M,2024Q3,11,1,11,-0.6994420324118066,-0.7507356426868189,-0.7775751321717398
21世纪经济报道,mainstream_only,2024-08-14 18:13:00,2025-05-15 23:31:00,M->M,norisk,0.0,M,2025Q2,11,1,11,-0.6994420324118066,-0.7507356426868189,-0.7775751321717398
21世纪经济报道,mainstream_only,2025-05-15 23:31:00,2025-05-21 07:18:00,M->M,norisk,0.0,M,2025Q2,11,1,11,-0.6994420324118066,-0.7507356426868189,-0.7775751321717398
21世纪经济报道,mainstream_only,2025-05-21 07:18:00,2025-05-24 13:07:00,M->M,norisk,0.0,M,2025Q2,11,1,11,-0.6994420324118066,-0.7507356426868189,-0.7775751321717398
911苏州新闻广播,mainstream_only,2022-10-14 10:21:00,2023-02-09 15:24:00,M->M,risk,1.0,M,2023Q1,5,1,5,-0.6994420324118066,-0.872875940019289,-0.8741633918374887
911苏州新闻广播,mainstream_only,2023-02-09 15:24:00,2023-05-28 18:32:00,M->M,norisk,0.0,M,2023Q2,5,1,5,-0.6994420324118066,-0.872875940019289,-0.8741633918374887
911苏州新闻广播,mainstream_only,2023-05-28 18:32:00,2023-11-22 19:54:00,M->M,norisk,0.0,M,2023Q4,5,1,5,-0.6994420324118066,-0.872875940019289,-0.8741633918374887
911苏州新闻广播,mainstream_only,2023-11-22 19:54:00,2024-01-12 14:00:00,M->M,norisk,0.0,M,2024Q1,5,1,5,-0.6994420324118066,-0.872875940019289,-0.8741633918374887
ATAO颜值上分中,wemedia_only,2023-02-28 18:17:00,2023-03-02 19:57:00,H->H,risk,1.0,H,2023Q1,2,3,2,-0.6274017977168403,-0.9339460886855241,-0.9224575216703631
Apocalypse-锐,wemedia_only,2023-05-02 00:06:00,2023-06-02 23:55:00,M->M,norisk,0.0,M,2023Q2,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2023-06-02 23:55:00,2023-06-28 18:01:00,M->M,norisk,0.0,M,2023Q2,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2023-06-28 18:01:00,2023-07-04 22:16:00,M->M,risk,1.0,M,2023Q3,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2023-07-04 22:16:00,2023-07-16 20:56:00,M->M,norisk,0.0,M,2023Q3,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2023-07-16 20:56:00,2023-09-03 22:26:00,M->M,norisk,0.0,M,2023Q3,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2023-09-03 22:26:00,2023-09-11 07:41:00,M->M,risk,1.0,M,2023Q3,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2023-09-11 07:41:00,2023-09-16 19:19:00,M->M,norisk,0.0,M,2023Q3,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2023-09-16 19:19:00,2023-09-21 23:44:00,M->M,risk,1.0,M,2023Q3,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2023-09-21 23:44:00,2023-09-25 18:11:00,M->L,norisk,0.0,L,2023Q3,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2023-09-25 18:11:00,2023-10-03 14:17:00,L->L,risk,1.0,L,2023Q4,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2023-10-03 14:17:00,2023-10-16 21:36:00,L->M,risk,1.0,M,2023Q4,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2023-10-16 21:36:00,2023-10-17 22:13:00,M->M,norisk,0.0,M,2023Q4,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2023-10-17 22:13:00,2023-10-25 13:42:00,M->M,risk,1.0,M,2023Q4,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2023-10-25 13:42:00,2023-11-01 16:53:00,M->M,norisk,0.0,M,2023Q4,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2023-11-01 16:53:00,2023-11-23 19:20:00,M->M,norisk,0.0,M,2023Q4,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2023-11-23 19:20:00,2023-11-24 23:26:00,M->M,norisk,0.0,M,2023Q4,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2023-11-24 23:26:00,2023-12-06 22:05:00,M->M,norisk,0.0,M,2023Q4,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2023-12-06 22:05:00,2023-12-06 22:07:00,M->M,risk,1.0,M,2023Q4,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2023-12-06 22:07:00,2023-12-14 17:20:00,M->M,risk,1.0,M,2023Q4,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2023-12-14 17:20:00,2023-12-14 21:52:00,M->M,norisk,0.0,M,2023Q4,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2023-12-14 21:52:00,2023-12-18 19:34:00,M->M,norisk,0.0,M,2023Q4,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2023-12-18 19:34:00,2023-12-21 18:01:00,M->H,risk,1.0,H,2023Q4,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2023-12-21 18:01:00,2023-12-21 22:20:00,H->H,risk,1.0,H,2023Q4,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2023-12-21 22:20:00,2023-12-31 11:13:00,H->H,risk,1.0,H,2023Q4,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2023-12-31 11:13:00,2024-01-04 10:57:00,H->M,risk,1.0,M,2024Q1,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2024-01-04 10:57:00,2024-01-07 20:24:00,M->M,risk,1.0,M,2024Q1,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2024-01-07 20:24:00,2024-01-15 22:23:00,M->M,risk,1.0,M,2024Q1,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2024-01-15 22:23:00,2024-01-25 12:29:00,M->M,risk,1.0,M,2024Q1,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2024-01-25 12:29:00,2024-03-03 17:59:00,M->M,norisk,0.0,M,2024Q1,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2024-03-03 17:59:00,2024-03-09 19:30:00,M->M,norisk,0.0,M,2024Q1,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2024-03-09 19:30:00,2024-03-12 17:18:00,M->M,norisk,0.0,M,2024Q1,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2024-03-12 17:18:00,2024-03-15 17:58:00,M->M,risk,1.0,M,2024Q1,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2024-03-15 17:58:00,2024-03-24 14:52:00,M->M,norisk,0.0,M,2024Q1,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2024-03-24 14:52:00,2024-03-25 22:16:00,M->M,risk,1.0,M,2024Q1,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2024-03-25 22:16:00,2024-04-09 23:26:00,M->M,risk,1.0,M,2024Q2,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2024-04-09 23:26:00,2024-04-11 17:52:00,M->M,norisk,0.0,M,2024Q2,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2024-04-11 17:52:00,2024-04-26 17:01:00,M->M,risk,1.0,M,2024Q2,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2024-04-26 17:01:00,2024-05-19 21:24:00,M->M,norisk,0.0,M,2024Q2,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2024-05-19 21:24:00,2024-05-20 16:12:00,M->L,norisk,0.0,L,2024Q2,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2024-05-20 16:12:00,2024-05-21 22:36:00,L->M,risk,1.0,M,2024Q2,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
Apocalypse-锐,wemedia_only,2024-05-21 22:36:00,2024-05-22 16:56:00,M->M,risk,1.0,M,2024Q2,93,11,88,-0.33924085893697553,0.8167315064132143,0.5424644165934954
