user_name,n_interactions_network,n_interactions_comment,n_total_interactions,n_m,n_w,exposure_group,targets_mainstream,targets_wemedia,active_days_interaction,n_posts,active_days_post,active_days
苏南格林,9,20,29,0,0,no_media,,,11,1,1,11
用户7769774439,28,0,28,1,0,mainstream_only,陕西汉书下酒,,0,0,0,0
baby-unicorn,24,4,28,1,1,dual,环球时报,Apocalypse-锐,19,44,43,43
江氏小盗龙,1,27,28,0,0,no_media,,,1,1,1,1
西铁资讯,0,27,27,0,0,no_media,,,1,2,1,1
冬日暖阳86323,27,0,27,0,3,wemedia_only,,中医范圣华|李贵明-医生|马宝琳谈房颤,3,4,4,4
夜满月Crystal,22,4,26,0,2,wemedia_only,,2049年的世界|Creamy蕉,18,27,26,26
富贵思思,1,25,26,0,3,wemedia_only,,中医吴昌树|中医张恒毅|中医黄锐,23,1,1,23
九九_75209,19,7,26,0,2,wemedia_only,,中医黄锐|马宝琳谈房颤,5,2,2,5
我爱丫丫悟,16,10,26,2,0,mainstream_only,CGTN记者团|科技日报,,14,39,32,32
元宝兔兔好运,23,3,26,0,2,wemedia_only,,中医张恒毅|马宝琳谈房颤,3,9,9,9
ousmz,24,1,25,0,2,wemedia_only,,中医张恒毅|桃乐茜的来信,13,27,23,23
戴爱笔,0,25,25,0,1,wemedia_only,,戴爱笔,4,1,1,4
夏飞的小世界,1,24,25,0,0,no_media,,,20,0,0,20
天涯浪子觅知音,16,9,25,0,2,wemedia_only,,Creamy蕉|天涯浪子觅知音,5,3,3,5
爱塌爱光的star同样爱芭比,20,5,25,0,1,wemedia_only,,Creamy蕉,3,18,16,16
这得有多大仇,24,0,24,0,0,no_media,,,19,5,5,19
四川魏静,5,19,24,0,0,no_media,,,2,13,5,5
糖小意的三岁半,0,24,24,0,0,no_media,,,1,1,1,1
核聚变ju,23,1,24,2,2,dual,新浪新闻|陕西汉书下酒,深圳心血管虞主任|米虫王,15,27,26,26
皇汉1976,13,11,24,0,1,wemedia_only,,美好的圆溜溜,7,28,17,17
麦可依然香饽饽,22,1,23,3,0,mainstream_only,人民日报|央视新闻|新浪新闻,,15,28,28,28
全世界漂,22,1,23,0,1,wemedia_only,,Creamy蕉,18,46,42,42
聚合宇宙,0,23,23,0,0,no_media,,,17,0,0,17
白衫缺个衬,0,23,23,0,0,no_media,,,13,9,9,13
近卫步兵师,23,0,23,0,0,no_media,,,18,31,30,30
王意意_yvonnewongyi,0,22,22,0,0,no_media,,,1,1,1,1
强_大妞,0,22,22,0,0,no_media,,,4,1,1,4
Imoressive,0,22,22,0,4,wemedia_only,,嘟子的肚脐|笑不出颜Yan_|营养咨询王晓纯|虎皮猫大人和陆朵朵,1,1,1,1
陀螺不自转,21,1,22,0,0,no_media,,,7,9,9,9
法援茹媛媛,0,22,22,0,1,wemedia_only,,法援茹媛媛,7,1,1,7
伯阳先生-段本司,22,0,22,2,1,dual,央视新闻|每日经济新闻,我是小妖怪的人,20,36,36,36
椟菽荫,22,0,22,0,0,no_media,,,13,6,6,13
中医黄锐,7,15,22,0,2,wemedia_only,,中医张恒毅|中医黄锐,9,6,6,9
意意王_YvonneWongYi,0,21,21,0,0,no_media,,,1,1,1,1
中医张恒毅,5,16,21,0,1,wemedia_only,,中医张恒毅,14,24,22,22
乾坤赢得一闲人,14,7,21,1,1,dual,陕西汉书下酒,马宝琳谈房颤,5,5,5,5
林步里,20,1,21,0,1,wemedia_only,,呼吸科叶亮医生,18,330,236,236
林中松鼠花间蝶,21,0,21,1,0,mainstream_only,陕西汉书下酒,,2,2,2,2
中西医结合医学微博,21,0,21,2,2,dual,看度新闻|陕西汉书下酒,消化内科王伯军大夫|马宝琳谈房颤,17,30,25,25
开疆扩土特狼普,21,0,21,0,3,wemedia_only,,Creamy蕉|林_优里|蓝帆小蓝,18,30,26,26
lavender-loyal,20,1,21,1,5,dual,看度新闻,中医叶伊森|中医张恒毅|中医黄锐|李贵明-医生|油麻菜-黄剑,3,5,5,5
25号N的人生,18,2,20,0,0,no_media,,,14,22,21,21
反对新世界秩序,20,0,20,0,0,no_media,,,13,10,10,13
随风荡事,19,1,20,0,2,wemedia_only,,中医张恒毅|死路,1,0,0,1
不如不曾来,20,0,20,1,1,dual,中国日报,Creamy蕉,7,12,12,12
maisui114404,20,0,20,0,0,no_media,,,1,0,0,1
海石花生,7,13,20,0,2,wemedia_only,,李贵明-医生|美国医级资源_Sonmore,12,1,1,12
蒙味始觉,14,6,20,0,1,wemedia_only,,蒙味始觉,3,7,7,7
豆豆的口水流下来了,18,2,20,0,0,no_media,,,2,1,1,2
L__-__L,0,20,20,0,0,no_media,,,8,4,4,8
_慧子_小鸭子的故事,0,20,20,0,0,no_media,,,7,2,2,7
沧淼劫,0,20,20,0,0,no_media,,,8,1,1,8
Mr_少陵,0,20,20,0,1,wemedia_only,,Mr_少陵,2,1,1,2
不zuo的ph-4,11,8,19,0,2,wemedia_only,,Apocalypse-锐|燃君RJ,9,38,35,35
水泽容丽,7,12,19,0,1,wemedia_only,,呼吸科李瑛医生,11,3,3,11
yuankong198610,19,0,19,1,3,dual,陕西汉书下酒,江医养生|知你青年陈锦|马宝琳谈房颤,15,22,19,19
rickyaoyao,11,8,19,0,0,no_media,,,4,1,1,4
汉唐长安中医郭仲凯,19,0,19,1,0,mainstream_only,紫光阁,,18,20,19,19
乡村咖啡t,0,19,19,0,0,no_media,,,2,1,1,2
一颗糖炒李子_,0,19,19,1,0,mainstream_only,观察者网,,1,0,0,1
切仔1025,19,0,19,0,1,wemedia_only,,呼吸科叶亮医生,15,20,20,20
紫玥若水,1,18,19,0,0,no_media,,,1,0,0,1
假期太长三十天,0,19,19,0,0,no_media,,,2,0,0,2
徐归尘,19,0,19,0,0,no_media,,,14,6,6,14
佛系生活方式,0,19,19,0,0,no_media,,,2,0,0,2
溧阳人在珀斯,8,11,19,2,3,dual,每日经济新闻|观察者网,成都小拉皮蒲兴旺|翟医师|高质男,6,36,26,26
多多吃包包,0,19,19,0,0,no_media,,,3,0,0,3
小猫装杯杯-0a,0,19,19,0,0,no_media,,,2,1,1,2
NOSTUPID3,14,5,19,0,1,wemedia_only,,NOSTUPID3,11,33,26,26
_灰小度_,0,18,18,0,0,no_media,,,14,0,0,14
半叽佬虎,18,0,18,0,0,no_media,,,0,0,0,0
吉祥8643,18,0,18,0,0,no_media,,,2,2,2,2
刘小玉725,1,17,18,0,0,no_media,,,4,0,0,4
而是我的钻石,0,18,18,1,0,mainstream_only,人民日报,,2,0,0,2
唤我真名-筱,0,18,18,0,0,no_media,,,5,3,3,5
制心一处万物同频,17,1,18,1,0,mainstream_only,陕西汉书下酒,,11,15,15,15
窗前的kelly,18,0,18,1,0,mainstream_only,陕西汉书下酒,,6,6,6,6
生草字幕组,7,11,18,0,0,no_media,,,8,14,14,14
阿呆观世,2,16,18,0,0,no_media,,,4,0,0,4
北欧三宝妈,0,18,18,0,1,wemedia_only,,北欧三宝妈,4,2,2,4
张博士药食健康,18,0,18,0,5,wemedia_only,,中医吴昌树|中医张恒毅|中医蔡良俊|得意的弦小二|李贵明-医生,1,1,1,1
huabiwei,18,0,18,1,2,dual,陕西汉书下酒,中医范圣华|得意的弦小二,9,12,12,12
介么蜡2007,0,18,18,0,0,no_media,,,4,1,1,4
Zita本人,0,18,18,0,0,no_media,,,5,1,1,5
-姜呀姜,0,17,17,0,0,no_media,,,2,0,0,2
nini不霉,0,17,17,0,0,no_media,,,10,1,1,10
从善如流2021,12,5,17,0,1,wemedia_only,,Creamy蕉,5,2,2,5
今天吃哪只烊,2,15,17,0,1,wemedia_only,,种草达人猪哥,1,0,0,1
矮油卤蛋,0,17,17,0,0,no_media,,,7,0,0,7
小金想改名,0,17,17,0,0,no_media,,,3,0,0,3
Corbeauclaws,16,1,17,0,0,no_media,,,3,5,5,5
Asetaria,0,17,17,0,0,no_media,,,3,0,0,3
让每个呼吸都有意义,0,17,17,0,0,no_media,,,6,0,0,6
昼伏夜伏的橘猫,0,17,17,0,1,wemedia_only,,种草达人猪哥,3,0,0,3
小小一小丽,17,0,17,1,0,mainstream_only,陕西汉书下酒,,1,1,1,1
世间行者本尊,14,3,17,0,0,no_media,,,3,0,0,3
日本沙雕日常,15,2,17,0,0,no_media,,,4,4,4,4
believablehua,12,5,17,0,0,no_media,,,5,0,0,5
脚踩水瓶男,0,17,17,0,0,no_media,,,4,1,1,4
快乐de小丸子O,12,5,17,0,1,wemedia_only,,木白弓虽,5,7,5,5
盼公道的老阿姨,17,0,17,0,0,no_media,,,4,10,3,4
用户5889073289波波,0,16,16,0,0,no_media,,,6,8,6,6
重庆南岸李华兰,16,0,16,0,0,no_media,,,10,2,1,10
穆国龙13904582878,16,0,16,0,0,no_media,,,8,9,5,8
不吃糖不吃糖就是不吃糖,15,1,16,0,1,wemedia_only,,难般聊聊,4,17,10,10
北京鲁戈,12,4,16,0,0,no_media,,,4,8,7,7
西米利呀,0,16,16,0,1,wemedia_only,,马宝琳谈房颤,10,0,0,10
医shi诗老司,0,16,16,0,0,no_media,,,7,1,1,7
flex66,16,0,16,0,2,wemedia_only,,中医范圣华|马宝琳谈房颤,7,11,10,10
jrry86,13,3,16,0,1,wemedia_only,,美国医级资源_Sonmore,8,14,14,14
雅青秋之韵,6,10,16,0,0,no_media,,,3,0,0,3
森林之心无处不在,7,9,16,1,1,dual,陕西汉书下酒,中医张恒毅,5,0,0,5
热干面塑料袋,16,0,16,1,0,mainstream_only,生命时报,,16,40,38,38
also-ran-qi,0,16,16,0,0,no_media,,,3,0,0,3
titandream,16,0,16,0,0,no_media,,,10,5,5,10
竹庄讲道,16,0,16,5,0,mainstream_only,九派新闻|内蒙古日报|津云新闻|现代快报|第一财经日报,,11,37,21,21
Jon兴,0,16,16,0,0,no_media,,,12,0,0,12
重拾o未来,1,15,16,0,0,no_media,,,3,3,3,3
c_888888mon,0,16,16,1,0,mainstream_only,人民日报,,2,0,0,2
一只麻薯团子OwO,0,16,16,0,0,no_media,,,1,0,0,1
·銀河奶泡森·,0,16,16,0,0,no_media,,,7,0,0,7
喵爱吃鱼丫,8,7,15,0,0,no_media,,,3,0,0,3
漫画无聊的冰块,0,15,15,0,0,no_media,,,3,1,1,3
怡味薯蓣锦,15,0,15,1,1,dual,观察者网,燃君RJ,12,18,17,17
醉卧美人膝9197,2,13,15,0,0,no_media,,,9,0,0,9
星辰Starley,0,15,15,0,0,no_media,,,1,1,1,1
沐風的AI,0,15,15,1,0,mainstream_only,人民日报,,2,0,0,2
月球上的蛮牛,2,13,15,0,0,no_media,,,5,2,2,5
