user_name,n_interactions_network,n_interactions_comment,n_total_interactions,n_m,n_w,exposure_group,targets_mainstream,targets_wemedia,active_days_interaction,n_posts,active_days_post,active_days
Tea__Zhang,0,2,2,0,0,no_media,,,1,0,0,1
千万不要被发现o,2,0,2,0,0,no_media,,,0,0,0,0
小晴的老妈子,1,1,2,0,2,wemedia_only,,我是小妖怪的人|生物狗Y博,1,1,1,1
i7iove7,0,2,2,0,0,no_media,,,1,0,0,1
椰奶布丁西米露,1,1,2,0,0,no_media,,,1,0,0,1
过了赏味期限的炒饭,2,0,2,0,0,no_media,,,0,0,0,0
Intimate_friend,0,2,2,0,0,no_media,,,1,0,0,1
小王的王w,0,2,2,0,0,no_media,,,1,0,0,1
椎_50146,1,1,2,0,1,wemedia_only,,祖传中医肖春林,1,0,0,1
森林里浮游的小堡,1,1,2,0,0,no_media,,,1,0,0,1
拉弗斯达瑞_121037,2,0,2,0,0,no_media,,,0,0,0,0
Bigblue9,2,0,2,0,0,no_media,,,2,6,6,6
森林爱熊47,1,1,2,0,1,wemedia_only,,我是小妖怪的人,1,0,0,1
Inios乾易通,0,2,2,0,0,no_media,,,1,0,0,1
BerylXV,2,0,2,0,1,wemedia_only,,Creamy蕉,2,2,2,2
小李烧鸡大窝脖,1,1,2,0,0,no_media,,,1,0,0,1
小磕怡情_大磕你就是有饼了,1,1,2,0,0,no_media,,,1,0,0,1
小硕儿果儿,1,1,2,0,0,no_media,,,1,0,0,1
BlueRibbonsonIce,2,0,2,0,0,no_media,,,0,0,0,0
Birdie-TT,1,1,2,0,0,no_media,,,1,0,0,1
海因里希去油膏,0,2,2,0,0,no_media,,,1,0,0,1
李安花的盆,0,2,2,0,0,no_media,,,1,0,0,1
地天泰-百脉山泉,2,0,2,0,0,no_media,,,0,0,0,0
黑魔快乐纹,2,0,2,0,0,no_media,,,0,0,0,0
椰芒星,2,0,2,0,1,wemedia_only,,我是小妖怪的人,0,0,0,0
蕃薯头大叔,0,2,2,0,0,no_media,,,1,0,0,1
流年尘散,2,0,2,0,0,no_media,,,1,0,0,1
龙江小子025,2,0,2,0,0,no_media,,,0,0,0,0
Bernadette1981,1,1,2,0,1,wemedia_only,,马宝琳谈房颤,1,0,0,1
梅子_4030,1,1,2,0,0,no_media,,,1,0,0,1
南极冰美式,0,2,2,0,0,no_media,,,1,0,0,1
梅天美天,2,0,2,0,0,no_media,,,1,0,0,1
可乐不加冰男孩,0,2,2,0,0,no_media,,,2,0,0,2
梅瓣残雪凝,2,0,2,0,0,no_media,,,0,0,0,0
和我交流请投币,0,2,2,0,0,no_media,,,1,0,0,1
rebbit同志,0,2,2,0,0,no_media,,,1,0,0,1
GH-YYY,2,0,2,0,0,no_media,,,0,0,0,0
属于hll,0,2,2,0,0,no_media,,,1,1,1,1
昕桐o_o,0,2,2,0,0,no_media,,,1,0,0,1
梁大白的幸福生活,1,1,2,0,0,no_media,,,1,2,2,2
梁呵呵Belle,2,0,2,0,1,wemedia_only,,日本衣食住行,0,1,1,1
A洋洋自得A,2,0,2,0,0,no_media,,,0,0,0,0
桫椤马步,1,1,2,0,0,no_media,,,1,0,0,1
椰椰加冰,2,0,2,0,0,no_media,,,0,0,0,0
A股要到800点,1,1,2,0,0,no_media,,,1,0,0,1
陌生陌笑,2,0,2,0,0,no_media,,,1,0,0,1
做梦吃星星吧,0,2,2,0,0,no_media,,,1,0,0,1
thatabreak,2,0,2,0,0,no_media,,,0,0,0,0
梁翔哥哥,1,1,2,0,0,no_media,,,1,0,0,1
_春日饼_,2,0,2,0,0,no_media,,,0,0,0,0
你读不懂心中的殇,0,2,2,0,0,no_media,,,2,0,0,2
小浪,2,0,2,1,0,mainstream_only,观察者网,,1,1,1,1
A叔家的蝙蝠喵,2,0,2,0,0,no_media,,,0,0,0,0
A大大大大大大白,1,1,2,0,0,no_media,,,1,0,0,1
小柴真哇塞,1,1,2,0,1,wemedia_only,,大张同学加油,1,0,0,1
王萌萌萌萌喵喵,0,2,2,0,0,no_media,,,1,0,0,1
小柠檬顾若曦,1,1,2,0,0,no_media,,,1,0,0,1
织晓知晓,2,0,2,0,0,no_media,,,1,0,0,1
RE不知天在水,2,0,2,0,0,no_media,,,0,0,0,0
小羊-CarryOn,2,0,2,0,0,no_media,,,0,0,0,0
黑鸦片不含咖啡因,0,2,2,0,0,no_media,,,1,1,1,1
TTTTTT-TTTTTT,0,2,2,0,0,no_media,,,1,0,0,1
丷岁岁年年丷,0,2,2,0,0,no_media,,,1,0,0,1
辣舞馨馨子,0,2,2,0,0,no_media,,,1,1,1,1
星野StayGold,2,0,2,0,0,no_media,,,1,0,0,1
touchman,0,2,2,0,0,no_media,,,1,1,1,1
Befeater,1,1,2,0,0,no_media,,,1,0,0,1
棋子山人2016,2,0,2,0,0,no_media,,,1,0,0,1
浅海航行靠舵手,1,1,2,0,1,wemedia_only,,倔犟的秦人,1,0,0,1
小美50109,2,0,2,0,0,no_media,,,0,0,0,0
橙子味的草莓儿,0,2,2,0,0,no_media,,,2,1,1,2
wool912,0,2,2,0,0,no_media,,,2,0,0,2
咪嘟小仙女,2,0,2,0,0,no_media,,,1,1,1,1
楓殤謣,2,0,2,1,0,mainstream_only,观察者网,,0,0,0,0
1咪cptbtptp,0,2,2,0,1,wemedia_only,,1咪cptbtptp,1,1,1,1
棒棒88十一,2,0,2,0,0,no_media,,,2,0,0,2
早起是新生,2,0,2,0,0,no_media,,,1,2,1,1
弥漫222,0,2,2,0,0,no_media,,,1,0,0,1
xiaoerduo1218,2,0,2,0,1,wemedia_only,,静姐姐吃的学问,0,0,0,0
暖阳80315,0,2,2,0,0,no_media,,,2,0,0,2
小米大咖,1,1,2,0,1,wemedia_only,,木人桩主,1,0,0,1
AngelEcho漫画组,2,0,2,0,0,no_media,,,1,1,1,1
小米多啊多,2,0,2,0,0,no_media,,,0,0,0,0
小红帽owoho,1,1,2,0,0,no_media,,,1,0,0,1
大猪猫大猪猫,2,0,2,0,0,no_media,,,0,0,0,0
小红berber,1,1,2,0,0,no_media,,,1,0,0,1
是春风桃李,0,2,2,0,0,no_media,,,2,1,1,2
梦想成为动感超人0222,0,2,2,0,0,no_media,,,1,1,1,1
小米粥DI麻麻,1,1,2,0,1,wemedia_only,,得意的弦小二,1,0,0,1
BanqJdon,1,1,2,0,0,no_media,,,1,0,0,1
fvsyn脚踩八个墙头,2,0,2,0,0,no_media,,,0,0,0,0
Barista-阿强,2,0,2,0,1,wemedia_only,,我是小妖怪的人,0,0,0,0
荃润水是奥城在逃兔狲,2,0,2,0,0,no_media,,,0,0,0,0
Battlecruiser_HOOD,2,0,2,0,0,no_media,,,1,0,0,1
我有故事不是事故,0,2,2,0,0,no_media,,,1,0,0,1
梵卓,2,0,2,0,0,no_media,,,1,0,0,1
梵-范思哲,2,0,2,0,0,no_media,,,0,0,0,0
你好丑丑,0,2,2,0,0,no_media,,,2,0,0,2
Cccccccloris_,0,2,2,0,0,no_media,,,2,1,1,2
小白小白真可爱121,2,0,2,1,0,mainstream_only,小央视频,,1,1,1,1
咚塔塔族小栗栗,2,0,2,0,0,no_media,,,0,0,0,0
棉棉铃,2,0,2,0,0,no_media,,,0,0,0,0
检察官张聪,1,1,2,0,1,wemedia_only,,卢晓周,1,0,0,1
--小水-,0,2,2,0,0,no_media,,,2,0,0,2
小皮皮卷,2,0,2,0,0,no_media,,,1,1,1,1
是_拾叁呀,0,2,2,0,0,no_media,,,1,0,0,1
Ban-nya蹭你一身毛,2,0,2,0,0,no_media,,,1,1,1,1
丝丝小短腿儿,0,2,2,0,0,no_media,,,1,0,0,1
兔子先生逮企鹅,2,0,2,0,0,no_media,,,0,0,0,0
梦静meng,1,1,2,1,0,mainstream_only,中国新闻网,,1,0,0,1
梦随风万里寻onepiece,2,0,2,0,1,wemedia_only,,我是小妖怪的人,0,0,0,0
梨花花果儿,1,1,2,0,0,no_media,,,1,0,0,1
京哥下次合影让我露脸,2,0,2,0,0,no_media,,,0,0,0,0
小百灵00,1,1,2,0,1,wemedia_only,,种草达人猪哥,1,0,0,1
梨梨水_72,1,1,2,0,0,no_media,,,1,0,0,1
Ben_貓,2,0,2,0,0,no_media,,,0,0,0,0
小羊仙子快跑,2,0,2,0,0,no_media,,,0,0,0,0
梨子ninini,1,1,2,0,0,no_media,,,1,0,0,1
梨央央想当锦鲤,2,0,2,1,0,mainstream_only,观察者网,,0,0,0,0
NikoyoLo,0,2,2,0,0,no_media,,,1,1,1,1
9527沈,1,1,2,1,0,mainstream_only,观察者网,,1,0,0,1
93768_cn,1,1,2,0,0,no_media,,,1,0,0,1
梦哥哥666,2,0,2,0,0,no_media,,,1,0,0,1
小牛仔1500,1,1,2,0,0,no_media,,,1,0,0,1
仙女颜苑,0,2,2,0,0,no_media,,,1,0,0,1
竹的印记,0,2,2,0,0,no_media,,,1,0,0,1
过气吧红,2,0,2,0,0,no_media,,,0,0,0,0
小樱花iiiiii,2,0,2,0,0,no_media,,,0,0,0,0
梦中的独角马,1,1,2,0,0,no_media,,,1,0,0,1
我是一颗小瓜子儿,0,2,2,0,0,no_media,,,1,1,1,1
戒与拔戒,0,2,2,0,0,no_media,,,2,0,0,2
真的小糊涂仙儿,2,0,2,0,0,no_media,,,0,0,0,0
小演员陈小苒,1,1,2,1,0,mainstream_only,国是直通车,,1,0,0,1
自在ly,2,0,2,0,1,wemedia_only,,马宝琳谈房颤,0,0,0,0
-九霄环佩-,2,0,2,0,0,no_media,,,0,0,0,0
梦幻天空万花筒,1,1,2,0,1,wemedia_only,,种草达人猪哥,1,0,0,1
8清溪8,2,0,2,0,0,no_media,,,0,0,0,0
梦中de提拉米苏,1,1,2,0,0,no_media,,,1,0,0,1
9257離散,2,0,2,0,0,no_media,,,0,0,0,0
万年小透明马修,2,0,2,0,0,no_media,,,0,0,0,0
梅讲理,2,0,2,0,1,wemedia_only,,我是小妖怪的人,0,0,0,0
恋宇日记本-,0,2,2,0,0,no_media,,,1,0,0,1
条纹木君,2,0,2,0,0,no_media,,,0,0,0,0
梦angell,1,1,2,0,1,wemedia_only,,天涯浪子觅知音,1,0,0,1
梦__醉,1,1,2,1,0,mainstream_only,观察者网,,1,0,0,1
应才够是,0,2,2,0,0,no_media,,,2,0,0,2
BIBIBOBO81,1,1,2,0,0,no_media,,,1,0,0,1
小熊和甜甜,2,0,2,0,0,no_media,,,0,0,0,0
BIN卜,1,1,2,0,0,no_media,,,1,0,0,1
绍兴发布,2,0,2,1,0,mainstream_only,浙江发布,,2,2,2,2
Mevis美慧子,0,2,2,0,0,no_media,,,1,0,0,1
AA的无聊6517077181,1,1,2,1,0,mainstream_only,中国新闻网,,1,1,1,1
小狐仙921,2,0,2,0,0,no_media,,,0,0,0,0
李团长是最帅的,1,1,2,0,0,no_media,,,1,0,0,1
李吉小小李,1,1,2,0,1,wemedia_only,,祖传中医肖春林,1,0,0,1
888冬季,1,1,2,0,0,no_media,,,1,0,0,1
小熊饼干的生活日誌,1,1,2,0,1,wemedia_only,,我是小妖怪的人,1,0,0,1
88懒羊羊_28819,2,0,2,0,1,wemedia_only,,杨宁医生,0,0,0,0
8e235c423d4c_XX,2,0,2,0,0,no_media,,,0,0,0,0
果酱兄弟丶卡西姆w,2,0,2,0,0,no_media,,,0,0,0,0
李子留白,1,1,2,0,0,no_media,,,1,2,2,2
李子墨频道,1,1,2,0,0,no_media,,,1,0,0,1
不噜噜噜啦,0,2,2,0,0,no_media,,,1,1,1,1
一世韶光17,0,2,2,0,0,no_media,,,1,0,0,1
软绵绵的柠檬雪藏,0,2,2,0,0,no_media,,,1,1,1,1
8090一起闹腾,2,0,2,1,0,mainstream_only,平安铜梁,,0,0,0,0
正在备考的巨兔,0,2,2,0,0,no_media,,,1,0,0,1
GONYinQ,2,0,2,0,0,no_media,,,0,0,0,0
天天向上_200508,2,0,2,0,0,no_media,,,0,0,0,0
权力应当在阳光下运行,1,1,2,0,1,wemedia_only,,种草达人猪哥,1,0,0,1
yao橙耶,0,2,2,0,0,no_media,,,2,0,0,2
牛北鼻,0,2,2,0,0,no_media,,,1,0,0,1
胖小闹,2,0,2,0,0,no_media,,,0,0,0,0
驴蛋宝宝是驴仔,0,2,2,0,0,no_media,,,2,0,0,2
媛咕隆咚在郑州,0,2,2,0,0,no_media,,,1,0,0,1
用户2019229737,2,0,2,0,0,no_media,,,0,0,0,0
李五人的朱闹闹,1,1,2,0,0,no_media,,,1,0,0,1
finebluerose,0,2,2,0,0,no_media,,,1,0,0,1
兔子爱穿一脚蹬,2,0,2,0,0,no_media,,,0,0,0,0
晒太阳的-猫,0,2,2,0,0,no_media,,,1,0,0,1
7跳跳,1,1,2,0,1,wemedia_only,,得意的弦小二,1,0,0,1
小新奇幻大冒险,1,1,2,0,0,no_media,,,1,0,0,1
梨涡浅笑-s,0,2,2,0,0,no_media,,,1,2,2,2
小怪就是我喵,2,0,2,0,0,no_media,,,0,0,0,0
格瑞听不下去了,0,2,2,0,0,no_media,,,1,0,0,1
GA钢之魂_科幻模型资讯站,2,0,2,0,0,no_media,,,1,0,0,1
西宮七瀬,2,0,2,0,0,no_media,,,0,0,0,0
_shuishen,0,2,2,0,0,no_media,,,1,0,0,1
Fenyyi,0,2,2,0,0,no_media,,,1,0,0,1
Ayfal,2,0,2,0,0,no_media,,,0,0,0,0
齐天大圣全被占有了,2,0,2,0,0,no_media,,,0,0,0,0
收留心碎小猫咪,0,2,2,0,1,wemedia_only,,公子扶苏尹,1,0,0,1
流沙idealist,0,2,2,0,1,wemedia_only,,公子扶苏尹,1,0,0,1
冷眸z,0,2,2,0,1,wemedia_only,,公子扶苏尹,2,0,0,2
-半颗芒果呀,0,2,2,0,2,wemedia_only,,公子扶苏尹|唏嘘之间,2,0,0,2
南风鸭ing,0,2,2,0,0,no_media,,,1,0,0,1
F今年想瘦点,2,0,2,0,0,no_media,,,1,0,0,1
七月七夜半歌声,0,2,2,0,1,wemedia_only,,公子扶苏尹,1,0,0,1
-_-沉默以对,0,2,2,0,1,wemedia_only,,公子扶苏尹,1,0,0,1
陕西政协,2,0,2,1,0,mainstream_only,中国日报,,1,6,6,6
小灰小冷小激动,2,0,2,0,0,no_media,,,0,0,0,0
Kermy小可儿,0,2,2,0,1,wemedia_only,,公子扶苏尹,2,0,0,2
NING_可爱Y,0,2,2,0,0,no_media,,,1,0,0,1
桃桃攻,1,1,2,0,0,no_media,,,1,0,0,1
Futurcontact,2,0,2,0,0,no_media,,,0,0,0,0
织姬江礼·,2,0,2,0,1,wemedia_only,,冬遇川崎,1,1,1,1
桃花流水鳜鱼肥333,2,0,2,0,0,no_media,,,2,2,2,2
小闹钟你别叫了,0,2,2,0,0,no_media,,,2,0,0,2
小愚119,1,1,2,0,0,no_media,,,1,0,0,1
桃源溪径,2,0,2,0,0,no_media,,,0,0,0,0
千万别执着,2,0,2,0,0,no_media,,,1,1,1,1
Vanilla_F,0,2,2,0,0,no_media,,,1,1,1,1
henghengheng0369,0,2,2,0,0,no_media,,,2,0,0,2
ZZZZZZUshenoa,2,0,2,0,0,no_media,,,0,0,0,0
海扬帆,2,0,2,0,0,no_media,,,0,0,0,0
梦醒之独秀,2,0,2,0,1,wemedia_only,,博华领读,0,0,0,0
-繁星将至-,0,2,2,0,0,no_media,,,1,0,0,1
BA5BO,2,0,2,0,0,no_media,,,2,2,2,2
为什么每个昵称都和我说已经占用,0,2,2,0,0,no_media,,,2,0,0,2
小步快跑牛,2,0,2,0,0,no_media,,,1,0,0,1
陈英夫,2,0,2,1,0,mainstream_only,观察者网,,0,0,0,0
Lucky528NY,0,2,2,0,0,no_media,,,2,0,0,2
小散首领,2,0,2,0,0,no_media,,,1,2,2,2
终归到了这里,2,0,2,0,0,no_media,,,2,0,0,2
小拾柒JOJOO,1,1,2,0,0,no_media,,,1,0,0,1
BUBUBU-BUBUBU,2,0,2,0,0,no_media,,,0,0,0,0
陈诗恩Ashirly,2,0,2,0,0,no_media,,,0,0,0,0
BEC商务英语,1,1,2,0,0,no_media,,,1,0,0,1
ZZ奥卡福,2,0,2,0,0,no_media,,,0,0,0,0
向明芝,0,2,2,0,0,no_media,,,1,1,1,1
Babywenthny,2,0,2,0,0,no_media,,,0,0,0,0
小叶小叶永远耶耶-,0,2,2,0,0,no_media,,,1,0,0,1
梦羽梦羽,2,0,2,0,0,no_media,,,0,0,0,0
梦璐呀,1,1,2,0,0,no_media,,,1,0,0,1
小昌爱你们,1,1,2,0,0,no_media,,,1,0,0,1
小时爱说话,1,1,2,0,1,wemedia_only,,祖传中医肖春林,1,0,0,1
姐妹我老公真的不丑,0,2,2,0,0,no_media,,,2,1,1,2
mandyrong-,0,2,2,0,0,no_media,,,2,0,0,2
桐昕00,1,1,2,0,0,no_media,,,1,0,0,1
小无须,2,0,2,0,1,wemedia_only,,静姐姐吃的学问,0,0,0,0
BOO爱吃薯条的46,1,1,2,0,0,no_media,,,1,0,0,1
BDS捣蛋,2,0,2,0,0,no_media,,,0,0,0,0
泠_Lin,2,0,2,0,0,no_media,,,0,2,1,1
楠楠家康,2,0,2,1,0,mainstream_only,观察者网,,0,0,0,0
亲爱的_亲爱的_你好吗,2,0,2,0,0,no_media,,,0,0,0,0
qinfengyuanyuan,2,0,2,0,0,no_media,,,0,0,0,0
Donna-张,0,2,2,0,0,no_media,,,1,0,0,1
Mugichan_,2,0,2,0,0,no_media,,,0,0,0,0
我就是一个小可爱莫西莫西,0,2,2,0,0,no_media,,,2,1,1,2
魔镜里的静子,0,2,2,0,0,no_media,,,2,0,0,2
树心有五口,2,0,2,0,0,no_media,,,1,0,0,1
请不要快转SOLO的微博,0,2,2,0,0,no_media,,,2,0,0,2
树长高,2,0,2,0,0,no_media,,,0,0,0,0
你知道吗国王长了驴耳朵,1,1,2,0,0,no_media,,,1,0,0,1
树的独奏,2,0,2,0,0,no_media,,,0,0,0,0
树柠V,2,0,2,0,0,no_media,,,0,0,0,0
如何降低恩格尔系数,2,0,2,0,0,no_media,,,0,0,0,0
佩拉宫午夜的森炎焱燚SIDNEY,2,0,2,0,0,no_media,,,0,0,0,0
是动画不是动漫,2,0,2,0,0,no_media,,,2,2,2,2
你艾特我我也不艾特你,2,0,2,0,0,no_media,,,1,1,1,1
是同学的同呀,1,1,2,0,0,no_media,,,1,0,0,1
是啊为什么呢现在我也在当neet呢,2,0,2,0,1,wemedia_only,,L0_自由,2,2,2,2
-百利甜不甜-,2,0,2,0,0,no_media,,,1,2,2,2
劳资要吃螺蛳粉,2,0,2,0,0,no_media,,,2,2,2,2
是个马丁,1,1,2,0,1,wemedia_only,,高质男,1,0,0,1
叮叮咚咚-215,0,2,2,0,0,no_media,,,1,0,0,1
如心南华,2,0,2,0,0,no_media,,,0,0,0,0
开天辟地第一人de粉丝,0,2,2,0,0,no_media,,,1,0,0,1
Ousenn外宿中,0,2,2,0,0,no_media,,,1,0,0,1
依旧是孩子,1,1,2,0,1,wemedia_only,,祖传中医肖春林,1,0,0,1
dandelions-childhood,0,2,2,0,0,no_media,,,1,0,0,1
你要记得每天吃早餐,2,0,2,0,0,no_media,,,0,0,0,0
早知岁月无可回头,0,2,2,0,0,no_media,,,1,0,0,1
桂花粥,1,1,2,0,0,no_media,,,1,0,0,1
保持善良679,2,0,2,0,1,wemedia_only,,马宝琳谈房颤,0,0,0,0
桂枝杏仁,2,0,2,0,0,no_media,,,1,0,0,1
柴涩,1,1,2,0,0,no_media,,,1,0,0,1
-庭园-,2,0,2,0,0,no_media,,,2,2,2,2
柴本柴柴,2,0,2,0,0,no_media,,,0,0,0,0
信了人不如故,2,0,2,0,0,no_media,,,0,0,0,0
洗碗战士,0,2,2,0,0,no_media,,,1,0,0,1
柴犬cy,1,1,2,0,0,no_media,,,1,0,0,1
柳德米拉伯洛哥菲耶夫娜,1,1,2,0,0,no_media,,,1,0,0,1
-我活在梦里,2,0,2,0,0,no_media,,,0,0,0,0
whisper谁占用了我的名字,0,2,2,0,0,no_media,,,1,0,0,1
贝多环保,2,0,2,0,0,no_media,,,0,0,0,0
微胖JR控,2,0,2,0,0,no_media,,,0,0,0,0
L摸索人生,2,0,2,0,0,no_media,,,0,0,0,0
lucky到死,0,2,2,0,0,no_media,,,2,0,0,2
pupubiubiu7,0,2,2,0,0,no_media,,,2,0,0,2
飘逸的水壶,0,2,2,0,0,no_media,,,1,0,0,1
zimouhk,2,0,2,1,0,mainstream_only,中国新闻网,,1,1,1,1
seagumermy,2,0,2,0,0,no_media,,,1,2,1,1
栗要一只冲鸭,0,2,2,0,0,no_media,,,1,0,0,1
柳正华的微博,2,0,2,0,1,wemedia_only,,翟医师,1,1,1,1
柳林无2022,2,0,2,1,0,mainstream_only,观察者网,,0,0,0,0
卷毛李大师,2,0,2,0,0,no_media,,,0,0,0,0
ditstilslkof,0,2,2,0,0,no_media,,,1,0,0,1
栗子上学我上班,2,0,2,0,1,wemedia_only,,蓝帆小蓝,1,3,3,3
栗子aya,2,0,2,2,0,mainstream_only,中国新闻网|凤凰周刊,,0,0,0,0
我是小号请不要调戏,2,0,2,1,0,mainstream_only,人民日报,,0,0,0,0
栖霞河谷空间河谷空间,1,1,2,0,0,no_media,,,1,0,0,1
柳佳衣,1,1,2,0,0,no_media,,,1,1,1,1
健康快乐喜气洋洋111,1,1,2,0,1,wemedia_only,,中医范圣华,1,0,0,1
健康好运酱D姐姐,2,0,2,0,1,wemedia_only,,Creamy蕉,1,2,2,2
健康平安开心富有万事如意,2,0,2,0,1,wemedia_only,,马宝琳谈房颤,0,0,0,0
咩咩肚艾佛油,2,0,2,0,0,no_media,,,0,0,0,0
-木阿樨-,2,0,2,0,0,no_media,,,0,0,0,0
用户5562612047,2,0,2,0,0,no_media,,,0,0,0,0
春雨中的鱼,2,0,2,0,0,no_media,,,0,0,0,0
用户5574957932,2,0,2,0,0,no_media,,,0,0,0,0
oO牛肉汤Oo,0,2,2,0,1,wemedia_only,,oO牛肉汤Oo,1,1,1,1
阿瑞丝琳,0,2,2,0,1,wemedia_only,,oO牛肉汤Oo,1,0,0,1
微博股票,0,2,2,0,0,no_media,,,1,0,0,1
贾敬华,0,2,2,0,0,no_media,,,1,0,0,1
春日暖阳老窝,2,0,2,0,1,wemedia_only,,马宝琳谈房颤,1,1,1,1
春水秋揽棠海香,2,0,2,0,0,no_media,,,2,2,2,2
重庆图书馆,2,0,2,1,0,mainstream_only,观察者网,,1,1,1,1
Kobe24紫金的神,0,2,2,0,0,no_media,,,1,0,0,1
春日迟QAQ,2,0,2,0,0,no_media,,,1,1,1,1
信鸟你滴个邪,0,2,2,0,0,no_media,,,1,0,0,1
Emgaki,0,2,2,0,0,no_media,,,1,0,0,1
昭華同学,2,0,2,0,0,no_media,,,0,0,0,0
他城之城-,0,2,2,0,0,no_media,,,1,0,0,1
俊俏的猫头鹰,0,2,2,0,0,no_media,,,1,0,0,1
小李不想动,0,2,2,0,0,no_media,,,1,0,0,1
三分大杯不加冰,0,2,2,0,0,no_media,,,1,0,0,1
我是二姣呀,0,2,2,0,0,no_media,,,1,0,0,1
夜鹭YOSAGI,2,0,2,0,0,no_media,,,0,0,0,0
昭引初晴宇,2,0,2,0,0,no_media,,,1,0,0,1
梦随之缘,0,2,2,0,0,no_media,,,1,0,0,1
汉阴检察,0,2,2,1,0,mainstream_only,开阳县检察院,,1,1,1,1
-殢無傷-,1,1,2,1,0,mainstream_only,观察者网,,1,0,0,1
-爱的旁白诗,1,1,2,0,1,wemedia_only,,Creamy蕉,1,0,0,1
-安浔,0,2,2,0,0,no_media,,,2,0,0,2
依倚东望,1,1,2,0,0,no_media,,,1,0,0,1
刘小锋1993,2,0,2,0,0,no_media,,,0,0,0,0
是你爹0202,1,1,2,0,0,no_media,,,1,0,0,1
漾simple,0,2,2,0,0,no_media,,,1,1,1,1
BAe_Yin,0,2,2,0,0,no_media,,,1,0,0,1
-琴心剑胆68,2,0,2,0,0,no_media,,,0,0,0,0
亲亲飞飞宝贝,2,0,2,0,1,wemedia_only,,娱头,1,1,1,1
是时候该睡觉了-,1,1,2,0,1,wemedia_only,,娱头,1,0,0,1
-老实人老实-,2,0,2,0,0,no_media,,,0,0,0,0
半颗牙呢_cC,0,2,2,0,0,no_media,,,1,1,1,1
在小村外的溪边河口默默等着我,0,2,2,0,0,no_media,,,1,0,0,1
是揪咪不是啾咪,2,0,2,0,1,wemedia_only,,我是小妖怪的人,0,0,0,0
Mzde,2,0,2,0,0,no_media,,,0,0,0,0
佳暄宝,2,0,2,0,0,no_media,,,0,0,0,0
LuckyChristine28,2,0,2,0,0,no_media,,,0,0,0,0
你说啊快说啊,2,0,2,0,0,no_media,,,0,0,0,0
Tego_Kei,2,0,2,0,0,no_media,,,0,0,0,0
是揪一呐,1,1,2,0,0,no_media,,,1,0,0,1
瓜嘻嘻lq,0,2,2,0,0,no_media,,,2,0,0,2
长颈鹿214,0,2,2,0,1,wemedia_only,,是唯一ya,1,0,0,1
吃草莓吗吃,0,2,2,0,1,wemedia_only,,是唯一ya,1,0,0,1
-桔子汽水糖,1,1,2,0,0,no_media,,,1,0,0,1
胖胖胖胖胖月半,0,2,2,0,1,wemedia_only,,是唯一ya,1,0,0,1
是恩派,2,0,2,1,0,mainstream_only,凤凰周刊,,0,0,0,0
_zkdzw_,0,2,2,0,1,wemedia_only,,是唯一ya,1,0,0,1
陈岑Ciara,0,2,2,0,1,wemedia_only,,是唯一ya,1,0,0,1
停不了的风A,2,0,2,0,0,no_media,,,0,0,0,0
咩咩喵小铺,2,0,2,0,0,no_media,,,0,0,0,0
是星星也可以光芒万丈,1,1,2,0,0,no_media,,,1,0,0,1
别乱叭叭了,0,2,2,0,0,no_media,,,1,0,0,1
Alrmin000,2,0,2,0,0,no_media,,,0,0,0,0
流年似水868,1,1,2,0,0,no_media,,,1,0,0,1
xiaoaojianghu1983,2,0,2,0,0,no_media,,,0,0,0,0
小狗每天睡够8小时,1,1,2,0,0,no_media,,,1,0,0,1
小猪会飞的精彩1711,2,0,2,1,0,mainstream_only,观察者网,,0,0,0,0
柠檬黄的小辣椒,1,1,2,0,0,no_media,,,1,0,0,1
All_I_Wanna_Do,1,1,2,0,0,no_media,,,1,0,0,1
咪捣糨糊,2,0,2,0,0,no_media,,,0,0,0,0
Allonsea,2,0,2,0,1,wemedia_only,,我是小妖怪的人,0,0,0,0
小狮子喵喵喵919,2,0,2,1,1,dual,人民日报,静姐姐吃的学问,0,0,0,0
柠檬红茶热的不是冰的,2,0,2,1,0,mainstream_only,观察者网,,0,0,0,0
Leileiyaaa_,0,2,2,0,0,no_media,,,1,0,0,1
Tang子持,2,0,2,0,0,no_media,,,0,0,0,0
Joy记得吃早餐,0,2,2,0,0,no_media,,,1,0,0,1
枫树下喝清酒,1,1,2,0,0,no_media,,,1,0,0,1
突突兔哇,0,2,2,0,0,no_media,,,2,0,0,2
Amphetamine5,1,1,2,0,0,no_media,,,1,0,0,1
厄里斯薄荷糖,2,0,2,0,0,no_media,,,0,0,0,0
咚咚馄饨面_sk,2,0,2,0,0,no_media,,,0,0,0,0
枯藤老树昏鸦885,2,0,2,0,0,no_media,,,0,0,0,0
湳宮999,2,0,2,0,0,no_media,,,0,0,0,0
Amawig_,2,0,2,0,0,no_media,,,0,0,0,0
起个关于杨幂的名字怎么这么难,0,2,2,0,0,no_media,,,1,0,0,1
AmazingMHCZ,2,0,2,0,0,no_media,,,2,1,1,2
贝多芬乐圣,2,0,2,0,0,no_media,,,0,0,0,0
枝枝花花_998,1,1,2,0,1,wemedia_only,,祖传中医肖春林,1,0,0,1
水木年华水水,2,0,2,0,1,wemedia_only,,得意的弦小二,0,0,0,0
果酱2010,2,0,2,0,1,wemedia_only,,种草达人猪哥,0,0,0,0
