treated_id,control_id,dist,treat_upgrade,ctrl_upgrade,treat_cooling,ctrl_cooling,treat_stable,ctrl_stable,pair
189,452,0.00014771379396452677,0.14285714285714285,0.1,0.14285714285714285,0.2,0.7142857142857143,0.5,dual_vs_mainstream_only
189,496,0.00026835745993064597,0.14285714285714285,0.0,0.14285714285714285,0.0,0.7142857142857143,1.0,dual_vs_mainstream_only
189,169,0.0016520106229408194,0.14285714285714285,0.25,0.14285714285714285,0.5,0.7142857142857143,0.25,dual_vs_mainstream_only
358,442,0.0012004699386980455,0.058823529411764705,0.2857142857142857,0.0,0.14285714285714285,0.9411764705882353,0.5714285714285714,dual_vs_mainstream_only
358,343,0.0034735719703841705,0.058823529411764705,0.0,0.0,1.0,0.9411764705882353,0.0,dual_vs_mainstream_only
358,426,0.0074184567773931676,0.058823529411764705,0.25,0.0,0.25,0.9411764705882353,0.25,dual_vs_mainstream_only
155,151,0.0,1.0,0.0,0.0,0.0,0.0,0.0,dual_vs_mainstream_only
155,192,0.00017568602333628558,1.0,0.0,0.0,0.5,0.0,0.5,dual_vs_mainstream_only
155,215,0.00017568602333628558,1.0,0.0,0.0,0.0,0.0,1.0,dual_vs_mainstream_only
406,163,7.602003315757e-05,0.25,0.2,0.25,0.0,0.5,0.2,dual_vs_mainstream_only
406,98,0.00010191371481338418,0.25,0.2,0.25,0.2,0.5,0.6,dual_vs_mainstream_only
406,8,0.00013334159047204142,0.25,1.0,0.25,0.0,0.5,0.0,dual_vs_mainstream_only
142,28,7.37662652894322e-06,0.13043478260869565,1.0,0.13043478260869565,0.0,0.43478260869565216,0.0,dual_vs_mainstream_only
142,213,7.37662652894322e-06,0.13043478260869565,0.0,0.13043478260869565,0.0,0.43478260869565216,1.0,dual_vs_mainstream_only
142,441,7.37662652894322e-06,0.13043478260869565,0.0,0.13043478260869565,0.0,0.43478260869565216,1.0,dual_vs_mainstream_only
1,425,0.012450078267602971,0.0,0.25,0.0,0.5,0.0,0.0,dual_vs_mainstream_only
1,261,0.026313968888208805,0.0,0.0,0.0,0.5,0.0,0.5,dual_vs_mainstream_only
1,453,0.02941286689910899,0.0,0.25,0.0,0.25,0.0,0.0,dual_vs_mainstream_only
404,310,0.005108048828809164,0.0,0.15384615384615385,0.0,0.15384615384615385,1.0,0.5384615384615384,dual_vs_mainstream_only
404,319,0.006627048251687417,0.0,0.0,0.0,0.0,1.0,1.0,dual_vs_mainstream_only
404,414,0.03741235323919401,0.0,0.0,0.0,0.1111111111111111,1.0,0.8888888888888888,dual_vs_mainstream_only
129,120,0.0,0.0,0.0,0.0,0.0,1.0,1.0,dual_vs_mainstream_only
129,369,0.0002629475904437073,0.0,0.0,0.0,0.0,1.0,1.0,dual_vs_mainstream_only
129,518,0.0008782137283195879,0.0,0.13333333333333333,0.0,0.13333333333333333,1.0,0.4,dual_vs_mainstream_only
265,130,0.0002714742284971594,0.0,0.16666666666666666,0.0,0.16666666666666666,1.0,0.3333333333333333,dual_vs_mainstream_only
265,83,0.0005291668429184132,0.0,0.0,0.0,0.0,1.0,0.0,dual_vs_mainstream_only
265,220,0.0005291668429184132,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,dual_vs_mainstream_only
117,49,0.0,1.0,0.0,0.0,0.0,0.0,1.0,dual_vs_mainstream_only
117,82,0.0,1.0,0.0,0.0,0.0,0.0,1.0,dual_vs_mainstream_only
117,146,0.0,1.0,0.0,0.0,0.0,0.0,1.0,dual_vs_mainstream_only
