exposure_group,n_users,upgrade_rate_mean,cooling_rate_mean,stable_rate_mean,p_H->H_mean,p_H->M_mean,p_H->L_mean,p_M->H_mean,p_M->M_mean,p_M->L_mean,p_L->H_mean,p_L->M_mean,p_L->L_mean
no_media,7150,0.08149243854807918,0.09039907217471899,0.569776309104372,0.04563209315178634,0.05253193369587004,0.03786713847884896,0.04942589862359829,0.569776309104372,0.05480403191400732,0.03206653992448089,0.06216147332974575,0.09573458177729031
wemedia_only,479,0.14948399769479756,0.14854773760861742,0.5021102025850568,0.04850319123611502,0.12928568269135124,0.019262054917266173,0.12472105848296,0.5021102025850568,0.05338530570477741,0.02476293921183753,0.06257983023384182,0.03538973493679402
mainstream_only,455,0.09693460038850125,0.09478683876127175,0.6673968735533895,0.045533157653468215,0.08083322058526578,0.013953618176005959,0.07853908552623282,0.6673968735533895,0.041066941314565994,0.018395514862268446,0.03849840935881109,0.015783178969992158
dual,78,0.1599413823570005,0.1324452303043926,0.49117799319531397,0.06811891229219394,0.11975398813312893,0.012691242171263648,0.13104991569699997,0.49117799319531397,0.06256303436442964,0.028891466660000524,0.05624681475969765,0.029506632726971703
