pair,covariate,smd_before,smd_after
dual_vs_wemedia_only,month_2024-01,-0.22646097468051116,0.0
dual_vs_wemedia_only,month_2024-02,-0.17204387277095035,0.0
dual_vs_wemedia_only,month_2024-03,-0.14509652812961904,0.0
dual_vs_wemedia_only,month_2024-04,-0.09147807093433953,0.0
dual_vs_wemedia_only,month_2024-05,-0.12964159938783557,0.0
dual_vs_wemedia_only,month_2024-06,-0.12964159938783557,0.0
dual_vs_wemedia_only,month_2024-07,-0.06461706697512383,0.0
dual_vs_wemedia_only,month_2024-08,0.022130799677490473,-0.041831725988644965
dual_vs_wemedia_only,month_2024-09,-0.1296415993878356,0.0
dual_vs_wemedia_only,month_2024-12,-0.06461706697512383,0.0
dual_vs_wemedia_only,month_2025-01,-0.09147807093433954,0.0
dual_vs_wemedia_only,month_2025-03,-0.11215492271409867,0.0
dual_vs_wemedia_only,month_2025-05,-0.06461706697512383,0.0
dual_vs_wemedia_only,month_2025-06,-0.1121549227140987,0.0
