exposure_group,env_type,n_transitions,p_MH,p_HM,upgrade_rate,cooling_rate
dual,norisk,416,0.125,0.11298076923076923,0.14182692307692307,0.12980769230769232
mainstream_only,norisk,774,0.05813953488372093,0.07364341085271318,0.07235142118863049,0.0917312661498708
wemedia_only,norisk,599,0.05175292153589316,0.09015025041736227,0.06176961602671119,0.09515859766277128
dual,risk,352,0.09375,0.08522727272727272,0.10795454545454546,0.10227272727272728
mainstream_only,risk,173,0.08092485549132948,0.08092485549132948,0.09248554913294797,0.08670520231213873
wemedia_only,risk,782,0.11253196930946291,0.08439897698209718,0.13810741687979539,0.1010230179028133
