exposure_group,week,n_transitions,upgrade_rate,cooling_rate
mainstream_only,2020-02-24/2020-03-01,2,0.0,0.0
mainstream_only,2020-03-02/2020-03-08,3,0.0,0.0
dual,2020-03-16/2020-03-22,1,0.0,0.0
mainstream_only,2020-03-16/2020-03-22,19,0.0,0.0
wemedia_only,2020-03-16/2020-03-22,41,0.0,0.0
mainstream_only,2020-03-23/2020-03-29,3,0.0,0.0
mainstream_only,2020-04-06/2020-04-12,1,0.0,0.0
mainstream_only,2020-04-20/2020-04-26,2,0.0,0.0
wemedia_only,2020-05-18/2020-05-24,1,0.0,0.0
mainstream_only,2020-05-25/2020-05-31,2,0.0,0.0
mainstream_only,2020-06-08/2020-06-14,2,0.0,0.0
mainstream_only,2020-06-22/2020-06-28,1,0.0,0.0
mainstream_only,2020-07-13/2020-07-19,1,0.0,0.0
wemedia_only,2020-07-27/2020-08-02,1,0.0,0.0
mainstream_only,2020-08-17/2020-08-23,1,0.0,0.0
mainstream_only,2020-10-05/2020-10-11,1,0.0,0.0
mainstream_only,2020-11-23/2020-11-29,2,0.0,0.0
wemedia_only,2020-11-23/2020-11-29,2,0.0,0.0
mainstream_only,2020-12-21/2020-12-27,1,0.0,0.0
mainstream_only,2021-01-04/2021-01-10,3,0.0,0.0
mainstream_only,2021-01-11/2021-01-17,1,0.0,0.0
mainstream_only,2021-01-18/2021-01-24,1,0.0,0.0
mainstream_only,2021-02-15/2021-02-21,3,0.0,0.0
mainstream_only,2021-03-15/2021-03-21,1,0.0,0.0
mainstream_only,2021-03-22/2021-03-28,4,0.0,0.5
wemedia_only,2021-03-22/2021-03-28,6,0.0,0.16666666666666666
mainstream_only,2021-04-05/2021-04-11,4,0.0,0.0
wemedia_only,2021-04-05/2021-04-11,1,0.0,0.0
mainstream_only,2021-04-12/2021-04-18,1,0.0,0.0
mainstream_only,2021-04-19/2021-04-25,1,0.0,0.0
wemedia_only,2021-05-17/2021-05-23,1,0.0,0.0
wemedia_only,2021-07-12/2021-07-18,1,0.0,0.0
mainstream_only,2021-08-02/2021-08-08,5,0.0,0.0
wemedia_only,2021-08-02/2021-08-08,1,0.0,0.0
