treated_id,treat_upgrade,ctrl_upgrade,treat_cooling,ctrl_cooling,treat_stable,ctrl_stable,diff_upgrade,diff_cooling,diff_stable,pair
1,0.0,0.16666666666666666,0.0,0.4166666666666667,0.0,0.16666666666666666,-0.16666666666666666,-0.4166666666666667,-0.16666666666666666,dual_vs_mainstream_only
3,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,-0.6666666666666666,dual_vs_mainstream_only
35,0.2857142857142857,0.047619047619047616,0.2857142857142857,0.047619047619047616,0.14285714285714285,0.4761904761904762,0.23809523809523808,0.23809523809523808,-0.33333333333333337,dual_vs_mainstream_only
41,0.3333333333333333,0.39999999999999997,0.0,0.09999999999999999,0.0,0.13333333333333333,-0.06666666666666665,-0.09999999999999999,-0.13333333333333333,dual_vs_mainstream_only
48,0.25,0.13333333333333333,0.25,0.06666666666666667,0.5,0.7333333333333334,0.11666666666666667,0.18333333333333335,-0.2333333333333334,dual_vs_mainstream_only
59,0.0,0.07017543859649122,0.09090909090909091,0.05263157894736842,0.7272727272727273,0.7894736842105262,-0.07017543859649122,0.038277511961722493,-0.062200956937798924,dual_vs_mainstream_only
68,0.0,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,-0.16666666666666666,-0.3333333333333333,dual_vs_mainstream_only
75,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,0.0,0.0,0.11111111111111116,dual_vs_mainstream_only
104,0.5,0.38095238095238093,0.5,0.0,0.0,0.2857142857142857,0.11904761904761907,0.5,-0.2857142857142857,dual_vs_mainstream_only
109,0.22857142857142856,0.2688109161793372,0.2,0.27758284600389865,0.17142857142857143,0.3707602339181286,-0.04023948760790866,-0.07758284600389864,-0.1993316624895572,dual_vs_mainstream_only
117,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,dual_vs_mainstream_only
118,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,-0.3333333333333333,0.0,-0.6666666666666666,dual_vs_mainstream_only
122,0.23529411764705882,0.09722222222222221,0.2647058823529412,0.08333333333333333,0.23529411764705882,0.7361111111111112,0.1380718954248366,0.18137254901960786,-0.5008169934640523,dual_vs_mainstream_only
129,0.0,0.044444444444444446,0.0,0.044444444444444446,1.0,0.7999999999999999,-0.044444444444444446,-0.044444444444444446,0.20000000000000007,dual_vs_mainstream_only
133,0.0,0.16666666666666666,0.0,0.0,1.0,0.8333333333333334,-0.16666666666666666,0.0,0.16666666666666663,dual_vs_mainstream_only
134,0.0,0.1987179487179487,1.0,0.11538461538461538,0.0,0.6431623931623931,-0.1987179487179487,0.8846153846153846,-0.6431623931623931,dual_vs_mainstream_only
137,0.0,0.08333333333333333,0.0,0.0,1.0,0.8333333333333334,-0.08333333333333333,0.0,0.16666666666666663,dual_vs_mainstream_only
142,0.13043478260869565,0.3333333333333333,0.13043478260869565,0.0,0.43478260869565216,0.6666666666666666,-0.20289855072463767,0.13043478260869565,-0.23188405797101447,dual_vs_mainstream_only
145,0.0,0.0,0.3333333333333333,0.08333333333333333,0.0,0.8333333333333334,0.0,0.25,-0.8333333333333334,dual_vs_mainstream_only
154,0.16666666666666666,0.018518518518518517,0.16666666666666666,0.009259259259259259,0.3333333333333333,0.7870370370370371,0.14814814814814814,0.15740740740740738,-0.4537037037037038,dual_vs_mainstream_only
155,1.0,0.0,0.0,0.16666666666666666,0.0,0.5,1.0,-0.16666666666666666,-0.5,dual_vs_mainstream_only
164,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.5,0.3333333333333333,-0.16666666666666666,0.16666666666666666,0.16666666666666669,dual_vs_mainstream_only
189,0.14285714285714285,0.11666666666666665,0.14285714285714285,0.2333333333333333,0.7142857142857143,0.5833333333333334,0.026190476190476195,-0.09047619047619046,0.13095238095238093,dual_vs_mainstream_only
265,0.0,0.16666666666666666,0.0,0.16666666666666666,1.0,0.1111111111111111,-0.16666666666666666,-0.16666666666666666,0.8888888888888888,dual_vs_mainstream_only
298,0.0,0.1111111111111111,0.0,0.3333333333333333,1.0,0.5555555555555555,-0.1111111111111111,-0.3333333333333333,0.44444444444444453,dual_vs_mainstream_only
300,0.0,0.3611111111111111,0.0,0.2638888888888889,1.0,0.23611111111111108,-0.3611111111111111,-0.2638888888888889,0.763888888888889,dual_vs_mainstream_only
302,0.0,0.3333333333333333,0.0,0.16666666666666666,1.0,0.5,-0.3333333333333333,-0.16666666666666666,0.5,dual_vs_mainstream_only
312,0.0,0.11616161616161617,0.0,0.11616161616161617,1.0,0.6212121212121212,-0.11616161616161617,-0.11616161616161617,0.3787878787878788,dual_vs_mainstream_only
328,0.0,0.08333333333333333,0.0,0.25,1.0,0.5,-0.08333333333333333,-0.25,0.5,dual_vs_mainstream_only
