r,BA (Scale-Free)_mean,BA (Scale-Free)_std,ER (Random)_mean,ER (Random)_std,Full (Well-Mixed)_mean,Full (Well-Mixed)_std
0.0,0.9211111111111111,0.015019329109969523,0.9555346248051658,0.010589777307824682,1.0,0.0
0.05,0.8542222222222221,0.011186411509913967,0.8928238699621466,0.007563472052573809,1.0,0.0
0.1,0.7759999999999999,0.004320493798938611,0.8041269205076819,0.037705403778097155,1.0,0.0
0.15000000000000002,0.6731111111111111,0.08377276731259313,0.6055355154753953,0.02251009733813897,1.0,0.0
0.2,0.37600000000000006,0.12622496084665952,0.18520552215542196,0.04093896101558522,1.0,0.0
0.25,0.12377777777777778,0.10035837019967893,0.14074148296593186,0.06758163421143565,1.0,0.0
0.30000000000000004,0.15555555555555556,0.03254322861049687,0.15854909819639282,0.023432496694801356,1.0,0.0
0.35000000000000003,0.15644444444444444,0.022877019576233212,0.19056824760632377,0.026623106549973918,1.0,0.0
0.4,0.19044444444444444,0.012988123729957734,0.2296985081273659,0.016948385720121542,1.0,0.0
0.45,0.23600000000000002,0.009630199413342415,0.27618347806724564,0.0028061271982268363,1.0,0.0
0.5,0.2735555555555556,0.0019116278371205774,0.3355751503006012,0.019205876904326003,1.0,0.0
0.55,0.32444444444444437,0.014930290695325189,0.39138855488755286,0.01757283233447789,1.0,0.0
0.6000000000000001,0.37533333333333335,0.012869717542729125,0.48078690714762856,0.02353632726326358,1.0,0.0
0.65,0.4506666666666666,0.020533621931593773,0.5643923402360276,0.020996173340836574,1.0,0.0
0.7000000000000001,0.5404444444444444,0.022392679579841056,0.6495582275662436,0.015345059700101929,1.0,0.0
0.75,0.6417777777777778,0.013622784110216977,0.7487299042529503,0.010700416147330302,1.0,0.0
0.8,0.7657777777777778,0.007931808132255445,0.8552438209752838,0.00749536536980289,1.0,0.0
0.8500000000000001,0.8955555555555557,0.007723620976436765,0.9337359162769986,0.0032813947312441173,1.0,0.0
0.9,0.9673333333333333,0.0033993463423952074,0.9773204186150077,0.00247718745353488,1.0,0.0
0.9500000000000001,0.9953333333333334,0.0009428090415820119,0.997108439100423,0.0008350509598237635,1.0,0.0
1.0,1.0,0.0,1.0,0.0,1.0,0.0
