exposure_group,env_type,n_transitions,p_H,p_M,p_L
dual,norisk,253,0.17786561264822134,0.782608695652174,0.039525691699604744
dual,risk,263,0.17110266159695817,0.7490494296577946,0.07984790874524715
mainstream_only,norisk,316,0.05063291139240506,0.930379746835443,0.0189873417721519
mainstream_only,risk,138,0.09420289855072464,0.8478260869565217,0.057971014492753624
wemedia_only,norisk,472,0.09110169491525423,0.8665254237288136,0.0423728813559322
wemedia_only,risk,560,0.15714285714285714,0.7285714285714285,0.11428571428571428
