scope,type,count,ratio
essay_like_all_user_level,ordinary,48081,0.877855
essay_like_all_user_level,wemedia,5605,0.102335
essay_like_all_user_level,mainstream,1085,0.01981
network_nodes,ordinary,62361,0.942978
network_nodes,wemedia,3472,0.052501
network_nodes,mainstream,299,0.004521
