window_start,window_end,n_days,lag,direction,F,p_value,segment_id
2020-03-25,2020-09-20,180,1,mainstream_to_wemedia,0.003780799553216463,0.9510401758877022,1
2020-03-25,2020-09-20,180,2,mainstream_to_wemedia,0.007648775311700277,0.9923807377078057,1
2020-03-25,2020-09-20,180,3,mainstream_to_wemedia,0.004646141652636339,0.9995622757326049,1
2020-03-25,2020-09-20,180,1,wemedia_to_mainstream,0.011300160513669822,0.9154636419162061,1
2020-03-25,2020-09-20,180,2,wemedia_to_mainstream,0.007605064181412032,0.9924241129150102,1
2020-03-25,2020-09-20,180,3,wemedia_to_mainstream,0.007708177469427736,0.999067233464832,1
2020-04-24,2020-10-20,180,1,mainstream_to_wemedia,0.008645533141244745,0.9260241280280852,1
2020-04-24,2020-10-20,180,2,mainstream_to_wemedia,0.01134043395184204,0.9887243613206801,1
2020-04-24,2020-10-20,180,3,mainstream_to_wemedia,0.010537886802441849,0.9985128592941283,1
2020-04-24,2020-10-20,180,1,wemedia_to_mainstream,0.017047655947277644,0.8962672247287365,1
2020-04-24,2020-10-20,180,2,wemedia_to_mainstream,0.012971540922336818,0.9871131869000546,1
2020-04-24,2020-10-20,180,3,wemedia_to_mainstream,0.01256875850237745,0.9980664550098349,1
2020-05-24,2020-11-19,180,1,mainstream_to_wemedia,0.005617977527999639,0.940337098116143,1
2020-05-24,2020-11-19,180,2,mainstream_to_wemedia,0.005681818181798693,0.9943344783613258,1
2020-05-24,2020-11-19,180,3,mainstream_to_wemedia,0.005747126436788321,0.9993984100430523,1
2020-05-24,2020-11-19,180,1,wemedia_to_mainstream,0.005617977528058592,0.9403370981158305,1
2020-05-24,2020-11-19,180,2,wemedia_to_mainstream,0.005681818181818011,0.9943344783613066,1
2020-05-24,2020-11-19,180,3,wemedia_to_mainstream,0.005747126436769333,0.9993984100430553,1
2020-06-23,2020-12-19,180,1,mainstream_to_wemedia,0.010158534708270424,0.9198322411415978,1
2020-06-23,2020-12-19,180,2,mainstream_to_wemedia,0.010322743184418035,0.9897309630451594,1
2020-06-23,2020-12-19,180,3,mainstream_to_wemedia,0.010492963542097779,0.9985222980476542,1
2020-06-23,2020-12-19,180,1,wemedia_to_mainstream,0.010251206328798095,0.9194686537427543,1
2020-06-23,2020-12-19,180,2,wemedia_to_mainstream,0.010466298116735792,0.9895889095504962,1
