lag,ccf,ci_lower,ci_upper,significant
-14,-0.006150913217006162,-0.020620525957910717,0.1800943106449153,False
-13,-0.012160764451913464,-0.02171155885092764,0.03957584638168873,False
-12,0.023634721121183786,-0.02065483699718539,0.04208856348371848,False
-11,0.006072239613949516,-0.02007607262934323,0.039053217292081555,False
-10,-0.0058563276013355,-0.019785243168519002,0.054918839782159404,False
-9,0.00015353157688520418,-0.020079083663404242,0.015342280642446244,False
-8,-0.003622544366209806,-0.018565724555530256,0.05137463940286103,False
-7,-0.00448047863647098,-0.01923018046113204,0.053269171725096855,False
-6,-0.0012892669914014727,-0.02014715172966315,0.039975056329873006,False
-5,0.0018414878495878386,-0.019959297426821516,0.039014383205596685,False
-4,-0.011632128061921652,-0.019739619501675416,0.03675579531695632,False
-3,0.0012358718874548671,-0.019119522702288668,0.047440256978169726,False
-2,0.017552913336029128,-0.019515659938755734,0.014683927834818037,True
-1,0.05822581224066924,-0.017815898962471224,0.04175907710538284,True
0,0.9759932045315425,-0.018286325015942125,0.04151213730534015,True
1,0.02106001353364594,-0.019628521079663713,0.041477788550445795,False
2,-0.002227347131498807,-0.019520120346447425,0.03895765885152674,False
3,-0.002752422580126839,-0.019286312547119783,0.035960862464427604,False
4,0.011234562018832743,-0.020095788163839244,0.04582317673434412,False
5,-0.0041225989393872285,-0.020233456078281142,0.016502537940040057,False
6,0.0013080811099803376,-0.019198216126622283,0.05116215887630898,False
7,-0.005714343794858012,-0.019246860206202327,0.06248885093723687,False
8,-0.005018985498180515,-0.02015314677717393,0.04188401551774222,False
9,-0.014171977567813122,-0.019835400864794742,0.03996618131255028,False
10,-0.009700739368395342,-0.01986024233444839,0.036381444708016214,False
11,-0.006816725567476732,-0.020277857734517776,0.05421097776147032,False
12,-0.015916104429601983,-0.020522532105474882,0.019764668817013,False
13,-0.0003739934216246797,-0.019470822154409158,0.05078495229770592,False
14,-0.005062175781637323,-0.02004976491137714,0.05032055824355694,False
