segment,lag,ccf,ci_lower,ci_upper,significant,n_days,segment_start,segment_end
pre_spike,-14,-0.015477471851161356,-0.015477471851161455,0.1814050744908202,False,706,2020-03-25,2022-02-28
pre_spike,-13,-0.015454776559466227,-0.01545477655946639,0.18142316747932077,False,706,2020-03-25,2022-02-28
pre_spike,-12,-0.015432147729239941,-0.015432147729240012,0.10269186540413379,False,706,2020-03-25,2022-02-28
pre_spike,-11,-0.015409585068965243,-0.015409585068965333,0.06333792686434965,False,706,2020-03-25,2022-02-28
pre_spike,-10,-0.015387088288826779,-0.015387088288826891,0.06335859883634547,False,706,2020-03-25,2022-02-28
pre_spike,-9,-0.015364657100699614,-0.015364657100699739,0.1814950120020139,False,706,2020-03-25,2022-02-28
pre_spike,-8,-0.015342291218136088,-0.015342291218136189,0.18151284242633342,False,706,2020-03-25,2022-02-28
pre_spike,-7,0.02405013191971863,-0.015319990356354765,0.1815306210240122,False,706,2020-03-25,2022-02-28
pre_spike,-6,0.06344068666894036,-0.01529775423222682,0.10280990711952397,False,706,2020-03-25,2022-02-28
pre_spike,-5,0.22093434488169297,-0.01527558256426554,0.0652144792919444,True,706,2020-03-25,2022-02-28
pre_spike,-4,-0.015253475072613345,-0.015253475072613426,0.06348137419925798,False,706,2020-03-25,2022-02-28
pre_spike,-3,0.10286816039330651,-0.015231431479030772,0.06350162976919328,True,706,2020-03-25,2022-02-28
pre_spike,-2,0.024156187687404285,-0.015209451506884126,0.10485574803569271,False,706,2020-03-25,2022-02-28
pre_spike,-1,-0.015187534881134833,-0.015187534881134834,0.18163621679533704,False,706,2020-03-25,2022-02-28
pre_spike,0,0.02419818270769776,-0.015165681328326703,0.10292591077974654,False,706,2020-03-25,2022-02-28
pre_spike,1,0.06354196578945344,-0.015187534881134834,0.10290671612474797,False,706,2020-03-25,2022-02-28
pre_spike,2,-0.015209451506883995,-0.015209451506884136,0.06356558754647229,False,706,2020-03-25,2022-02-28
pre_spike,3,-0.015231431479030581,-0.015231431479030796,0.025363577231408602,False,706,2020-03-25,2022-02-28
pre_spike,4,0.024113949563322294,-0.015253475072613437,0.06348137419925827,False,706,2020-03-25,2022-02-28
pre_spike,5,-0.015275582564265535,-0.015275582564265549,0.18156602364069918,False,706,2020-03-25,2022-02-28
pre_spike,6,-0.015297754232226821,-0.015297754232226868,0.181548348020692,False,706,2020-03-25,2022-02-28
pre_spike,7,-0.015319990356354604,-0.015319990356354741,0.18153062102401202,False,706,2020-03-25,2022-02-28
pre_spike,8,-0.015342291218136251,-0.015342291218136262,0.11961346249786295,False,706,2020-03-25,2022-02-28
pre_spike,9,0.06337921054038528,-0.01536465710069974,0.10275114436092765,False,706,2020-03-25,2022-02-28
pre_spike,10,-0.01538708828882693,-0.01538708828882698,0.0633585988363458,False,706,2020-03-25,2022-02-28
pre_spike,11,-0.01540958506896541,-0.01540958506896542,0.06333792686434948,False,706,2020-03-25,2022-02-28
pre_spike,12,-0.01543214772923999,-0.015432147729240122,0.18144120749304873,False,706,2020-03-25,2022-02-28
pre_spike,13,-0.015454776559466397,-0.015454776559466461,0.18142316747932227,False,706,2020-03-25,2022-02-28
pre_spike,14,-0.015477471851161497,-0.015477471851161535,0.10265205595402613,False,706,2020-03-25,2022-02-28
post_spike,-14,0.2682264779877671,-0.07890066361476407,0.13699366858861634,True,688,2022-04-01,2024-02-17
post_spike,-13,0.285004179347802,-0.08337934318840495,0.14331312656790893,True,688,2022-04-01,2024-02-17
post_spike,-12,0.3073076370020675,-0.07509662413889409,0.13338852119769123,True,688,2022-04-01,2024-02-17
post_spike,-11,0.3369892089730221,-0.07819863424913055,0.14252889529486037,True,688,2022-04-01,2024-02-17
post_spike,-10,0.35737688522678446,-0.07328655152315293,0.12177645575814375,True,688,2022-04-01,2024-02-17
post_spike,-9,0.30423257262418274,-0.07950843862216424,0.12051720980702148,True,688,2022-04-01,2024-02-17
post_spike,-8,0.3778805634845514,-0.0795826634827998,0.13063446350632607,True,688,2022-04-01,2024-02-17
post_spike,-7,0.458670721481147,-0.07718805570024331,0.14428632868256613,True,688,2022-04-01,2024-02-17
post_spike,-6,0.4752932291844337,-0.07690970220805546,0.15232272491551305,True,688,2022-04-01,2024-02-17
post_spike,-5,0.3562702425939969,-0.07714923059038051,0.1363185335713997,True,688,2022-04-01,2024-02-17
post_spike,-4,0.3346757235670053,-0.07850037443897555,0.1444877136391109,True,688,2022-04-01,2024-02-17
post_spike,-3,0.3199921214477363,-0.07269587261154072,0.1255565826164892,True,688,2022-04-01,2024-02-17
post_spike,-2,0.3255997889544233,-0.0796199028342994,0.11639713106413978,True,688,2022-04-01,2024-02-17
post_spike,-1,0.3857046210981953,-0.07754868549987103,0.1277361131102534,True,688,2022-04-01,2024-02-17
post_spike,0,0.41853591374412624,-0.0772954609094509,0.12980040903514325,True,688,2022-04-01,2024-02-17
post_spike,1,0.3566377469587081,-0.080841825699486,0.1371776363550194,True,688,2022-04-01,2024-02-17
post_spike,2,0.30954439345846174,-0.0742052225185684,0.13118312024259263,True,688,2022-04-01,2024-02-17
post_spike,3,0.4093395587241362,-0.07260499364971319,0.1422812465468038,True,688,2022-04-01,2024-02-17
post_spike,4,0.3855739024076123,-0.07305134618685338,0.12754638885029504,True,688,2022-04-01,2024-02-17
post_spike,5,0.34361358424814,-0.07675598780295985,0.11238695603059914,True,688,2022-04-01,2024-02-17
post_spike,6,0.3325497782081255,-0.07700891851906538,0.13399624486441403,True,688,2022-04-01,2024-02-17
post_spike,7,0.3960652895125097,-0.07531141244291677,0.14328582436727322,True,688,2022-04-01,2024-02-17
post_spike,8,0.32860028871387736,-0.07505898072027672,0.13797963699601068,True,688,2022-04-01,2024-02-17
post_spike,9,0.29416572997565543,-0.0790075422623118,0.13553902439187812,True,688,2022-04-01,2024-02-17
post_spike,10,0.28671885729480967,-0.07588163284218631,0.14025071819561225,True,688,2022-04-01,2024-02-17
post_spike,11,0.2719847530483475,-0.07530618428123391,0.11844793160206199,True,688,2022-04-01,2024-02-17
post_spike,12,0.2536002633476897,-0.07745788842709819,0.10941536547829023,True,688,2022-04-01,2024-02-17
post_spike,13,0.3044293554894127,-0.07666131955380058,0.13204676708752627,True,688,2022-04-01,2024-02-17
post_spike,14,0.3297739942552405,-0.07557736954254746,0.14339734783673447,True,688,2022-04-01,2024-02-17
