window_start,window_end,n_days,lag,direction,F,p_value
2020-12-20,2021-06-17,180,1,wemedia_to_mainstream,0.14979254583493412,0.6992012662430178
2020-12-20,2021-06-17,180,2,wemedia_to_mainstream,0.11622698974341211,0.8903425750124713
2020-12-20,2021-06-17,180,3,wemedia_to_mainstream,2.0907757457031746,0.10329110225837235
2021-01-19,2021-07-17,180,1,mainstream_to_wemedia,0.08928571428571684,0.7654397099161224
2021-01-19,2021-07-17,180,2,mainstream_to_wemedia,0.09488810881963616,0.9095219910578276
2021-01-19,2021-07-17,180,3,mainstream_to_wemedia,0.08199917898194863,0.9697477374920437
2021-01-19,2021-07-17,180,1,wemedia_to_mainstream,0.09140008309103496,0.7627617091489369
2021-01-19,2021-07-17,180,2,wemedia_to_mainstream,0.06490096038416798,0.9371830812482064
2021-01-19,2021-07-17,180,3,wemedia_to_mainstream,3.7784589096780903,0.011696243937436845
2021-02-18,2021-08-16,180,1,mainstream_to_wemedia,0.03468663776123033,0.8524683099280497
2021-02-18,2021-08-16,180,2,mainstream_to_wemedia,0.035936850851660686,0.964708411215274
2021-02-18,2021-08-16,180,3,mainstream_to_wemedia,0.0372807017543764,0.9903426446834535
2021-02-18,2021-08-16,180,1,wemedia_to_mainstream,0.03508771929819816,0.8516277342614509
2021-02-18,2021-08-16,180,2,wemedia_to_mainstream,0.03657505285406215,0.9640931865828531
2021-02-18,2021-08-16,180,3,wemedia_to_mainstream,0.038185085354913634,0.9899973389348502
2021-03-20,2021-09-15,180,1,mainstream_to_wemedia,0.03508771929822468,0.8516277342613954
2021-03-20,2021-09-15,180,2,mainstream_to_wemedia,0.03657505285408823,0.964093186582828
2021-03-20,2021-09-15,180,3,mainstream_to_wemedia,0.03818508535489654,0.9899973389348568
2021-03-20,2021-09-15,180,1,wemedia_to_mainstream,0.03468663776119078,0.8524683099281327
2021-03-20,2021-09-15,180,2,wemedia_to_mainstream,0.03593685085168986,0.9647084112152459
2021-03-20,2021-09-15,180,3,wemedia_to_mainstream,0.03728070175437002,0.9903426446834558
2021-04-19,2021-10-15,180,1,mainstream_to_wemedia,0.022990757976535676,0.8796547716429375
2021-04-19,2021-10-15,180,2,mainstream_to_wemedia,0.02367268746573989,0.9766084755399154
2021-04-19,2021-10-15,180,3,mainstream_to_wemedia,0.024396369246228455,0.9948273249075987
2021-04-19,2021-10-15,180,1,wemedia_to_mainstream,0.022990757976535676,0.8796547716429375
2021-04-19,2021-10-15,180,2,wemedia_to_mainstream,0.023672687465759325,0.9766084755398964
2021-04-19,2021-10-15,180,3,wemedia_to_mainstream,0.024396369246228455,0.9948273249075987
2021-05-19,2021-11-14,180,1,mainstream_to_wemedia,0.03468663776123033,0.8524683099280497
2021-05-19,2021-11-14,180,2,mainstream_to_wemedia,0.035936850851650964,0.9647084112152834
2021-05-19,2021-11-14,180,3,mainstream_to_wemedia,0.037280701754382764,0.990342644683451
2021-05-19,2021-11-14,180,1,wemedia_to_mainstream,0.03508771929825119,0.8516277342613401
2021-05-19,2021-11-14,180,2,wemedia_to_mainstream,0.036575052854101266,0.9640931865828155
2021-05-19,2021-11-14,180,3,wemedia_to_mainstream,0.03818508535488799,0.9899973389348601
2021-06-18,2021-12-14,180,1,mainstream_to_wemedia,0.0318647481330282,0.8585301354597861
2021-06-18,2021-12-14,180,2,mainstream_to_wemedia,0.03297004011915885,0.9675736254257965
2021-06-18,2021-12-14,180,3,mainstream_to_wemedia,0.034160356597013934,0.9915052903507263
2021-06-18,2021-12-14,180,1,wemedia_to_mainstream,0.03283965014578837,0.8564056665674511
2021-06-18,2021-12-14,180,2,wemedia_to_mainstream,0.03452902367356402,0.9660669566509378
2021-06-18,2021-12-14,180,3,wemedia_to_mainstream,0.036381470417761894,0.9906823224440418
2021-07-18,2022-01-13,180,1,mainstream_to_wemedia,0.03137445689896541,0.8596112405974778
2021-07-18,2022-01-13,180,2,mainstream_to_wemedia,0.03243156156782964,0.9680945863743572
2021-07-18,2022-01-13,180,3,mainstream_to_wemedia,0.033563847568134166,0.9917223259680911
2021-07-18,2022-01-13,180,1,wemedia_to_mainstream,0.031804413673751086,0.8586627092399826
2021-07-18,2022-01-13,180,2,wemedia_to_mainstream,0.03311414359744571,0.9674342579796832
2021-07-18,2022-01-13,180,3,wemedia_to_mainstream,0.03452878365831964,0.9913703881614969
2021-08-17,2022-02-12,180,1,mainstream_to_wemedia,2.9581140595435342,0.08720536502784082
2021-08-17,2022-02-12,180,2,mainstream_to_wemedia,1.585192914805925,0.2078698947579749
2021-08-17,2022-02-12,180,3,mainstream_to_wemedia,1.0413358847422698,0.37575965785363485
2021-08-17,2022-02-12,180,1,wemedia_to_mainstream,0.1921077079433065,0.6617056460524173
2021-08-17,2022-02-12,180,2,wemedia_to_mainstream,0.3478262192697484,0.7067143229039363
2021-08-17,2022-02-12,180,3,wemedia_to_mainstream,0.8532356148813954,0.4666659834357888
2021-09-16,2022-03-14,180,1,mainstream_to_wemedia,15.655007030657938,0.00011009241319925867
2021-09-16,2022-03-14,180,2,mainstream_to_wemedia,7.743817593008722,0.0006012014751891614
2021-09-16,2022-03-14,180,3,mainstream_to_wemedia,5.08588986789291,0.0021375942840956563
2021-09-16,2022-03-14,180,1,wemedia_to_mainstream,0.2105217359132269,0.6469248940231873
2021-09-16,2022-03-14,180,2,wemedia_to_mainstream,0.08192550446989519,0.9213763147917723
2021-09-16,2022-03-14,180,3,wemedia_to_mainstream,0.07034825108117942,0.9757064118340077
2021-10-16,2022-04-13,180,1,mainstream_to_wemedia,2.8114990931138224,0.09536614103835217
2021-10-16,2022-04-13,180,2,mainstream_to_wemedia,2.3744734534695096,0.09609023895940316
2021-10-16,2022-04-13,180,3,mainstream_to_wemedia,1.6116906401292403,0.18851040765599325
2021-10-16,2022-04-13,180,1,wemedia_to_mainstream,3.0102770886351933,0.08448868577128121
2021-10-16,2022-04-13,180,2,wemedia_to_mainstream,2.2920727745272576,0.1041179204863355
2021-10-16,2022-04-13,180,3,wemedia_to_mainstream,1.5426196907833185,0.2053203260355707
2021-11-15,2022-05-13,180,1,mainstream_to_wemedia,2.4656528296762668,0.11815541130264584
2021-11-15,2022-05-13,180,2,mainstream_to_wemedia,1.879451745722432,0.1557778032737852
2021-11-15,2022-05-13,180,3,mainstream_to_wemedia,1.2920716473821792,0.2788200391643335
2021-11-15,2022-05-13,180,1,wemedia_to_mainstream,2.505723188406728,0.11522869888014609
2021-11-15,2022-05-13,180,2,wemedia_to_mainstream,1.72037941274049,0.1820461962508747
2021-11-15,2022-05-13,180,3,wemedia_to_mainstream,1.1706912801680927,0.32252123534598687
2021-12-15,2022-06-12,180,1,mainstream_to_wemedia,2.3153659041122974,0.1298957597522522
2021-12-15,2022-06-12,180,2,mainstream_to_wemedia,1.7819228385822734,0.17138941478091796
2021-12-15,2022-06-12,180,3,mainstream_to_wemedia,1.2234216114774066,0.30282640585324905
2021-12-15,2022-06-12,180,1,wemedia_to_mainstream,2.2668934824592077,0.13395718375975219
2021-12-15,2022-06-12,180,2,wemedia_to_mainstream,1.5756790576832065,0.20982115543312552
2021-12-15,2022-06-12,180,3,wemedia_to_mainstream,1.0720185559050193,0.36247606556013334
2022-01-14,2022-07-12,180,1,mainstream_to_wemedia,2.311131221823372,0.13024500015058393
2022-01-14,2022-07-12,180,2,mainstream_to_wemedia,1.794568692103449,0.16927904894128631
2022-01-14,2022-07-12,180,3,mainstream_to_wemedia,1.2307392837020683,0.3001808594225963
2022-01-14,2022-07-12,180,1,wemedia_to_mainstream,2.2485623810818876,0.13553022578183915
2022-01-14,2022-07-12,180,2,wemedia_to_mainstream,1.5757424401407882,0.20980809478338824
2022-01-14,2022-07-12,180,3,wemedia_to_mainstream,1.0720975342322583,0.36244241060476523
2022-02-13,2022-08-11,180,1,mainstream_to_wemedia,2.1011512658946407,0.14896781748677335
2022-02-13,2022-08-11,180,2,mainstream_to_wemedia,1.588097555271024,0.2072778278469185
2022-02-13,2022-08-11,180,3,mainstream_to_wemedia,1.0978690755957843,0.35160605159813896
2022-02-13,2022-08-11,180,1,wemedia_to_mainstream,2.010813074614934,0.15794972165100596
2022-02-13,2022-08-11,180,2,wemedia_to_mainstream,1.3632874415484098,0.2585526520292887
2022-02-13,2022-08-11,180,3,wemedia_to_mainstream,0.9490779845709724,0.418271162247834
2022-03-15,2022-09-10,180,1,mainstream_to_wemedia,12.278761507672847,0.00058099767372366
2022-03-15,2022-09-10,180,2,mainstream_to_wemedia,0.4144035783720085,0.6613883606737969
2022-03-15,2022-09-10,180,3,mainstream_to_wemedia,1.1065483929313875,0.3480214689010752
2022-03-15,2022-09-10,180,1,wemedia_to_mainstream,1.5776312247058832,0.21076698929336135
2022-03-15,2022-09-10,180,2,wemedia_to_mainstream,0.16017406919847652,0.852121673577661
2022-03-15,2022-09-10,180,3,wemedia_to_mainstream,0.38974980594752745,0.7605294604131414
2022-04-14,2022-10-10,180,1,mainstream_to_wemedia,0.09584606951729081,0.7572388698244055
2022-04-14,2022-10-10,180,2,mainstream_to_wemedia,0.3018679504555392,0.7398243817647483
2022-04-14,2022-10-10,180,3,mainstream_to_wemedia,0.20517463708732542,0.8927106298839739
2022-04-14,2022-10-10,180,1,wemedia_to_mainstream,0.04157651554582517,0.838664721060902
2022-04-14,2022-10-10,180,2,wemedia_to_mainstream,0.08566131656239348,0.9179439662554958
2022-04-14,2022-10-10,180,3,wemedia_to_mainstream,0.25136541069846774,0.860283955228959
2022-05-14,2022-11-09,180,1,mainstream_to_wemedia,0.02741088483437485,0.8686914171845707
2022-05-14,2022-11-09,180,2,mainstream_to_wemedia,0.08163421056576387,0.9216444916100109
2022-05-14,2022-11-09,180,3,mainstream_to_wemedia,0.031231258286818022,0.9925542727867602
2022-05-14,2022-11-09,180,1,wemedia_to_mainstream,0.911853700877013,0.3409327793703152
2022-05-14,2022-11-09,180,2,wemedia_to_mainstream,0.7626025186194659,0.4680123880239816
