direction,window,n_trigger,n_hits,p_observed,p_baseline,fisher_p,odds_ratio,n_response_burst_days,n_days
mainstream_to_wemedia,0,11,8,0.7272727272727273,0.04280701754385965,0.0010319917440660474,inf,61,1425
mainstream_to_wemedia,1,11,9,0.8181818181818182,0.12842105263157894,0.0019052155275065491,45.0,61,1425
mainstream_to_wemedia,2,11,9,0.8181818181818182,0.21403508771929824,0.008922192358724868,20.25,61,1425
mainstream_to_wemedia,3,11,10,0.9090909090909091,0.29964912280701755,0.007518796992481203,26.666666666666668,61,1425
wemedia_to_mainstream,0,61,8,0.13114754098360656,0.0077192982456140355,0.006116645502834762,inf,11,1425
wemedia_to_mainstream,1,61,16,0.26229508196721313,0.023157894736842106,0.0001005532460114198,21.333333333333332,11,1425
wemedia_to_mainstream,2,61,19,0.3114754098360656,0.03859649122807018,5.6837505187911074e-05,13.345238095238095,11,1425
wemedia_to_mainstream,3,61,22,0.36065573770491804,0.05403508771929825,2.6265824951804344e-05,10.905982905982906,11,1425
