group,risk_class,emotion_class,n_posts,n_total,share
mainstream,norisk,H,19,14131,0.0013445616021512986
mainstream,norisk,L,15,14131,0.0010614960016983937
mainstream,norisk,M,14097,14131,0.9975939423961503
mainstream,risk,H,215,3536,0.06080316742081448
mainstream,risk,L,50,3536,0.01414027149321267
mainstream,risk,M,3271,3536,0.9250565610859729
public,norisk,H,1202,21572,0.05572037826812535
public,norisk,L,1849,21572,0.0857129612460597
public,norisk,M,18521,21572,0.858566660485815
public,risk,H,10871,41791,0.2601277787083343
public,risk,L,19068,41791,0.45627048886123805
public,risk,M,11852,41791,0.2836017324304276
wemedia,norisk,H,118,6538,0.018048332823493423
wemedia,norisk,L,203,6538,0.031049250535331904
wemedia,norisk,M,6217,6538,0.9509024166411747
wemedia,risk,H,977,4968,0.19665861513687602
wemedia,risk,L,1353,4968,0.2723429951690821
wemedia,risk,M,2638,4968,0.5309983896940419
