group,risk_class,H,M,L
mainstream,norisk,0.0013445616021512986,0.9975939423961503,0.0010614960016983937
mainstream,risk,0.06080316742081448,0.9250565610859729,0.01414027149321267
public,norisk,0.05572037826812535,0.858566660485815,0.0857129612460597
public,risk,0.2601277787083343,0.2836017324304276,0.45627048886123805
wemedia,norisk,0.018048332823493423,0.9509024166411747,0.031049250535331904
wemedia,risk,0.19665861513687602,0.5309983896940419,0.2723429951690821
