exposure_group,env_type,n_transitions,p_MH,p_HM,upgrade_rate,cooling_rate
dual,norisk,63,0.1111111111111111,0.14285714285714285,0.1111111111111111,0.14285714285714285
mainstream_only,norisk,88,0.045454545454545456,0.022727272727272728,0.045454545454545456,0.022727272727272728
wemedia_only,norisk,78,0.01282051282051282,0.038461538461538464,0.01282051282051282,0.038461538461538464
dual,risk,38,0.02631578947368421,0.0,0.02631578947368421,0.0
mainstream_only,risk,38,0.0,0.02631578947368421,0.0,0.02631578947368421
wemedia_only,risk,97,0.061855670103092786,0.07216494845360824,0.10309278350515463,0.08247422680412371
