date,n_mainstream_posts,n_wemedia_posts,n_public_posts,mainstream_risk,wemedia_risk,public_H
2022-10-01,3,0,2,0.3333333333333333,,0.0
2022-10-02,1,0,3,0.0,,0.3333333333333333
2022-10-03,1,0,2,0.0,,1.0
2022-10-04,1,0,1,0.0,,1.0
2022-10-05,2,0,1,0.0,,0.0
2022-10-06,3,0,1,0.6666666666666666,,0.0
2022-10-07,4,0,2,0.0,,0.0
2022-10-08,5,1,1,0.0,0.0,0.0
2022-10-09,4,1,8,0.25,1.0,0.25
2022-10-10,6,3,2,0.16666666666666666,0.6666666666666666,0.5
2022-10-11,8,3,5,0.375,0.6666666666666666,0.4
2022-10-12,6,0,2,0.0,,0.0
2022-10-13,4,0,8,0.5,,0.125
2022-10-14,60,37,54,0.6833333333333333,0.7567567567567568,0.037037037037037035
2022-10-15,3,3,8,0.0,0.6666666666666666,0.5
2022-10-16,2,0,2,0.0,,0.0
2022-10-17,3,0,2,0.6666666666666666,,0.0
2022-10-18,4,1,2,0.25,0.0,0.0
2022-10-19,2,0,1,0.0,,1.0
2022-10-20,3,0,3,0.3333333333333333,,0.0
2022-10-21,1,1,2,0.0,0.0,0.0
2022-10-22,2,1,3,0.0,1.0,0.0
2022-10-23,3,0,0,0.0,,
2022-10-24,1,0,0,1.0,,
2022-10-25,1,2,0,0.0,0.0,
2022-10-26,4,2,1,0.0,0.0,0.0
2022-10-27,5,2,2,0.0,0.5,0.5
2022-10-28,2,1,3,0.0,1.0,0.6666666666666666
2022-10-29,1,0,4,0.0,,0.5
2022-10-30,0,10,3,,0.1,0.6666666666666666
2022-10-31,2,0,2,0.5,,0.5
2022-11-01,4,0,6,0.0,,0.0
2022-11-02,4,2,9,0.0,1.0,0.2222222222222222
2022-11-03,13,3,8,0.3076923076923077,0.6666666666666666,0.0
2022-11-04,5,2,6,0.2,0.5,0.0
2022-11-05,4,0,11,0.25,,0.09090909090909091
2022-11-06,4,1,1,0.25,0.0,0.0
2022-11-07,4,0,7,0.25,,0.0
2022-11-08,2,3,4,0.0,0.6666666666666666,0.25
2022-11-09,1,1,5,1.0,0.0,0.2
2022-11-10,4,0,1,0.0,,0.0
2022-11-11,1,0,4,0.0,,0.0
2022-11-12,0,0,7,,,0.14285714285714285
2022-11-13,4,1,6,0.0,1.0,0.3333333333333333
2022-11-14,4,1,5,0.25,0.0,0.2
2022-11-15,1,4,14,0.0,0.0,0.21428571428571427
2022-11-16,1,2,12,0.0,0.0,0.3333333333333333
2022-11-17,6,2,9,0.0,0.5,0.1111111111111111
2022-11-18,23,6,4,0.0,0.0,0.25
2022-11-19,5,0,6,0.0,,0.16666666666666666
2022-11-20,3,1,7,0.0,0.0,0.42857142857142855
2022-11-21,9,5,8,0.0,0.0,0.0
2022-11-22,10,1,4,0.1,0.0,0.0
2022-11-23,7,0,8,0.0,,0.0
2022-11-24,3,4,8,0.3333333333333333,0.75,0.125
2022-11-25,2,1,12,0.5,0.0,0.0
2022-11-26,6,2,8,0.0,0.0,0.25
2022-11-27,11,1,8,0.36363636363636365,0.0,0.25
2022-11-28,5,5,10,0.0,0.2,0.3
2022-11-29,36,5,8,0.08333333333333333,0.2,0.125
2022-11-30,11,3,5,0.09090909090909091,0.0,0.4
2022-12-01,63,61,76,0.07936507936507936,0.16393442622950818,0.14473684210526316
2022-12-02,17,9,36,0.0,0.1111111111111111,0.16666666666666666
2022-12-03,23,3,29,0.043478260869565216,0.3333333333333333,0.20689655172413793
2022-12-04,31,6,13,0.0,0.3333333333333333,0.07692307692307693
2022-12-05,33,11,19,0.06060606060606061,0.09090909090909091,0.21052631578947367
2022-12-06,37,8,13,0.08108108108108109,0.125,0.07692307692307693
2022-12-07,206,37,39,0.0,0.0,0.05128205128205128
2022-12-08,116,26,36,0.02586206896551724,0.07692307692307693,0.1388888888888889
2022-12-09,141,30,44,0.0070921985815602835,0.03333333333333333,0.022727272727272728
2022-12-10,56,11,23,0.05357142857142857,0.36363636363636365,0.043478260869565216
2022-12-11,84,13,34,0.0,0.07692307692307693,0.058823529411764705
2022-12-12,30,9,9,0.0,0.1111111111111111,0.1111111111111111
2022-12-13,24,6,25,0.16666666666666666,0.0,0.04
2022-12-14,29,4,21,0.034482758620689655,0.25,0.3333333333333333
2022-12-15,131,26,40,0.007633587786259542,0.11538461538461539,0.075
2022-12-16,96,28,53,0.07291666666666667,0.07142857142857142,0.11320754716981132
2022-12-17,19,3,32,0.15789473684210525,0.3333333333333333,0.125
2022-12-18,37,19,47,0.08108108108108109,0.15789473684210525,0.14893617021276595
2022-12-19,51,7,50,0.21568627450980393,0.42857142857142855,0.12
2022-12-20,18,12,49,0.05555555555555555,0.25,0.16326530612244897
2022-12-21,32,8,57,0.28125,0.5,0.14035087719298245
2022-12-22,28,3,63,0.21428571428571427,0.3333333333333333,0.15873015873015872
2022-12-23,24,9,86,0.4583333333333333,0.8888888888888888,0.20930232558139536
2022-12-24,25,16,87,0.08,0.75,0.21839080459770116
2022-12-25,28,6,98,0.39285714285714285,0.6666666666666666,0.20408163265306123
2022-12-26,46,10,126,0.17391304347826086,0.6,0.1746031746031746
2022-12-27,51,18,116,0.1568627450980392,0.6111111111111112,0.13793103448275862
2022-12-28,16,13,120,0.1875,0.7692307692307693,0.13333333333333333
2022-12-29,26,14,77,0.07692307692307693,0.6428571428571429,0.16883116883116883
2022-12-30,63,9,97,0.14285714285714285,0.6666666666666666,0.15463917525773196
2022-12-31,45,9,53,0.5111111111111111,0.7777777777777778,0.24528301886792453
2023-01-01,22,4,51,0.5454545454545454,0.5,0.17647058823529413
2023-01-02,89,14,72,0.6966292134831461,0.6428571428571429,0.25
2023-01-03,72,15,98,0.4166666666666667,0.7333333333333333,0.19387755102040816
2023-01-04,43,17,95,0.6046511627906976,0.7647058823529411,0.16842105263157894
2023-01-05,33,12,89,0.3939393939393939,0.6666666666666666,0.1797752808988764
2023-01-06,17,13,92,0.23529411764705882,0.7692307692307693,0.14130434782608695
2023-01-07,21,11,88,0.09523809523809523,0.9090909090909091,0.10227272727272728
2023-01-08,10,6,59,0.2,0.8333333333333334,0.2711864406779661
2023-01-09,39,11,101,0.358974358974359,0.7272727272727273,0.18811881188118812
2023-01-10,11,14,82,0.36363636363636365,0.6428571428571429,0.18292682926829268
2023-01-11,19,15,78,0.15789473684210525,0.4666666666666667,0.15384615384615385
2023-01-12,22,12,60,0.5909090909090909,0.75,0.2833333333333333
2023-01-13,41,11,48,0.04878048780487805,0.6363636363636364,0.08333333333333333
2023-01-14,10,4,48,0.1,0.75,0.125
2023-01-15,22,6,34,0.45454545454545453,0.3333333333333333,0.058823529411764705
2023-01-16,26,12,45,0.11538461538461539,0.5833333333333334,0.28888888888888886
2023-01-17,13,6,41,0.07692307692307693,0.5,0.0975609756097561
2023-01-18,78,14,51,0.02564102564102564,0.14285714285714285,0.0784313725490196
2023-01-19,12,8,34,0.0,0.375,0.14705882352941177
2023-01-20,2,7,24,0.0,0.7142857142857143,0.20833333333333334
2023-01-21,33,2,20,0.7575757575757576,0.0,0.05
2023-01-22,0,1,11,,1.0,0.18181818181818182
2023-01-23,4,2,14,0.75,1.0,0.07142857142857142
2023-01-24,5,3,10,0.2,1.0,0.1
2023-01-25,18,6,16,0.16666666666666666,0.3333333333333333,0.1875
2023-01-26,5,0,15,0.8,,0.13333333333333333
2023-01-27,3,3,13,0.0,0.6666666666666666,0.15384615384615385
2023-01-28,5,8,15,0.6,0.625,0.06666666666666667
2023-01-29,6,4,16,0.16666666666666666,0.75,0.125
2023-01-30,8,2,18,0.5,0.5,0.16666666666666666
2023-01-31,5,2,11,0.0,0.0,0.2727272727272727
2023-02-01,2,7,49,0.0,0.8571428571428571,0.1836734693877551
2023-02-02,5,7,43,0.2,0.5714285714285714,0.13953488372093023
2023-02-03,4,2,40,0.75,0.5,0.2
2023-02-04,3,8,30,0.3333333333333333,0.625,0.16666666666666666
2023-02-05,5,4,31,0.4,0.75,0.16129032258064516
2023-02-06,6,5,44,0.0,0.6,0.11363636363636363
2023-02-07,11,5,30,0.18181818181818182,0.8,0.13333333333333333
2023-02-08,10,15,42,0.8,0.6666666666666666,0.19047619047619047
2023-02-09,21,14,49,0.047619047619047616,0.42857142857142855,0.04081632653061224
2023-02-10,10,12,65,0.2,0.5,0.09230769230769231
2023-02-11,3,6,28,0.3333333333333333,0.16666666666666666,0.10714285714285714
2023-02-12,8,1,17,1.0,1.0,0.11764705882352941
2023-02-13,7,6,30,0.2857142857142857,0.8333333333333334,0.1
2023-02-14,7,11,21,0.7142857142857143,0.7272727272727273,0.047619047619047616
2023-02-15,6,5,25,0.6666666666666666,0.8,0.12
2023-02-16,1,11,27,0.0,0.8181818181818182,0.1111111111111111
2023-02-17,7,6,29,0.14285714285714285,0.5,0.13793103448275862
2023-02-18,1,8,22,1.0,0.75,0.3181818181818182
2023-02-19,1,2,60,1.0,1.0,0.25
2023-02-20,3,6,25,0.3333333333333333,0.6666666666666666,0.32
2023-02-21,5,5,39,0.6,0.6,0.48717948717948717
2023-02-22,2,3,38,0.0,0.3333333333333333,0.34210526315789475
2023-02-23,3,2,25,0.0,1.0,0.24
2023-02-24,0,6,10,,0.3333333333333333,0.0
2023-02-25,1,5,14,0.0,0.8,0.21428571428571427
2023-02-26,10,2,30,0.0,0.0,0.0
2023-02-27,7,4,26,0.0,0.5,0.23076923076923078
2023-02-28,15,5,22,0.2,0.6,0.09090909090909091
