user_name,out_weight,in_weight,out_neighbors,in_neighbors,total_weight
日本傻事,1,35,1,30,36
央视新闻,0,35,0,35,35
北京鲁戈,12,23,1,10,35
人民日报健康客户端,1,34,1,31,35
王敬刮痧,6,29,1,23,35
ebnash,35,0,18,0,35
东明仝建华,2,33,1,23,35
熊猫白露,8,26,8,23,34
腾讯新闻财约你,0,34,0,32,34
rickyaoyao,11,23,1,13,34
叹清萧,0,34,0,33,34
赤胆忠心Moss酱,14,20,9,19,34
derg54gttvsc,0,34,0,31,34
张国庆看天下,10,24,10,22,34
白衣山猫,1,32,1,29,33
营养师Steven李珈贤,0,33,0,33,33
WS偏执狂,0,33,0,28,33
森南有鹿_apv,33,0,15,0,33
书香可人,0,32,0,22,32
饱乐促和谐反极端,11,21,4,17,32
一天一篇经济学人翻译,0,32,0,31,32
智慧科技迷,0,32,0,31,32
李鸿政,0,32,0,32,32
成都小拉皮蒲兴旺,0,32,0,31,32
灵蘭仙子,2,30,1,28,32
红色经典白,11,20,1,10,31
沈阳消防,0,31,0,27,31
爱国青年刘战神,0,31,0,29,31
sanna-sanna,7,24,4,20,31
琥珀柏林,31,0,27,0,31
呼吸科大夫胡洋,2,28,1,24,30
Apocalypse-锐,10,20,7,19,30
要改正要学好,30,0,8,0,30
美国侨报网,0,30,0,28,30
中医范怨武,0,30,0,28,30
阿妹壮士,0,30,0,30,30
平原公子赵胜,0,30,0,30,30
我爱丫丫悟,16,13,9,6,29
久鬼,0,29,0,15,29
妙不可言_勿忘她,0,29,0,29,29
刘新征,0,28,0,28,28
用户7769774439,28,0,2,0,28
张文宏医生,0,27,0,27,27
英国那些事儿,0,27,0,25,27
冬日暖阳86323,27,0,10,0,27
张忆安-龙战于野,3,24,3,24,27
盖世英雄玉椒龙,5,22,3,19,27
小肆在喝水,4,23,1,3,27
擒牛师叶汶昌,0,27,0,27,27
成华服务,0,27,0,26,27
雪冰杰,9,18,9,18,27
-四分三十三秒-,0,27,0,26,27
红山晚报,0,27,0,27,27
疾风中青勁草,0,26,0,25,26
先聚焦后改变,26,0,18,0,26
子午侠士,6,20,3,19,26
用户5158106713,0,26,0,15,26
39健康网,0,26,0,25,26
铜陵公安在线,0,25,0,8,25
草民插头,0,25,0,21,25
baby-unicorn,24,1,15,1,25
斗草鸡,0,25,0,22,25
財颜悦色,0,25,0,18,25
奶霸知道,2,23,2,23,25
阿文鉴机,0,25,0,23,25
模_人,4,21,1,18,25
香港商報網,0,25,0,20,25
中医纪元,3,21,2,21,24
这得有多大仇,24,0,18,0,24
ousmz,24,0,19,0,24
肥啾电影,0,23,0,23,23
元宝兔兔好运,23,0,9,0,23
石浩强教你合理用药,0,23,0,23,23
核聚变ju,23,0,16,0,23
老李乐观天下,0,23,0,4,23
天津人的天津,0,22,0,21,22
经方梧桐先生,7,15,2,8,22
药子陌,2,20,2,20,22
王浣熊的生活日记,1,21,1,19,22
中西医结合医学微博,21,1,18,1,22
