source_user,target_user,weight,n_topic_direct,n_repost_mapped
居然说我昵称不可用艹,江卓尔_大号,6,0,6
世界那么大爱你那么多,得意的弦小二,6,0,6
世界那么大爱你那么多,得意学堂岱珈,6,0,6
九九_75209,大耳朵中医,6,0,6
誓言浮躁无常1995,寰亚SYHP,6,0,6
sunlei198508,生草字幕组,6,1,5
杰歪今天要早睡,老李乐观天下,6,4,2
云天远行遥望,同花顺,6,0,6
妞妞一翎,生草字幕组,6,0,6
聽小啾喵喵喵,陕西汉书下酒,6,0,6
叶行舟_作者大大们今天更新了吗,生草字幕组,6,0,6
我方存在感极其低下,生草字幕组,6,2,4
薏米薏米酱_,薏米薏米酱_,6,3,3
经方梧桐先生,经方梧桐先生,6,6,0
烟雨笙笙,陳炫達叔叔,6,6,0
隐默_32238,隐默_32238,6,6,0
小猫的夏天1314,王言嘉-,6,0,6
moonn87,大耳朵中医,6,0,6
暖阳倾城6799,大耳朵中医,6,0,6
冬日暖阳86323,中医刘茜檬,6,0,6
随风荡事,中医田应旭,6,0,6
随缘度世林一生,随缘度世林一生,6,6,0
淘淘姐66,陕西汉书下酒,6,1,5
呵呵上海2012,拍帮主,6,5,1
佳学基因,佳学基因解码基因检测,6,3,3
我係盲俠,生草字幕组,6,1,5
极客红石,林步里,6,6,0
我是希尔瑞思,每日经济新闻,6,6,0
山水闲人Jane,贺荷文化科技,5,0,5
不要忙671,贝壳财经,5,0,5
吉星拱照1419,陕西汉书下酒,5,0,5
四川魏静,四川魏静,5,2,3
哈吉米修勾,生草字幕组,5,0,5
archer_娜娜,生草字幕组,5,2,3
福林艺术玻璃,江卓尔_大号,5,0,5
斯人么,生草字幕组,5,0,5
灰灰是蓝猫,星话大白,5,0,5
长沙廷下牛马走,大耳朵中医,5,1,4
徐归尘,飞龙中医,5,1,4
mwxex,上帝之鹰_5zn,5,0,5
Binary星星,生草字幕组,5,0,5
单桂敏是我,单桂敏是我,5,5,0
铜陵经开公安在线,铜陵公安在线,5,0,5
oddsratio,生草字幕组,5,0,5
Qianzhizaosh,生草字幕组,5,1,4
铜官公安在线,铜陵公安在线,5,0,5
hedyhyx,陕西汉书下酒,5,0,5
kiss禕吻定情_,鞠婧祎,5,5,0
你乾坤哥,止谣君,5,0,5
阿赖198201,李贵明-医生,5,0,5
江湖夜雨遇见猫,生草字幕组,5,0,5
baby-unicorn,三个老爸实验室,5,4,1
就是爱的秘密,四川魏静,5,0,5
八卦任我行,生草字幕组,5,0,5
w71999,十八子金名,5,0,5
黄炎洪,风闻社区,5,0,5
吉星高照-lucky,陕西汉书下酒,5,0,5
家有小女6159535325,大耳朵中医,5,0,5
夏至蝉鸣holly,老李乐观天下,5,3,2
对饮于江湖,生草字幕组,5,0,5
CBS0086,陕西汉书下酒,5,5,0
芋头微波,飞龙中医,5,1,4
侠所闻,中医田应旭,5,0,5
就在未来和远方,生草字幕组,5,0,5
岐黄小徒微博,大耳朵中医,5,0,5
反对新世界秩序,中医田应旭,5,2,3
梵拾叁_M2,生草字幕组,5,0,5
老张评论,財颜悦色,5,5,0
不隐卷柏,陕西汉书下酒,5,4,1
happy晓荷,陕西汉书下酒,5,1,4
方糖山楂片,生草字幕组,5,0,5
-小声怕怕-,康斯坦丁,5,0,5
控告法官代艳春,东明仝建华,5,0,5
kgfff55,林步里,5,5,0
北方新报,内蒙古日报,5,1,4
稀碎心情,Jokielicious,5,0,5
xbt818,江卓尔_大号,5,0,5
鹤翔九天9861,大耳朵中医,5,0,5
PSproca,马宝琳谈房颤,5,5,0
凝羽飞ORZ_伯纳乌饮水机一号,生草字幕组,5,1,4
yuankong198610,陕西汉书下酒,5,5,0
鹤雪团长,江卓尔_大号,5,0,5
雨石的故事,陕西汉书下酒,5,0,5
重庆舒忠余奇案,用户2733751065,5,5,0
美丽育儿,代县胡永胜,5,0,5
类人复读机916,上帝之鹰_5zn,5,0,5
梦幻泡影star,大耳朵中医,5,0,5
光影随形,陕西汉书下酒,5,0,5
金池荷涟涟,林步里,5,5,0
吸欧气的赵小呆萌,阿司匹林42195米,5,0,5
用户7051854413,中医田应旭,5,0,5
望江防邪,安徽反邪教,5,2,3
雅青秋之韵,张胜军,5,0,5
随风而去1993的冬天,上帝之鹰_5zn,5,0,5
用户3797852453,大耳朵中医,5,0,5
夜满月Crystal,拍帮主,5,5,0
怪手堂怪手先生彭一峰,怪手堂怪手先生彭一峰,5,5,0
郭珺茹健康顺利平安,陕西汉书下酒,5,0,5
平淡幸福_happy,陕西汉书下酒,5,0,5
随风荡事,大耳朵中医,5,0,5
大生活自由人,生草字幕组,5,0,5
会泽政法,云南政法,5,2,3
悠之燃,江卓尔_大号,5,1,4
从善如流2021,止谣君,5,0,5
心中的日月xzdry,大耳朵中医,5,0,5
为正义呐喊2022,用户2733751065,5,5,0
中国石油巴彦淖尔销售分公司,内蒙古日报,5,0,5
爱好中医,爱好中医,5,5,0
背番号3_,生草字幕组,5,1,4
汉唐长安中医郭仲凯,南海客尘,5,5,0
雪崩快递员,梅子在想什么,5,0,5
zhongdiangz,中医田应旭,5,1,4
无所谓呦315,中医田应旭,5,1,4
体能儿857,飞龙中医,5,0,5
批发交易,代县胡永胜,5,0,5
代县永胜网站推广,代县胡永胜,5,0,5
wodecatsz,陕西汉书下酒,5,0,5
饱乐促和谐反极端,饱乐促和谐反极端,5,5,0
芹菜加萝卜,中医田应旭,5,2,3
开疆扩土特狼普,林步里,5,5,0
贝罗尼科技,每日医学资讯,5,5,0
用户5371581768,中医田应旭,5,3,2
deardank,老李乐观天下,5,2,3
通死司马躺飞为逝者报仇,江卓尔_大号,5,0,5
蜂蜜与四叶草i,生草字幕组,5,0,5
种花家的小郎中,上帝之鹰_5zn,5,0,5
今天也想睡够八小时呀,多吃蓝莓胡萝卜,4,2,2
用户7295988416,中医范圣华,4,0,4
卧不石,马宝琳谈房颤,4,0,4
