exposure_group,env_type,n_transitions,p_H,p_M,p_L
dual,norisk,182,0.1813186813186813,0.7857142857142857,0.03296703296703297
dual,risk,205,0.15609756097560976,0.7609756097560976,0.08292682926829269
mainstream_only,norisk,154,0.032467532467532464,0.948051948051948,0.01948051948051948
mainstream_only,risk,62,0.0967741935483871,0.8709677419354839,0.03225806451612903
wemedia_only,norisk,263,0.060836501901140684,0.9011406844106464,0.03802281368821293
wemedia_only,risk,303,0.15841584158415842,0.735973597359736,0.10561056105610561
