exposure_group,env_type,n_transitions,p_MH,p_HM,upgrade_rate,cooling_rate
dual,norisk,228,0.09649122807017543,0.10087719298245613,0.10087719298245613,0.10964912280701754
mainstream_only,norisk,247,0.04048582995951417,0.044534412955465584,0.044534412955465584,0.044534412955465584
wemedia_only,norisk,453,0.052980132450331126,0.026490066225165563,0.05739514348785872,0.02869757174392936
dual,risk,254,0.08661417322834646,0.10236220472440945,0.0984251968503937,0.11811023622047244
mainstream_only,risk,135,0.02962962962962963,0.06666666666666667,0.05185185185185185,0.06666666666666667
wemedia_only,risk,551,0.0780399274047187,0.10344827586206896,0.0998185117967332,0.1161524500907441
