treated_id,control_id,dist,treat_upgrade,ctrl_upgrade,treat_cooling,ctrl_cooling,treat_stable,ctrl_stable,pair
189,18,0.004395613898679623,0.14285714285714285,0.0,0.14285714285714285,0.25,0.7142857142857143,0.5,dual_vs_mainstream_only
189,5,0.009267259367007619,0.14285714285714285,0.0,0.14285714285714285,0.0,0.7142857142857143,0.5,dual_vs_mainstream_only
189,343,0.010298750992098149,0.14285714285714285,0.0,0.14285714285714285,1.0,0.7142857142857143,0.0,dual_vs_mainstream_only
359,443,0.0017132104746194754,0.058823529411764705,0.2857142857142857,0.0,0.14285714285714285,0.9411764705882353,0.5714285714285714,dual_vs_mainstream_only
359,344,0.0034550360839314953,0.058823529411764705,0.0,0.0,1.0,0.9411764705882353,0.0,dual_vs_mainstream_only
359,427,0.007585343661590138,0.058823529411764705,0.25,0.0,0.25,0.9411764705882353,0.375,dual_vs_mainstream_only
155,151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dual_vs_mainstream_only
155,281,0.00013225598250266035,0.0,0.0,0.0,0.0,0.0,1.0,dual_vs_mainstream_only
155,192,0.00014606127569372074,0.0,0.0,0.0,0.5,0.0,0.5,dual_vs_mainstream_only
407,263,8.93715876577883e-05,0.25,0.0,0.25,0.0,0.5,0.6666666666666666,dual_vs_mainstream_only
407,8,0.00046397105579440434,0.25,1.0,0.25,0.0,0.5,0.0,dual_vs_mainstream_only
407,10,0.00046397105579440434,0.25,0.0,0.25,0.0,0.5,1.0,dual_vs_mainstream_only
142,0,0.0004156616257045831,0.17391304347826086,0.5,0.17391304347826086,0.5,0.5217391304347826,0.0,dual_vs_mainstream_only
142,28,0.0005796490583358516,0.17391304347826086,1.0,0.17391304347826086,0.0,0.5217391304347826,0.0,dual_vs_mainstream_only
142,213,0.0005796490583358516,0.17391304347826086,0.0,0.17391304347826086,0.0,0.5217391304347826,1.0,dual_vs_mainstream_only
1,426,0.013165812762423568,0.0,0.25,1.0,0.5,0.0,0.0,dual_vs_mainstream_only
1,261,0.027526535058837953,0.0,0.0,1.0,0.5,0.0,0.5,dual_vs_mainstream_only
1,454,0.029227944620378088,0.0,0.25,1.0,0.25,0.0,0.25,dual_vs_mainstream_only
405,310,0.004251788375095544,0.0,0.15384615384615385,0.0,0.15384615384615385,1.0,0.6153846153846154,dual_vs_mainstream_only
405,319,0.005354794915334193,0.0,0.0,0.0,0.0,1.0,1.0,dual_vs_mainstream_only
405,370,0.029984612635063912,0.0,0.0,0.0,0.0,1.0,1.0,dual_vs_mainstream_only
129,120,0.0,0.0,0.0,0.0,0.0,1.0,1.0,dual_vs_mainstream_only
129,521,0.0007172546516384659,0.0,0.06666666666666667,0.0,0.06666666666666667,1.0,0.4,dual_vs_mainstream_only
129,460,0.010302120853980412,0.0,0.18181818181818182,0.0,0.18181818181818182,1.0,0.5757575757575758,dual_vs_mainstream_only
265,130,0.00015610181026723402,0.0,0.16666666666666666,0.0,0.16666666666666666,1.0,0.5,dual_vs_mainstream_only
265,83,0.00043964273900012896,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,dual_vs_mainstream_only
265,220,0.00043964273900012896,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,dual_vs_mainstream_only
117,49,0.0,0.0,0.0,1.0,0.0,0.0,1.0,dual_vs_mainstream_only
117,82,0.0,0.0,0.0,1.0,0.0,0.0,1.0,dual_vs_mainstream_only
117,146,0.0,0.0,0.0,1.0,0.0,0.0,1.0,dual_vs_mainstream_only
298,387,0.0,0.0,0.0,0.0,0.0,1.0,1.0,dual_vs_mainstream_only
298,36,0.00021181496310127002,0.0,0.0,0.0,0.0,1.0,1.0,dual_vs_mainstream_only
298,70,0.0010112592917032315,0.0,0.3333333333333333,0.0,0.0,1.0,0.6666666666666666,dual_vs_mainstream_only
145,169,0.00016500843051264757,0.3333333333333333,0.25,0.6666666666666666,0.25,0.0,0.5,dual_vs_mainstream_only
145,304,0.00042702294178578737,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,1.0,dual_vs_mainstream_only
145,453,0.0014853787560657472,0.3333333333333333,0.1,0.6666666666666666,0.2,0.0,0.6,dual_vs_mainstream_only
389,444,0.0006395136437379323,0.2,0.0,0.1,0.0,0.4,1.0,dual_vs_mainstream_only
389,201,0.0014866552806258593,0.2,0.14285714285714285,0.1,0.14285714285714285,0.4,0.5,dual_vs_mainstream_only
389,355,0.004455837478046953,0.2,0.0,0.1,1.0,0.4,0.0,dual_vs_mainstream_only
399,465,0.001718050199556398,0.2,0.3,0.0,0.3,0.6,0.2,dual_vs_mainstream_only
399,415,0.004509879182070187,0.2,0.0,0.0,0.1111111111111111,0.6,0.6666666666666666,dual_vs_mainstream_only
399,144,0.014915462250646772,0.2,0.0,0.0,0.0,0.6,1.0,dual_vs_mainstream_only
41,56,0.019925506554858113,0.3333333333333333,0.23809523809523808,0.0,0.19047619047619047,0.0,0.3333333333333333,dual_vs_mainstream_only
41,376,0.023016025289710113,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,dual_vs_mainstream_only
41,23,0.02523877832748439,0.3333333333333333,0.2,0.0,0.2,0.0,0.6,dual_vs_mainstream_only
154,413,0.023994057054991746,0.16666666666666666,0.0,0.16666666666666666,0.0,0.25,1.0,dual_vs_mainstream_only
154,74,0.0308989319978637,0.16666666666666666,0.0,0.16666666666666666,0.0,0.25,1.0,dual_vs_mainstream_only
154,188,0.03118531415240361,0.16666666666666666,0.0,0.16666666666666666,0.0,0.25,0.5,dual_vs_mainstream_only
137,449,0.0006655458074546344,0.0,0.0,0.0,0.0,1.0,1.0,dual_vs_mainstream_only
137,71,0.0008695961843411121,0.0,0.5,0.0,0.5,1.0,0.0,dual_vs_mainstream_only
137,165,0.0012941752221090896,0.0,0.0,0.0,0.0,1.0,1.0,dual_vs_mainstream_only
109,286,0.011872617054999535,0.2,0.18421052631578946,0.17142857142857143,0.21052631578947367,0.2,0.5526315789473685,dual_vs_mainstream_only
109,411,0.012596512834983198,0.2,0.4,0.17142857142857143,0.4,0.2,0.2,dual_vs_mainstream_only
109,527,0.027167121351563295,0.2,0.18518518518518517,0.17142857142857143,0.18518518518518517,0.2,0.37037037037037035,dual_vs_mainstream_only
59,358,0.011096084446050591,0.0,0.0,0.09090909090909091,0.0,0.9090909090909091,1.0,dual_vs_mainstream_only
59,336,0.015474785675610225,0.0,0.0,0.09090909090909091,0.0,0.9090909090909091,1.0,dual_vs_mainstream_only
59,353,0.01832430279579267,0.0,0.21052631578947367,0.09090909090909091,0.15789473684210525,0.9090909090909091,0.3684210526315789,dual_vs_mainstream_only
535,378,0.02410482367368444,0.0,0.15384615384615385,0.0,0.1282051282051282,1.0,0.5128205128205128,dual_vs_mainstream_only
535,236,0.02411728546107339,0.0,0.0,0.0,0.0,1.0,1.0,dual_vs_mainstream_only
535,409,0.02411728546107339,0.0,0.0,0.0,0.0,1.0,1.0,dual_vs_mainstream_only
523,323,0.0003385237006137132,0.5,1.0,0.0,0.0,0.5,0.0,dual_vs_mainstream_only
523,159,0.025776414414913962,0.5,0.0,0.0,0.0,0.5,1.0,dual_vs_mainstream_only
523,388,0.035087522608079014,0.5,0.08333333333333333,0.0,0.08333333333333333,0.5,0.6666666666666666,dual_vs_mainstream_only
48,183,0.00048307615366185996,0.0,0.4,0.0,0.4,1.0,0.2,dual_vs_mainstream_only
48,40,0.0009652077198334524,0.0,0.0,0.0,0.0,1.0,1.0,dual_vs_mainstream_only
48,366,0.0009652077198334524,0.0,0.0,0.0,0.0,1.0,0.0,dual_vs_mainstream_only
3,78,0.00011479071715746192,1.0,0.5,0.0,0.0,0.0,0.0,dual_vs_mainstream_only
3,219,0.0005753178957304539,1.0,0.0,0.0,0.0,0.0,1.0,dual_vs_mainstream_only
3,107,0.0012402837317273957,1.0,0.0,0.0,0.0,0.0,1.0,dual_vs_mainstream_only
506,2,0.019793225027886857,0.2,0.16666666666666666,0.2,0.16666666666666666,0.0,0.6666666666666666,dual_vs_mainstream_only
506,37,0.025553903534474204,0.2,0.25,0.2,0.0,0.0,0.75,dual_vs_mainstream_only
506,276,0.026029004694372138,0.2,0.5,0.2,0.0,0.0,0.0,dual_vs_mainstream_only
300,437,0.0,0.0,0.0,0.0,0.0,1.0,1.0,dual_vs_mainstream_only
300,63,7.710816891914885e-05,0.0,0.25,0.0,0.125,1.0,0.375,dual_vs_mainstream_only
300,53,8.722400129382302e-05,0.0,0.0,0.0,0.0,1.0,0.0,dual_vs_mainstream_only
312,181,0.0005811967456701983,0.0,0.0,0.0,0.0,1.0,1.0,dual_vs_mainstream_only
312,287,0.0018812147275150681,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.16666666666666666,dual_vs_mainstream_only
312,503,0.0018922589217479913,0.0,0.18181818181818182,0.0,0.18181818181818182,1.0,0.36363636363636365,dual_vs_mainstream_only
424,194,0.0,0.5,0.0,0.0,0.0,0.0,1.0,dual_vs_mainstream_only
424,12,0.00016783890191610085,0.5,0.0,0.0,1.0,0.0,0.0,dual_vs_mainstream_only
424,105,0.00033620699616837557,0.5,0.0,0.0,0.0,0.0,1.0,dual_vs_mainstream_only
122,87,0.003949033872845759,0.2647058823529412,0.0,0.29411764705882354,0.0,0.11764705882352941,1.0,dual_vs_mainstream_only
122,377,0.008225763943440184,0.2647058823529412,0.125,0.29411764705882354,0.0,0.11764705882352941,0.875,dual_vs_mainstream_only
122,266,0.009110861878780518,0.2647058823529412,0.16666666666666666,0.29411764705882354,0.16666666666666666,0.11764705882352941,0.5,dual_vs_mainstream_only
518,348,0.0022244482608016897,0.05,0.0,0.05,0.0,0.9,0.0,dual_vs_mainstream_only
518,508,0.002634170558874868,0.05,0.0,0.05,0.0,0.9,1.0,dual_vs_mainstream_only
518,242,0.004206003695304203,0.05,0.0,0.05,0.0,0.9,1.0,dual_vs_mainstream_only
134,342,0.03289533982271384,0.0,0.25,0.0,0.16666666666666666,1.0,0.5,dual_vs_mainstream_only
134,373,0.033448950227507684,0.0,0.0,0.0,0.0,1.0,1.0,dual_vs_mainstream_only
134,216,0.03355475182894754,0.0,0.0,0.0,0.0,1.0,1.0,dual_vs_mainstream_only
520,98,0.00021503073731771183,0.18181818181818182,0.2,0.18181818181818182,0.2,0.45454545454545453,0.4,dual_vs_mainstream_only
520,197,0.00023671112449591414,0.18181818181818182,0.0,0.18181818181818182,0.0,0.45454545454545453,1.0,dual_vs_mainstream_only
520,379,0.00023671112449591414,0.18181818181818182,0.0,0.18181818181818182,0.0,0.45454545454545453,1.0,dual_vs_mainstream_only
68,25,0.00041283986736037614,0.0,0.0,0.0,0.5,0.0,0.0,dual_vs_mainstream_only
68,296,0.0005160183770383797,0.0,0.0,0.0,0.0,0.0,0.0,dual_vs_mainstream_only
68,522,0.0005160183770383797,0.0,0.0,0.0,0.0,0.0,1.0,dual_vs_mainstream_only
361,314,0.0,0.0,0.0,0.0,0.0,1.0,1.0,dual_vs_mainstream_only
361,259,0.00010977628418123997,0.0,0.14285714285714285,0.0,0.0,1.0,0.8571428571428571,dual_vs_mainstream_only
361,404,0.00013266392760188928,0.0,0.0,0.0,1.0,1.0,0.0,dual_vs_mainstream_only
104,123,0.0220177244160506,0.5,0.08333333333333333,0.5,0.16666666666666666,0.0,0.4166666666666667,dual_vs_mainstream_only
104,473,0.024405876147770955,0.5,1.0,0.5,0.0,0.0,0.0,dual_vs_mainstream_only
104,251,0.030541079574267244,0.5,0.0,0.5,0.0,0.0,1.0,dual_vs_mainstream_only
302,346,0.0003641054270090288,0.0,0.0,0.0,0.0,1.0,1.0,dual_vs_mainstream_only
302,136,0.0018139782550954525,0.0,0.0,0.0,0.0,1.0,1.0,dual_vs_mainstream_only
302,203,0.0018139782550954525,0.0,0.0,0.0,0.0,1.0,1.0,dual_vs_mainstream_only
329,463,0.0,0.0,0.25,0.0,0.25,1.0,0.5,dual_vs_mainstream_only
329,396,0.00012777027192975576,0.0,0.0,0.0,0.5,1.0,0.0,dual_vs_mainstream_only
329,433,0.00012777027192975576,0.0,0.0,0.0,0.0,1.0,1.0,dual_vs_mainstream_only
35,410,0.0074348825513947114,0.2857142857142857,0.0,0.2857142857142857,0.0,0.14285714285714285,1.0,dual_vs_mainstream_only
35,439,0.009386484448806437,0.2857142857142857,0.25,0.2857142857142857,0.25,0.14285714285714285,0.5,dual_vs_mainstream_only
35,485,0.0115696980814608,0.2857142857142857,0.0,0.2857142857142857,0.0,0.14285714285714285,1.0,dual_vs_mainstream_only
164,31,0.00030350790564856456,0.16666666666666666,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,dual_vs_mainstream_only
164,64,0.00030350790564856456,0.16666666666666666,1.0,0.16666666666666666,0.0,0.3333333333333333,0.0,dual_vs_mainstream_only
164,135,0.00030350790564856456,0.16666666666666666,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,dual_vs_mainstream_only
384,510,0.014691085670572729,0.08333333333333333,0.14285714285714285,0.08333333333333333,0.14285714285714285,0.8333333333333334,0.42857142857142855,dual_vs_mainstream_only
384,250,0.015762478884266046,0.08333333333333333,0.0,0.08333333333333333,0.0,0.8333333333333334,0.0,dual_vs_mainstream_only
384,54,0.024841240340624404,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.0,0.8333333333333334,0.0,dual_vs_mainstream_only
75,362,0.0005745452200212608,0.25,0.0,0.0,0.0,0.5,1.0,dual_vs_mainstream_only
75,466,0.0005745452200212608,0.25,1.0,0.0,0.0,0.5,0.0,dual_vs_mainstream_only
75,418,0.0047342050703080285,0.25,0.0,0.0,0.0,0.5,1.0,dual_vs_mainstream_only
133,39,0.0,0.0,0.5,0.0,0.0,1.0,0.5,dual_vs_mainstream_only
133,66,0.0,0.0,0.0,0.0,0.0,1.0,1.0,dual_vs_mainstream_only
133,386,0.0,0.0,0.0,0.0,0.0,1.0,1.0,dual_vs_mainstream_only
118,65,0.002293508749996953,0.0,0.0,0.0,0.0,0.0,1.0,dual_vs_mainstream_only
