exposure_group,env_type,n_transitions,p_H,p_M,p_L
dual,norisk,148,0.21621621621621623,0.7364864864864865,0.0472972972972973
dual,risk,155,0.17419354838709677,0.7548387096774194,0.07096774193548387
no_media,norisk,118,0.00847457627118644,0.9661016949152542,0.025423728813559324
no_media,risk,163,0.0736196319018405,0.7975460122699386,0.12883435582822086
wemedia_only,norisk,19,0.0,1.0,0.0
wemedia_only,risk,9,0.1111111111111111,0.8888888888888888,0.0
