state,term,term_type,coef,std_err,z_value,p_value,odds_ratio
H,Intercept,intercept,-2.0549457953782233,0.1548950281684215,-13.266699516938827,0.0,0.1280997789894176
H,"C(exposure_group, Treatment(reference='dual'))[T.no_media]",main_exposure,-1.465533276641828,0.30798882158377333,-4.758397623347513,1.9513581899222032e-06,0.23095479583363393
H,"C(exposure_group, Treatment(reference='dual'))[T.wemedia_only]",main_exposure,-1.3385146147446492,0.9506338001925895,-1.4080233781646294,0.15912414759217208,0.26223489928282034
H,"C(env_type, Treatment(reference='norisk'))[T.risk]",main_risk_env,0.41111577758555196,0.20428505051453497,2.0124613942629193,0.044171322316817196,1.5084999969355928
H,C(time_fe)[T.2021Q3],time_fe,1.7022222843711272,1.3680028955705987,1.244311901592229,0.21338479244263553,5.486125586157901
H,C(time_fe)[T.2022Q1],time_fe,0.04777116710475643,0.6858578098208522,0.069651706841735,0.944470880730262,1.048930598033358
H,C(time_fe)[T.2022Q2],time_fe,-0.1298839876935516,0.5889242356146805,-0.2205444772670753,0.8254471371317036,0.8781973067060924
H,C(time_fe)[T.2022Q3],time_fe,2.265400967303888,0.8106460674153738,2.7945623353565225,0.005197002040534526,9.634987141499456
H,C(time_fe)[T.2022Q4],time_fe,-0.778023792142419,0.38739067933368476,-2.008369931565278,0.044603995648524464,0.4593128125855167
H,C(time_fe)[T.2023Q1],time_fe,-0.9204812378151823,0.29295911671750546,-3.142012606157547,0.0016779081148035058,0.39832730479095196
H,C(time_fe)[T.2023Q2],time_fe,-1.8764690897552345,0.8043194063716137,-2.3329899476381195,0.019648672916578347,0.1531298400404528
H,C(time_fe)[T.2023Q3],time_fe,-1.3137571252942593,0.3360496888455391,-3.9094133067271213,9.252055097075385e-05,0.26880821063184823
H,C(time_fe)[T.2023Q4],time_fe,-1.0830439849393498,0.7331636770761611,-1.4772199152834504,0.1396166970321584,0.338563373703867
H,C(time_fe)[T.2024Q1],time_fe,1.1236885049872467,1.1598513027417743,0.9688211776207499,0.3326344183297971,3.076179807740811
H,C(time_fe)[T.2024Q2],time_fe,-1.4077529569292637,1.3367404369836364,-1.053123641644198,0.2922843287941286,0.24469250045248447
H,C(time_fe)[T.2024Q3],time_fe,-0.06461665687909045,0.7445179390126653,-0.08678992606246823,0.9308384952454365,0.9374267506040609
H,C(time_fe)[T.2024Q4],time_fe,0.7249063060686302,0.5798418637058861,1.2501793186087118,0.21123404991515327,2.0645376562549016
