state,term,term_type,coef,std_err,z_value,p_value,odds_ratio
H,Intercept,intercept,-2.803403321862962,0.10986174166977816,-25.51755760699131,0.0,0.06060345817972865
H,"C(exposure_group, Treatment(reference='dual'))[T.mainstream_only]",main_exposure,-1.8186528144294345,0.4479289916301161,-4.060136424326857,4.904405150019109e-05,0.16224417678464087
H,"C(exposure_group, Treatment(reference='dual'))[T.wemedia_only]",main_exposure,-1.3858787275503492,0.15469980075939607,-8.958503635733832,0.0,0.2501039299892854
H,"C(env_type, Treatment(reference='norisk'))[T.risk]",main_risk_env,-0.009644094795120284,0.13909056466304556,-0.06933680094321011,0.944721533295233,0.9904022603496003
H,C(time_fe)[T.2020Q2],time_fe,-0.08384486844059515,1.9378444141156608,-0.04326707956007806,0.9654886333412538,0.9195738999636451
H,C(time_fe)[T.2021Q1],time_fe,-0.22086704128193416,1.869730845120702,-0.11812771975084783,0.9059664600318291,0.8018232825989547
H,C(time_fe)[T.2021Q3],time_fe,2.1324567633368923,1.296207693178909,1.645150522218479,0.09993877398498174,8.435565563263678
H,C(time_fe)[T.2021Q4],time_fe,-0.21857924108833382,1.8513256118254766,-0.1180663410542927,0.9060150928223858,0.803659794044709
H,C(time_fe)[T.2022Q1],time_fe,0.6759578913872955,0.7413158131216954,0.9118352521590273,0.36185544998761765,1.9659152075846982
H,C(time_fe)[T.2022Q2],time_fe,-0.3673047647948837,0.6852223158732665,-0.5360373652261752,0.5919327267886758,0.6925985332263853
H,C(time_fe)[T.2022Q3],time_fe,-0.5536131740442418,0.5690069897158749,-0.9729461747397519,0.33058005420509584,0.5748689518166707
H,C(time_fe)[T.2022Q4],time_fe,0.024028480907718155,0.3751312012364065,0.06405353867799304,0.9489275965941635,1.0243194910240787
H,C(time_fe)[T.2023Q1],time_fe,-0.22895619326147382,0.27480152453756446,-0.8331692979024076,0.4047492553204066,0.7953633750173446
H,C(time_fe)[T.2023Q2],time_fe,0.1429078935655877,0.35024610379356025,0.40802136559902896,0.6832579891248172,1.153623540621442
H,C(time_fe)[T.2023Q3],time_fe,0.2245499352125403,0.25712317102093474,0.8733166066711959,0.38249053132584065,1.2517592166499332
H,C(time_fe)[T.2023Q4],time_fe,0.3663889129495145,0.36039533031030263,1.0166305779657336,0.30932920211426107,1.4425161467853749
H,C(time_fe)[T.2024Q1],time_fe,0.8673966344687998,0.4399349405790698,1.9716475198061747,0.04864985847558345,2.3807049337260677
H,C(time_fe)[T.2024Q2],time_fe,-0.0761184522831817,0.5576402428516498,-0.13650100267858833,0.8914252319472089,0.9267064295654216
H,C(time_fe)[T.2024Q3],time_fe,0.5530232560529234,0.45383636742721417,1.218552094421161,0.2230142409654361,1.7385010145665465
