user_name,exposure_group,prev_time,curr_time,transition,env_type,env_risk_ratio,env_n_target_posts_observed,env_n_risk_posts_observed,env_n_target_accounts_observed,env_mode,next_state,gap_days,time_fe,n_posts,n_total_interactions,active_days,z_n_total_interactions,z_active_days,z_n_posts,z_gap_days,z_env_n_target_posts_observed
-食品与养生-,mainstream_only,2023-02-02 22:03:00,2023-02-07 12:51:00,M->M,risk,1.0,7,7,1,transition_window,M,4.616666666666666,2023Q1,7,8,7,-0.5809773606602215,-0.9899210989301501,-0.977102700551345,1.2218937904142393,4.5538083043234225
-食品与养生-,mainstream_only,2023-02-07 12:51:00,2023-02-08 22:28:00,M->M,risk,1.0,2,2,1,transition_window,M,1.4006944444444445,2023Q1,7,8,7,-0.5809773606602215,-0.9899210989301501,-0.977102700551345,-0.40395491373796505,0.49343819770287045
21世纪经济报道,mainstream_only,2025-05-15 23:31:00,2025-05-21 07:18:00,M->M,norisk,0.0,1,0,1,transition_window,M,5.324305555555555,2025Q2,11,1,11,-0.7652941911661914,-0.9234181941499753,-0.926194520597018,1.5796436996198313,-0.3186358236212399
21世纪经济报道,mainstream_only,2025-05-21 07:18:00,2025-05-24 13:07:00,M->M,norisk,0.0,1,0,1,transition_window,M,3.2423611111111112,2025Q2,11,1,11,-0.7652941911661914,-0.9234181941499753,-0.926194520597018,0.5271076566381193,-0.3186358236212399
ATAO颜值上分中,wemedia_only,2023-02-28 18:17:00,2023-03-02 19:57:00,H->H,risk,1.0,1,1,1,transition_window,H,2.0694444444444446,2023Q1,2,3,2,-0.7126322395930571,-1.0730497299053687,-1.0407379254942537,-0.06586545096565383,-0.3186358236212399
Apocalypse-锐,wemedia_only,2023-06-28 18:01:00,2023-07-04 22:16:00,H->M,norisk,0.0,1,0,1,transition_window,M,6.177083333333333,2023Q3,93,11,88,-0.5019844333005202,0.35676272286839167,0.11742316846668617,2.010769203549632,-0.3186358236212399
Apocalypse-锐,wemedia_only,2023-09-11 07:41:00,2023-09-16 19:19:00,M->M,risk,1.0,1,1,1,transition_window,M,5.4847222222222225,2023Q3,93,11,88,-0.5019844333005202,0.35676272286839167,0.11742316846668617,1.660743041157115,-0.3186358236212399
Apocalypse-锐,wemedia_only,2023-09-16 19:19:00,2023-09-21 23:44:00,M->M,risk,1.0,1,1,1,transition_window,M,5.184027777777778,2023Q3,93,11,88,-0.5019844333005202,0.35676272286839167,0.11742316846668617,1.5087256606997828,-0.3186358236212399
Apocalypse-锐,wemedia_only,2023-09-21 23:44:00,2023-09-25 18:11:00,M->H,risk,1.0,1,1,1,transition_window,H,3.76875,2023Q3,93,11,88,-0.5019844333005202,0.35676272286839167,0.11742316846668617,0.7932258422885987,-0.3186358236212399
Apocalypse-锐,wemedia_only,2023-10-16 21:36:00,2023-10-17 22:13:00,M->M,risk,1.0,1,1,1,transition_window,M,1.0256944444444445,2023Q4,93,11,88,-0.5019844333005202,0.35676272286839167,0.11742316846668617,-0.5935377900588872,-0.3186358236212399
