exposure_group,env_type,n_transitions,p_H,p_M,p_L
dual,norisk,183,0.20765027322404372,0.7540983606557377,0.03825136612021858
dual,risk,208,0.125,0.8028846153846154,0.07211538461538461
mainstream_only,norisk,141,0.02127659574468085,0.9645390070921985,0.014184397163120567
mainstream_only,risk,49,0.061224489795918366,0.8979591836734694,0.04081632653061224
wemedia_only,norisk,265,0.04150943396226415,0.939622641509434,0.018867924528301886
wemedia_only,risk,334,0.16467065868263472,0.7245508982035929,0.11077844311377245
