source_uid,status,n_pages,n_edges,endpoint,error
2032100023,ok,10,177,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2257714773,ok,10,178,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2280141515,ok,10,187,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2300173250,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=博主设置仅针对粉丝展示全部关注 url=
2329431387,ok,10,154,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2412721565,ok,10,186,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2471588600,ok,10,199,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2652481720,ok,10,177,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2746765071,ok,8,129,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
3319850402,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=博主设置仅针对粉丝展示全部关注 url=
5057365661,ok,5,51,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
5589395947,ok,10,195,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
5610256188,ok,9,155,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
5999251130,ok,10,194,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
6008412549,ok,10,178,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
6011309186,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=博主设置仅针对粉丝展示全部关注 url=
6144010373,ok,2,1,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
6155844271,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=用户不存在(20003) url=
6224314462,ok,10,183,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
6414536208,ok,10,190,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
6578355703,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=博主设置仅针对粉丝展示全部关注 url=
7571414837,ok,10,196,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
7674996807,ok,10,115,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
7676371963,ok,3,23,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
7713173588,ok,4,51,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
7725328777,ok,8,118,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
7733086600,ok,10,195,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
7792263728,ok,3,33,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1053159872,ok,10,182,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1081317394,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=用户不存在(20003) url=
1237005495,ok,10,198,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1275808495,ok,10,186,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1392961200,ok,10,179,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1404400605,ok,9,131,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1406105212,ok,10,148,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1408429377,ok,10,182,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1671703270,ok,10,194,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1694175424,ok,10,197,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1751398421,ok,10,193,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1769795072,ok,10,192,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1813446340,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=博主设置仅针对粉丝展示全部关注 url=
1865671873,ok,10,180,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1868403351,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=博主设置仅针对粉丝展示全部关注 url=
1951624630,ok,10,186,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1962932343,ok,10,191,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1969348325,ok,10,197,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
1989943515,ok,10,196,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2085039387,ok,6,68,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2089534131,ok,10,191,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2094942911,ok,10,187,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2148374924,ok,7,102,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2170618467,ok,10,181,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2176637044,ok,10,197,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2328480423,ok,3,32,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2363158430,ok,10,175,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2425318483,ok,9,75,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2505200382,ok,10,199,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2526685174,ok,10,176,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2548212507,ok,5,60,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
2606986893,ok,10,199,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
3050747991,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=博主设置仅针对粉丝展示全部关注 url=
3122550490,ok,10,189,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
3767731877,ok,10,195,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
3825098178,ok,9,139,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
3924970855,ok,10,189,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
3933608018,ok,4,50,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
5329508489,ok,10,139,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
5506861184,ok,10,197,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
5649355667,ok,9,145,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
5661242807,ok,10,185,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
5666929142,ok,10,198,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
5775212590,ok,10,192,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
5882088900,ok,10,194,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
5939024666,ok,10,174,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
6019468597,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=博主设置仅针对粉丝展示全部关注 url=
6025441362,ok,10,190,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
6068931132,ok,10,193,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
6095869878,ok,10,193,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
6240920753,ok,6,80,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
6241362736,ok,10,195,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
6275971288,ok,6,91,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
6329108384,ok,3,21,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
6558055686,ok,10,183,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
6604727498,ok,5,68,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
7052975650,ok,9,132,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
7121789045,ok,7,111,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
7420693461,ok,4,58,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
7423259622,ok,9,143,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
7677232109,ok,10,194,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
7690478167,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=博主设置仅针对粉丝展示全部关注 url=
7736162920,ok,10,188,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
7745309545,ok,9,151,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
7766077013,ok,10,197,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
7782081850,fail,1,0,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},api_not_ok: ok=0 msg=博主设置仅针对粉丝展示全部关注 url=
7790532662,ok,10,189,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
7806837884,ok,10,192,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
7809528353,ok,3,33,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
7844565328,ok,5,68,https://weibo.com/ajax/friendships/friends?page={page}&uid={uid},
